player_name,general_position,pass_completion_percentage,xpass_completion_percentage,passes_completed_over_expected_p100,share_team_touches,team_name,competition,dribbling_goals_added_above_avg_p90,fouling_goals_added_above_avg_p90,interrupting_goals_added_above_avg_p90,passing_goals_added_above_avg_p90,receiving_goals_added_above_avg_p90,shooting_goals_added_above_avg_p90,shots_p90,shots_on_target_p90,goals_p90,xgoals_p90,goals_minus_xgoals_p90,key_passes_p90,primary_assists_p90,xassists_p90,primary_assists_minus_xassists_p90,points_added_p90,xpoints_added_p90,avg_distance_yds_p90,avg_vertical_distance_yds_p90,attempted_passes_p90,Age,rating,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile
kevin cabral,6,0.7055,0.7617,-5.6177,0.0269,Colorado Rapids,mls,-0.0340662020905923,-0.0133275261324041,-0.0005644599303135,-0.0432752613240418,0.0051219512195121,-0.0179163763066202,1.358885017421603,0.313588850174216,0.0,0.2039372822299651,-0.2039372822299651,0.313588850174216,0.0,0.0117177700348432,-0.0117177700348432,0.0,0.1817351916376306,1.824355400696864,-0.1064947735191637,17.038327526132406,26.0,6.21,22.857142857142858,54.285714285714285,8.571428571428571,23.809523809523807,20.952380952380956,3.8095238095238098,4.761904761904762,40.95238095238095,39.04761904761905,66.66666666666666,74.28571428571429,53.333333333333336,36.19047619047619,20.0,51.42857142857142,17.142857142857142,65.71428571428571,25.71428571428571,76.19047619047619,6.666666666666667,78.0952380952381,32.38095238095238
aiden mcfadden,4,0.6439,0.6646000000000001,-2.0756,0.0638,Louisville City FC,uslc,-0.0403291139240506,0.0127244401168451,-0.0332833495618305,-0.008062317429406,0.070396299902629,0.0301898734177215,1.489776046738072,0.3505355404089581,0.0876338851022395,0.1643748782862707,-0.0767409931840311,0.7010710808179162,0.0876338851022395,0.0976066212268743,-0.0099727361246348,0.0343086660175267,0.1026718597857838,1.637693281402142,0.294108081791626,30.75949367088608,26.0,6.88,27.34375,30.46875,51.5625,79.6875,61.71875,10.15625,10.15625,86.71875,82.03125,49.21875,48.4375,35.9375,67.1875,56.25,91.40625,45.3125,72.65625,78.90625,8.59375,7.03125,68.75,73.4375
ryan spaulding,4,0.7368,0.7281000000000001,0.8761,0.0415,Sacramento Republic FC,uslc,-0.0206427104722792,0.0105338809034907,-0.0050451745379876,-0.0234517453798768,-0.0191457905544147,-0.0069856262833675,0.5544147843942505,0.1848049281314168,0.0,0.0268891170431211,-0.0268891170431211,0.3696098562628337,0.0,0.0275913757700205,-0.0275913757700205,0.0,0.0218439425051334,3.3398870636550315,0.0988891170431211,24.57905544147844,26.0,6.38,0.0,0.0,25.0,75.0,66.40625,90.625,30.46875,72.65625,6.25,69.53125,33.59375,57.03125,73.4375,36.71875,69.53125,74.21875,64.84375,46.875,21.09375,57.8125,65.625,76.5625
onni valakari,5,0.8092,0.8123,-0.3141,0.0494,San Diego FC,mls,-0.0232277012327773,0.0163161711385061,0.0050188542422044,0.0097244379985496,0.0436751269035533,-0.0158005801305293,1.2400290065264683,0.4568527918781725,0.1957940536620739,0.1967860768672951,-0.0009920232052211,1.1094996374184192,0.2610587382160986,0.145070340826686,0.1159883973894126,0.0814242204496011,0.1168237853517041,1.0264699057287892,0.15891950688905,38.31036983321247,25.0,7.17,59.30232558139535,17.441860465116278,74.4186046511628,0.0,0.0,16.27906976744186,36.04651162790697,19.76744186046512,96.51162790697676,79.06976744186046,79.06976744186046,29.069767441860467,39.53488372093023,90.69767441860463,13.953488372093023,67.44186046511628,80.23255813953489,16.27906976744186,72.09302325581395,83.72093023255815,81.3953488372093,15.11627906976744
ashley westwood,3,0.8407,0.8234,1.7304,0.1105,Charlotte FC,mls,-0.0096422200198216,0.0060877106045589,0.0107304261645193,0.0058513379583746,-0.0067656095143706,-0.0088974231912784,0.4459861248761149,0.0891972249752229,0.0445986124876114,0.0498077304261645,-0.005209117938553,0.9365708622398414,0.0891972249752229,0.1235024777006937,-0.0343052527254707,0.0132903865213082,0.0208275520317145,0.9728250743310208,0.2469291377601585,55.703666997026765,35.0,7.08,93.67816091954025,53.44827586206896,60.91954022988506,75.28735632183908,49.42528735632184,15.517241379310343,43.67816091954023,25.86206896551724,91.3793103448276,31.60919540229885,10.919540229885058,60.91954022988506,1.7241379310344829,76.4367816091954,14.942528735632186,81.03448275862068,39.08045977011494,25.287356321839084,24.13793103448276,63.2183908045977,46.55172413793103,95.40229885057472
danny musovski,5,0.7956000000000001,0.8237,-2.8076,0.0226,Seattle Sounders FC,mls,-0.0551967032967033,-0.0027,0.0240527472527472,-0.0427252747252747,0.1372846153846154,0.0270296703296703,2.868131868131868,1.4835164835164836,0.5934065934065934,0.7809626373626374,-0.1875560439560439,0.3956043956043956,0.0989010989010989,0.0328846153846153,0.0660164835164835,0.2057241758241758,0.4808373626373625,1.272946153846154,-0.238954945054945,13.54945054945055,29.0,6.74,0.0,0.0,6.976744186046512,0.0,0.0,25.58139534883721,62.7906976744186,51.16279069767442,46.51162790697674,44.18604651162791,73.25581395348837,87.20930232558139,31.3953488372093,16.27906976744186,47.674418604651166,29.069767441860467,45.34883720930232,44.18604651162791,84.88372093023256,38.372093023255815,77.90697674418605,75.5813953488372
philip quinton,1,0.9027,0.8759,2.6785,0.0803,Real Salt Lake,mls,-0.0061127819548872,0.0091015037593984,-0.0027293233082706,-0.007578947368421,-0.0003496240601503,-0.0067443609022556,0.4511278195488721,0.0,0.0,0.0296842105263157,-0.0296842105263157,0.225563909774436,0.0,0.0165,-0.0165,0.0,0.0205714285714285,2.35306015037594,0.5115112781954887,49.849624060150376,25.0,6.52,60.29411764705882,56.61764705882353,66.17647058823529,86.76470588235294,93.38235294117648,91.91176470588236,64.70588235294117,55.14705882352941,49.26470588235294,68.38235294117648,22.058823529411764,38.97058823529411,22.794117647058822,30.88235294117647,16.176470588235293,13.23529411764706,28.676470588235293,0.0,10.294117647058822,91.17647058823528,0.0,36.02941176470589
enzo martinez,2,0.6787000000000001,0.7454000000000001,-6.6741,0.0742,Birmingham Legion FC,uslc,-0.0108613477924089,-0.0238628969790859,0.0162223082881487,-0.0245879163439194,-0.0140402788536018,-0.0040712625871417,1.39426800929512,0.209140201394268,0.069713400464756,0.1416436870642912,-0.0719302865995352,0.975987606506584,0.0,0.0710867544539117,-0.0710867544539117,0.090543764523625,0.1261254841208365,1.567261812548412,0.4985553834237026,29.07048799380325,34.0,6.78,87.5,61.71875,61.71875,28.90625,28.90625,39.84375,53.125,70.3125,17.96875,63.28125,89.0625,75.0,64.84375,43.75,44.53125,28.90625,49.21875,60.9375,73.4375,52.34375,67.96875,28.125
wil trapp,3,0.8168000000000001,0.8104,0.6393,0.0846,Minnesota United FC,mls,-0.016472268907563,0.0006302521008403,0.0364184873949579,0.0077546218487394,-0.0184184873949579,-0.0140117647058823,0.3025210084033614,0.2016806722689075,0.1008403361344537,0.0305092436974789,0.0703310924369748,0.3025210084033614,0.0,0.0254016806722689,-0.0254016806722689,0.0180504201680672,0.0070184873949579,0.90269243697479,0.3206470588235294,33.02521008403361,32.0,6.96,52.87356321839081,67.24137931034483,12.643678160919542,50.0,87.93103448275862,12.643678160919542,12.643678160919542,13.218390804597702,65.51724137931035,14.367816091954024,35.05747126436782,24.13793103448276,13.79310344827586,41.95402298850575,63.2183908045977,53.44827586206896,87.35632183908046,0.0,15.517241379310343,43.67816091954023,12.06896551724138,47.70114942528736
amando moreno,6,0.7598,0.76,-0.0288,0.0631,El Paso Locomotive FC,uslc,-0.0148977272727272,-0.0057477272727272,-0.009715909090909,-0.0115090909090909,0.0750886363636363,0.0272454545454545,2.659090909090909,0.8181818181818181,0.2727272727272727,0.3397363636363636,-0.0670090909090909,1.2272727272727273,0.2045454545454545,0.1937181818181818,0.0108272727272727,0.097690909090909,0.2399454545454545,1.204493181818182,0.000265909090909,22.704545454545453,29.0,7.21,43.13725490196079,35.294117647058826,63.725490196078425,50.98039215686274,63.725490196078425,65.68627450980392,48.03921568627451,92.15686274509804,53.92156862745098,69.6078431372549,33.33333333333333,51.9607843137255,43.13725490196079,41.17647058823529,22.54901960784314,10.784313725490197,32.35294117647059,80.3921568627451,66.66666666666666,50.0,77.45098039215686,90.19607843137256
