name,rating,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Saves_percentile,Save percentage_percentile,Goals conceded_percentile,Goals prevented_percentile,Clean sheets_percentile,Penalty goals faced_percentile,Penalty goals conceded_percentile,Penalty goals saves_percentile,Error led to goal_percentile,Acted as sweeper_percentile,High claims_percentile
Patrick Schulte,6.96,77.19298245614034,26.31578947368421,33.33333333333333,28.07017543859649,66.66666666666666,77.19298245614034,78.94736842105263,38.59649122807017,54.385964912280706,42.10526315789473,0,29.82456140350877,63.1578947368421,8.771929824561402
Carlos Dos Santos,6.94,100,12.280701754385964,91.2280701754386,43.859649122807014,52.63157894736842,50.877192982456144,54.385964912280706,68.42105263157895,77.19298245614034,15.789473684210526,82.45614035087719,43.859649122807014,61.40350877192983,40.35087719298245
Pedro Gallese,6.88,50.877192982456144,75.43859649122807,84.21052631578947,35.08771929824561,49.122807017543856,54.385964912280706,61.40350877192983,87.71929824561403,57.89473684210527,38.59649122807017,0,38.59649122807017,29.82456140350877,36.84210526315789
Stefan Frei,6.88,43.859649122807014,36.84210526315789,50.877192982456144,29.82456140350877,64.91228070175438,71.9298245614035,33.33333333333333,68.42105263157895,70.17543859649122,19.29824561403509,0,100,40.35087719298245,38.59649122807017
Luis Barraza,6.87,8.771929824561402,59.64912280701754,15.789473684210526,61.40350877192983,56.14035087719298,38.59649122807017,47.368421052631575,49.122807017543856,52.63157894736842,45.614035087719294,0,33.33333333333333,54.385964912280706,78.94736842105263
John Pulskamp,6.84,5.263157894736842,52.63157894736842,17.543859649122805,75.43859649122807,40.35087719298245,24.561403508771928,56.14035087719298,33.33333333333333,84.21052631578947,12.280701754385964,0,100,40.35087719298245,54.385964912280706
Chris Brady,6.76,84.21052631578947,17.543859649122805,38.59649122807017,70.17543859649122,35.08771929824561,19.29824561403509,64.91228070175438,26.31578947368421,96.49122807017544,5.263157894736842,89.47368421052632,100,59.64912280701754,71.9298245614035
Hugo Lloris,6.73,54.385964912280706,64.91228070175438,77.19298245614034,15.789473684210526,36.84210526315789,70.17543859649122,28.07017543859649,84.21052631578947,59.64912280701754,35.08771929824561,0,36.84210526315789,38.59649122807017,26.31578947368421
Aljaz Ivacic,6.71,24.561403508771928,31.57894736842105,24.561403508771928,36.84210526315789,61.40350877192983,61.40350877192983,42.10526315789473,77.19298245614034,63.1578947368421,26.31578947368421,0,38.59649122807017,15.789473684210526,21.052631578947366
Maarten Paes,6.67,61.40350877192983,91.2280701754386,89.47368421052632,38.59649122807017,28.07017543859649,21.052631578947366,43.859649122807014,29.82456140350877,91.2280701754386,1.7543859649122806,0,100,54.385964912280706,66.66666666666666
Novak Micovic,6.65,28.07017543859649,19.29824561403509,7.017543859649122,24.561403508771928,31.57894736842105,35.08771929824561,50.877192982456144,42.10526315789473,NA,NA,NA,19.29824561403509,24.561403508771928,91.2280701754386
Oscar Ustari,6.57,89.47368421052632,87.71929824561403,94.73684210526316,73.68421052631578,59.64912280701754,36.84210526315789,19.29824561403509,36.84210526315789,NA,NA,NA,12.280701754385964,96.49122807017544,24.561403508771928
Jonathan Bond,6.52,56.14035087719298,43.859649122807014,61.40350877192983,22.807017543859647,26.31578947368421,29.82456140350877,14.035087719298245,85.96491228070175,54.385964912280706,42.10526315789473,0,29.82456140350877,87.71929824561403,17.543859649122805
Brad Guzan,6.5,63.1578947368421,71.9298245614035,80.7017543859649,80.7017543859649,40.35087719298245,22.807017543859647,36.84210526315789,28.07017543859649,80.7017543859649,10.526315789473683,0,19.29824561403509,24.561403508771928,15.789473684210526
Jonathan Sirois,6.46,66.66666666666666,63.1578947368421,56.14035087719298,63.1578947368421,40.35087719298245,28.07017543859649,24.561403508771928,45.614035087719294,NA,NA,NA,7.017543859649122,47.368421052631575,70.17543859649122
Kristijan Kahlina,6.44,82.45614035087719,33.33333333333333,75.43859649122807,82.45614035087719,50.877192982456144,26.31578947368421,26.31578947368421,45.614035087719294,89.47368421052632,3.508771929824561,0,7.017543859649122,28.07017543859649,33.33333333333333
John McCarthy,5.97,15.789473684210526,21.052631578947366,12.280701754385964,42.10526315789473,19.29824561403509,14.035087719298245,8.771929824561402,0,92.98245614035088,8.771929824561402,91.2280701754386,5.263157894736842,33.33333333333333,68.42105263157895
