name,rating,Goals_percentile,Shots_percentile,Shots on target_percentile,Assists_percentile,Accurate passes_percentile,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile,Yellow cards_percentile,Red cards_percentile,Penalty goals_percentile,Penalties awarded_percentile,Penalties conceded_percentile
Juan Torres,7.75,74.50980392156863,98.0392156862745,97.05882352941175,96.07843137254902,93.1372549019608,65.68627450980392,95.09803921568628,68.62745098039215,96.07843137254902,90.19607843137256,52.94117647058824,67.64705882352942,69.6078431372549,100,19.607843137254903,21.568627450980394,42.15686274509804,53.92156862745098,47.05882352941176,31.37254901960784,43.13725490196079,5.88235294117647,8.823529411764707,38.23529411764706,95.09803921568628,31.37254901960784,82.35294117647058,48.03921568627451,12.745098039215684,27.450980392156865,100,NA,NA,NA
Abdellatif Aboukoura,7.73,100,96.875,97.65625,57.8125,41.40625,61.71875,21.09375,46.09375,86.71875,78.90625,47.65625,95.3125,51.5625,55.46875,94.53125,3.125,35.9375,35.9375,57.03125,53.90625,33.59375,29.6875,57.8125,41.40625,95.3125,3.90625,33.59375,91.40625,82.03125,73.4375,100,100,92.1875,NA
Taylor Davila,7.69,78.90625,72.65625,81.25,86.71875,60.9375,34.375,89.0625,78.90625,94.53125,91.40625,71.09375,71.875,78.90625,71.875,50.78125,32.03125,30.46875,68.75,67.1875,49.21875,60.15625,61.71875,42.96875,25,80.46875,14.84375,96.09375,95.3125,61.71875,65.625,100,NA,NA,NA
Jorge Hernandez,7.66,94.11764705882352,54.90196078431373,75.49019607843137,45.09803921568628,83.33333333333334,79.41176470588235,91.17647058823528,93.1372549019608,92.15686274509804,94.11764705882352,57.84313725490197,80.3921568627451,77.45098039215686,86.27450980392157,28.431372549019606,12.745098039215684,97.05882352941175,29.411764705882355,79.41176470588235,79.41176470588235,89.2156862745098,8.823529411764707,16.666666666666664,71.56862745098039,55.88235294117647,32.35294117647059,31.37254901960784,53.92156862745098,70.58823529411765,7.84313725490196,100,98.0392156862745,85.29411764705883,NA
Hope Kodzo Avayevu,7.6,92.1875,84.375,90.625,91.40625,42.96875,41.40625,47.65625,42.1875,93.75,89.0625,78.90625,57.8125,46.875,52.34375,78.90625,50,96.875,58.59375,50.78125,85.9375,95.3125,63.28125,82.8125,46.875,35.9375,31.25,62.5,60.9375,72.65625,57.8125,100,NA,NA,4.6875
MD Myers,7.5,96.07843137254902,74.50980392156863,89.2156862745098,84.31372549019608,11.76470588235294,32.35294117647059,21.568627450980394,87.25490196078431,54.90196078431373,NA,NA,29.411764705882355,55.88235294117647,4.901960784313726,81.37254901960785,54.90196078431373,79.41176470588235,38.23529411764706,79.41176470588235,66.66666666666666,69.6078431372549,85.29411764705883,70.58823529411765,16.666666666666664,38.23529411764706,43.13725490196079,0,22.54901960784314,56.86274509803921,100,100,NA,87.25490196078431,NA
Nanan Houssou,7.42,86.71875,29.6875,55.46875,0,79.6875,83.59375,67.1875,71.09375,35.9375,NA,NA,52.34375,66.40625,82.8125,32.8125,28.125,67.1875,90.625,52.34375,67.96875,86.71875,21.875,54.6875,75.78125,21.875,60.15625,92.1875,32.03125,77.34375,12.5,100,NA,91.40625,NA
Arthur Rogers,7.42,79.16666666666666,58.333333333333336,91.66666666666666,93.75,10.416666666666668,0,54.166666666666664,7.291666666666667,97.91666666666666,97.91666666666666,87.5,NA,NA,47.91666666666667,53.125,14.583333333333334,85.41666666666666,26.041666666666668,6.25,69.79166666666666,62.5,65.625,57.291666666666664,38.54166666666667,NA,22.916666666666664,83.33333333333334,94.79166666666666,42.70833333333333,68.75,100,NA,NA,NA
Lamar Batista,7.41,81.25,83.33333333333334,87.5,89.58333333333334,8.333333333333332,1.0416666666666663,26.041666666666668,5.208333333333334,78.125,NA,NA,81.25,60.416666666666664,53.125,89.58333333333334,17.708333333333336,97.91666666666666,67.70833333333334,9.375,97.91666666666666,54.166666666666664,85.41666666666666,51.041666666666664,63.541666666666664,69.79166666666666,92.70833333333334,84.375,83.33333333333334,19.791666666666664,40.625,100,NA,97.91666666666666,NA
Wilmer Cabrera Jr.,7.39,98.0392156862745,81.37254901960785,90.19607843137256,65.68627450980392,41.17647058823529,46.07843137254902,27.450980392156865,46.07843137254902,35.294117647058826,44.11764705882353,76.47058823529412,34.31372549019608,39.21568627450981,43.13725490196079,58.82352941176471,37.25490196078432,100,69.6078431372549,34.31372549019608,84.31372549019608,79.41176470588235,25.49019607843137,23.52941176470588,58.82352941176471,76.47058823529412,20.588235294117645,40.19607843137255,78.43137254901961,0,64.70588235294117,100,93.1372549019608,86.27450980392157,NA
