name,rating,Goals_percentile,Shots_percentile,Shots on target_percentile,Assists_percentile,Accurate passes_percentile,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile,Yellow cards_percentile,Red cards_percentile,Penalty goals_percentile,Penalties awarded_percentile,Penalties conceded_percentile
Russell Cicerone,7.36,87.25490196078431,47.05882352941176,72.54901960784314,86.27450980392157,43.13725490196079,47.05882352941176,62.74509803921568,84.31372549019608,97.05882352941175,34.31372549019608,63.725490196078425,87.25490196078431,72.54901960784314,37.25490196078432,96.07843137254902,60.78431372549019,49.01960784313725,9.803921568627452,11.76470588235294,53.92156862745098,38.23529411764706,49.01960784313725,22.54901960784314,NA,70.58823529411765,37.25490196078432,83.33333333333334,94.11764705882352,37.25490196078432,100,100,97.05882352941175,NA,NA
Aaron Molloy,7.35,61.71875,75,68.75,57.03125,100,90.625,98.4375,91.40625,46.875,36.71875,30.46875,46.09375,53.125,100,35.9375,58.59375,58.59375,66.40625,67.96875,59.375,68.75,64.0625,89.84375,82.03125,75.78125,69.53125,90.625,42.96875,35.15625,34.375,100,NA,NA,NA
Mikey Maldonado,7.35,64.0625,32.8125,39.84375,96.09375,55.46875,36.71875,71.09375,29.6875,92.96875,92.1875,64.84375,42.1875,53.125,77.34375,22.65625,87.5,15.625,11.71875,32.03125,7.03125,73.4375,48.4375,76.5625,62.5,34.375,10.9375,44.53125,28.125,92.1875,82.03125,100,NA,NA,NA
Gabriel Torres,7.35,67.1875,60.9375,70.3125,88.28125,66.40625,59.375,56.25,41.40625,84.375,85.9375,52.34375,81.25,50,92.96875,57.8125,8.59375,95.3125,62.5,31.25,94.53125,88.28125,78.125,95.3125,97.65625,67.96875,54.6875,79.6875,38.28125,40.625,100,100,NA,NA,NA
Arturo Rodriguez,7.34,81.37254901960785,60.78431372549019,71.56862745098039,78.43137254901961,81.37254901960785,83.33333333333334,71.56862745098039,66.66666666666666,95.09803921568628,23.52941176470588,39.21568627450981,58.82352941176471,60.78431372549019,75.49019607843137,44.11764705882353,30.392156862745097,98.0392156862745,86.27450980392157,34.31372549019608,91.17647058823528,90.19607843137256,13.725490196078432,11.76470588235294,NA,62.74509803921568,39.21568627450981,90.19607843137256,76.47058823529412,20.588235294117645,100,0.9803921568627452,NA,91.17647058823528,NA
Ray Serrano,7.3,91.17647058823528,55.88235294117647,85.29411764705883,62.74509803921568,49.01960784313725,34.31372549019608,85.29411764705883,51.9607843137255,65.68627450980392,87.25490196078431,53.92156862745098,47.05882352941176,38.23529411764706,53.92156862745098,43.13725490196079,86.27450980392157,18.62745098039216,21.568627450980394,27.450980392156865,9.803921568627452,23.52941176470588,19.607843137254903,11.76470588235294,48.03921568627451,43.13725490196079,13.725490196078432,69.6078431372549,56.86274509803921,40.19607843137255,100,100,NA,NA,NA
Sean Totsch,7.29,69.79166666666666,41.66666666666667,39.58333333333333,78.125,30.208333333333332,9.375,53.125,31.25,72.91666666666666,NA,NA,55.208333333333336,37.5,60.416666666666664,61.458333333333336,100,23.958333333333336,65.625,19.791666666666664,70.83333333333334,57.291666666666664,76.04166666666666,90.625,54.166666666666664,72.91666666666666,80.20833333333334,57.291666666666664,NA,11.458333333333332,44.79166666666667,100,NA,NA,NA
Jacob Erlandson,7.27,91.66666666666666,64.58333333333334,96.875,0,84.375,69.79166666666666,59.375,72.91666666666666,NA,NA,NA,NA,NA,82.29166666666666,55.208333333333336,54.166666666666664,70.83333333333334,43.75,31.25,94.79166666666666,85.41666666666666,97.91666666666666,85.41666666666666,57.291666666666664,NA,42.70833333333333,59.375,NA,55.208333333333336,22.916666666666664,100,NA,NA,NA
Florian Valot,7.27,15.384615384615383,13.461538461538462,21.153846153846153,96.15384615384616,96.15384615384616,80.76923076923077,96.15384615384616,76.92307692307693,82.6923076923077,82.6923076923077,57.692307692307686,25,19.230769230769234,96.15384615384616,30.76923076923077,90.3846153846154,30.76923076923077,65.38461538461539,50,40.38461538461539,88.46153846153845,50,94.23076923076924,86.53846153846155,53.84615384615385,0,92.3076923076923,76.92307692307693,17.307692307692307,100,100,NA,NA,1.9230769230769231
Taylor Calheira,7.27,92.3076923076923,100,92.3076923076923,55.769230769230774,38.46153846153847,9.615384615384617,42.30769230769231,44.230769230769226,65.38461538461539,65.38461538461539,57.692307692307686,84.61538461538461,55.769230769230774,55.769230769230774,88.46153846153845,44.230769230769226,32.69230769230769,46.15384615384615,100,82.6923076923077,25,94.23076923076924,34.61538461538461,69.23076923076923,100,30.76923076923077,57.692307692307686,78.84615384615384,61.53846153846154,63.46153846153846,100,100,92.3076923076923,NA
Nico Benalcazar,7.25,37.25490196078432,53.92156862745098,28.431372549019606,63.725490196078425,95.09803921568628,93.1372549019608,93.1372549019608,51.9607843137255,39.21568627450981,40.19607843137255,84.31372549019608,NA,NA,95.09803921568628,21.568627450980394,93.1372549019608,87.25490196078431,80.3921568627451,60.78431372549019,76.47058823529412,98.0392156862745,91.17647058823528,89.2156862745098,70.58823529411765,46.07843137254902,28.431372549019606,86.27450980392157,40.19607843137255,62.74509803921568,41.17647058823529,100,NA,NA,NA
Rafael Mentzingen,7.25,87.87878787878788,95.45454545454544,95.45454545454544,0,6.0606060606060606,4.545454545454546,12.12121212121212,25.75757575757576,75.75757575757575,53.03030303030303,37.878787878787875,86.36363636363636,50,19.696969696969695,95.45454545454544,75.75757575757575,80.3030303030303,56.060606060606055,60.60606060606061,78.78787878787878,74.24242424242425,71.21212121212122,62.121212121212125,16.666666666666664,78.78787878787878,25.75757575757576,53.03030303030303,81.81818181818183,33.33333333333333,51.51515151515152,100,NA,NA,NA
Joey Akpunonu,7.24,0,31.25,NA,0,90.625,83.33333333333334,71.875,69.79166666666666,51.041666666666664,NA,NA,51.041666666666664,100,87.5,6.25,60.416666666666664,63.541666666666664,64.58333333333334,58.333333333333336,37.5,91.66666666666666,27.083333333333332,32.29166666666667,11.458333333333332,NA,2.083333333333333,56.25,NA,61.458333333333336,100,100,NA,NA,NA
Cal Jennings,7.23,100,94.23076923076924,96.15384615384616,63.46153846153846,25,19.230769230769234,48.07692307692308,48.07692307692308,78.84615384615384,NA,NA,61.53846153846154,36.53846153846153,42.30769230769231,96.15384615384616,57.692307692307686,17.307692307692307,53.84615384615385,82.6923076923077,28.846153846153843,17.307692307692307,53.84615384615385,44.230769230769226,NA,88.46153846153845,63.46153846153846,15.384615384615383,42.30769230769231,53.84615384615385,69.23076923076923,100,96.15384615384616,84.61538461538461,NA
Luke Biasi,7.22,0,59.09090909090909,NA,87.87878787878788,56.060606060606055,19.696969696969695,92.42424242424242,71.21212121212122,60.60606060606061,50,69.6969696969697,84.84848484848484,90.9090909090909,57.57575757575758,71.21212121212122,57.57575757575758,65.15151515151516,92.42424242424242,83.33333333333334,84.84848484848484,90.9090909090909,78.78787878787878,92.42424242424242,56.060606060606055,75.75757575757575,62.121212121212125,63.63636363636363,NA,36.36363636363637,7.575757575757576,6.0606060606060606,NA,NA,NA
Amando Moreno,7.21,84.31372549019608,87.25490196078431,81.37254901960785,77.45098039215686,39.21568627450981,57.84313725490197,43.13725490196079,35.294117647058826,63.725490196078425,50.98039215686274,63.725490196078425,65.68627450980392,48.03921568627451,33.33333333333333,92.15686274509804,53.92156862745098,69.6078431372549,33.33333333333333,51.9607843137255,43.13725490196079,41.17647058823529,22.54901960784314,10.784313725490197,32.35294117647059,80.3921568627451,66.66666666666666,50,77.45098039215686,90.19607843137256,32.35294117647059,2.941176470588235,NA,NA,NA
Matthew Mahoney,7.2,87.5,69.79166666666666,72.91666666666666,0,91.66666666666666,57.291666666666664,94.79166666666666,75,56.25,75,88.54166666666666,55.208333333333336,37.5,93.75,68.75,25,38.54166666666667,16.666666666666664,37.5,16.666666666666664,44.79166666666667,35.41666666666667,54.166666666666664,90.625,54.166666666666664,5.208333333333334,95.83333333333334,85.41666666666666,36.45833333333333,77.08333333333334,100,NA,NA,NA
Lee Desmond,7.2,0,85.41666666666666,NA,0,32.29166666666667,28.125,38.54166666666667,22.916666666666664,44.79166666666667,NA,NA,45.83333333333333,100,42.70833333333333,81.25,35.41666666666667,22.916666666666664,15.625,21.875,43.75,90.625,70.83333333333334,92.70833333333334,80.20833333333334,84.375,9.375,53.125,NA,47.91666666666667,37.5,100,NA,100,NA
Freddy Kleemann,7.19,0,48.95833333333333,NA,0,26.041666666666668,43.75,35.41666666666667,45.83333333333333,20.833333333333336,NA,NA,NA,NA,22.916666666666664,50,100,55.208333333333336,18.75,26.041666666666668,96.875,89.58333333333334,100,86.45833333333334,73.95833333333334,59.375,79.16666666666666,26.041666666666668,NA,79.16666666666666,34.375,100,NA,NA,NA
Daltyn Knutson,7.19,92.70833333333334,77.08333333333334,59.375,0,23.958333333333336,36.45833333333333,47.91666666666667,37.5,46.875,NA,NA,34.375,37.5,23.958333333333336,75,100,17.708333333333336,87.5,40.625,73.95833333333334,97.91666666666666,73.95833333333334,79.16666666666666,84.375,NA,19.791666666666664,17.708333333333336,71.875,52.083333333333336,75,100,NA,NA,NA
Aodhan Quinn,7.18,90.625,64.84375,65.625,92.1875,47.65625,32.03125,75.78125,39.0625,69.53125,62.5,35.15625,22.65625,32.8125,48.4375,39.84375,72.65625,26.5625,34.375,54.6875,13.28125,36.71875,58.59375,71.09375,30.46875,53.125,44.53125,29.6875,79.6875,58.59375,71.09375,100,NA,NA,NA
Michelle Benitez,7.17,0,65.625,78.125,80.20833333333334,18.75,29.166666666666668,9.375,14.583333333333334,84.375,89.58333333333334,77.08333333333334,83.33333333333334,59.375,44.79166666666667,76.04166666666666,4.166666666666666,93.75,93.75,64.58333333333334,84.375,37.5,25,21.875,79.16666666666666,83.33333333333334,78.125,51.041666666666664,96.875,12.5,21.875,100,NA,NA,13.541666666666666
Frank Daroma,7.17,63.28125,35.9375,51.5625,81.25,88.28125,100,29.6875,83.59375,67.96875,29.6875,73.4375,68.75,85.15625,70.3125,45.3125,50.78125,71.875,52.34375,42.96875,53.125,79.6875,12.5,15.625,19.53125,33.59375,15.625,71.875,60.15625,18.75,58.59375,8.59375,NA,NA,NA
Gennaro Nigro,7.17,0,28.125,29.6875,82.03125,49.21875,50,96.09375,67.1875,89.84375,90.625,68.75,35.15625,35.9375,78.90625,28.125,30.46875,60.15625,89.84375,30.46875,69.53125,63.28125,35.15625,35.9375,46.09375,35.15625,58.59375,49.21875,NA,29.6875,32.03125,100,NA,92.96875,NA
Tyler Pasher,7.17,71.875,71.875,78.125,66.40625,51.5625,62.5,82.03125,80.46875,95.3125,65.625,52.34375,93.75,70.3125,51.5625,66.40625,22.65625,36.71875,55.46875,75.78125,42.1875,75,NA,NA,23.4375,76.5625,3.125,40.625,67.1875,86.71875,60.9375,100,NA,NA,NA
Jack Blake,7.16,80.3921568627451,83.33333333333334,83.33333333333334,88.23529411764706,74.50980392156863,48.03921568627451,86.27450980392157,65.68627450980392,72.54901960784314,67.64705882352942,46.07843137254902,15.68627450980392,22.54901960784314,76.47058823529412,53.92156862745098,27.450980392156865,67.64705882352942,68.62745098039215,67.64705882352942,54.90196078431373,50,74.50980392156863,76.47058823529412,51.9607843137255,75.49019607843137,49.01960784313725,51.9607843137255,20.588235294117645,10.784313725490197,56.86274509803921,100,96.07843137254902,NA,3.92156862745098
Emmanuel Samadia,7.16,0,46.96969696969697,NA,92.42424242424242,45.45454545454545,51.51515151515152,59.09090909090909,65.15151515151516,100,100,62.121212121212125,96.96969696969695,92.42424242424242,78.78787878787878,66.66666666666666,3.0303030303030303,78.78787878787878,43.93939393939394,78.78787878787878,87.87878787878788,66.66666666666666,62.121212121212125,42.42424242424242,80.3030303030303,60.60606060606061,34.84848484848485,96.96969696969695,87.87878787878788,63.63636363636363,72.72727272727273,3.0303030303030303,NA,NA,NA
Arturo Ortiz,7.16,80.20833333333334,93.75,94.79166666666666,88.54166666666666,86.45833333333334,40.625,96.875,66.66666666666666,85.41666666666666,80.20833333333334,78.125,70.83333333333334,37.5,95.83333333333334,67.70833333333334,41.66666666666667,71.875,97.91666666666666,71.875,79.16666666666666,78.125,29.166666666666668,83.33333333333334,85.41666666666666,81.25,72.91666666666666,89.58333333333334,NA,13.541666666666666,8.333333333333332,100,NA,NA,NA
Nick Ross,7.15,78.125,25,54.6875,0,77.34375,70.3125,49.21875,40.625,16.40625,34.375,89.0625,NA,NA,58.59375,41.40625,83.59375,43.75,59.375,21.09375,32.03125,80.46875,45.3125,57.8125,85.9375,27.34375,43.75,82.8125,35.9375,69.53125,16.40625,100,98.4375,NA,NA
Eric Calvillo,7.15,66.40625,78.125,67.96875,0,89.84375,89.84375,82.8125,86.71875,82.8125,53.90625,44.53125,70.3125,90.625,82.03125,54.6875,76.5625,46.09375,19.53125,22.65625,21.875,92.1875,28.90625,27.34375,47.65625,39.84375,1.5625,69.53125,82.03125,60.9375,50,100,NA,NA,NA
Marlon Vargas,7.15,56.86274509803921,77.45098039215686,73.52941176470588,68.62745098039215,76.47058823529412,50.98039215686274,30.392156862745097,37.25490196078432,89.2156862745098,49.01960784313725,24.509803921568626,88.23529411764706,94.11764705882352,70.58823529411765,63.725490196078425,38.23529411764706,28.431372549019606,15.68627450980392,30.392156862745097,28.431372549019606,86.27450980392157,16.666666666666664,45.09803921568628,45.09803921568628,82.35294117647058,6.862745098039216,22.54901960784314,58.82352941176471,86.27450980392157,34.31372549019608,100,NA,NA,NA
Francisco Bonfiglio,7.15,94.23076923076924,88.46153846153845,100,0,78.84615384615384,65.38461538461539,38.46153846153847,32.69230769230769,28.846153846153843,NA,NA,28.846153846153843,21.153846153846153,73.07692307692307,38.46153846153847,38.46153846153847,71.15384615384616,75,84.61538461538461,75,48.07692307692308,76.92307692307693,65.38461538461539,84.61538461538461,38.46153846153847,69.23076923076923,76.92307692307693,65.38461538461539,42.30769230769231,34.61538461538461,5.769230769230769,86.53846153846155,NA,NA
Mitchell Taintor,7.14,75,54.166666666666664,66.66666666666666,82.29166666666666,78.125,48.95833333333333,93.75,42.70833333333333,75,NA,NA,65.625,100,78.125,54.166666666666664,59.375,58.333333333333336,36.45833333333333,63.541666666666664,41.66666666666667,96.875,55.208333333333336,91.66666666666666,47.91666666666667,62.5,14.583333333333334,80.20833333333334,77.08333333333334,76.04166666666666,53.125,7.291666666666667,97.91666666666666,NA,NA
Langston Blackstock,7.14,0,21.21212121212121,NA,75.75757575757575,72.72727272727273,63.63636363636363,78.78787878787878,46.96969696969697,42.42424242424242,59.09090909090909,90.9090909090909,59.09090909090909,74.24242424242425,65.15151515151516,21.21212121212121,87.87878787878788,42.42424242424242,86.36363636363636,66.66666666666666,50,72.72727272727273,24.24242424242424,24.24242424242424,62.121212121212125,63.63636363636363,10.606060606060606,42.42424242424242,62.121212121212125,18.181818181818183,71.21212121212122,100,NA,NA,NA
Ascel Essengue,7.14,85.41666666666666,61.458333333333336,83.33333333333334,0,83.33333333333334,79.16666666666666,75,68.75,26.041666666666668,NA,NA,94.79166666666666,81.25,69.79166666666666,36.45833333333333,29.166666666666668,79.16666666666666,60.416666666666664,73.95833333333334,66.66666666666666,75,47.91666666666667,93.75,2.083333333333333,NA,85.41666666666666,94.79166666666666,NA,60.416666666666664,31.25,100,NA,NA,NA
Anton Søjberg Horup,7.13,61.53846153846154,76.92307692307693,86.53846153846155,75,86.53846153846155,44.230769230769226,94.23076923076924,50,88.46153846153845,90.3846153846154,73.07692307692307,40.38461538461539,86.53846153846155,84.61538461538461,3.8461538461538463,88.46153846153845,23.076923076923077,59.61538461538461,57.692307692307686,19.230769230769234,76.92307692307693,34.61538461538461,71.15384615384616,48.07692307692308,67.3076923076923,13.461538461538462,96.15384615384616,59.61538461538461,40.38461538461539,61.53846153846154,100,88.46153846153845,NA,NA
Sebastian Anderson,7.13,0,25.75757575757576,NA,93.93939393939394,36.36363636363637,36.36363636363637,42.42424242424242,21.21212121212121,95.45454545454544,87.87878787878788,65.15151515151516,63.63636363636363,50,50,63.63636363636363,59.09090909090909,72.72727272727273,81.81818181818183,34.84848484848485,66.66666666666666,48.48484848484848,16.666666666666664,51.51515151515152,46.96969696969697,80.3030303030303,83.33333333333334,40.909090909090914,40.909090909090914,7.575757575757576,60.60606060606061,100,NA,95.45454545454544,NA
Kyle Adams,7.12,0,12.5,NA,0,22.916666666666664,8.333333333333332,30.208333333333332,20.833333333333336,40.625,82.29166666666666,78.125,30.208333333333332,100,26.041666666666668,16.666666666666664,56.25,44.79166666666667,32.29166666666667,25,76.04166666666666,76.04166666666666,91.66666666666666,73.95833333333334,23.958333333333336,NA,59.375,55.208333333333336,NA,86.45833333333334,30.208333333333332,100,NA,NA,NA
Jack Gurr,7.12,84.375,61.71875,77.34375,61.71875,15.625,3.125,65.625,14.84375,80.46875,95.3125,69.53125,17.96875,10.9375,66.40625,83.59375,46.875,83.59375,70.3125,92.1875,65.625,50.78125,67.96875,44.53125,37.5,41.40625,46.09375,0.78125,21.875,26.5625,49.21875,100,NA,93.75,NA
Jay Chapman,7.12,70.3125,53.125,58.59375,77.34375,92.1875,64.0625,64.84375,57.03125,36.71875,NA,NA,44.53125,47.65625,91.40625,49.21875,55.46875,17.1875,67.1875,82.8125,39.84375,47.65625,77.34375,70.3125,90.625,46.09375,33.59375,82.03125,46.09375,53.125,42.96875,100,NA,NA,NA
Paco Craig,7.12,84.375,72.91666666666666,77.08333333333334,0,29.166666666666668,19.791666666666664,61.458333333333336,52.083333333333336,87.5,NA,NA,59.375,100,36.45833333333333,96.875,37.5,46.875,22.916666666666664,31.25,82.29166666666666,58.333333333333336,93.75,57.291666666666664,64.58333333333334,82.29166666666666,67.70833333333334,41.66666666666667,NA,69.79166666666666,38.54166666666667,100,NA,NA,4.166666666666666
Jared Timmer,7.11,0,76.04166666666666,NA,94.79166666666666,76.04166666666666,60.416666666666664,73.95833333333334,61.458333333333336,82.29166666666666,92.70833333333334,95.83333333333334,42.70833333333333,37.5,79.16666666666666,59.375,12.5,94.79166666666666,48.95833333333333,85.41666666666666,54.166666666666664,51.041666666666664,34.375,41.66666666666667,65.625,66.66666666666666,50,66.66666666666666,81.25,22.916666666666664,46.875,100,NA,NA,NA
Phillip Goodrum,7.11,88.46153846153845,84.61538461538461,88.46153846153845,0,17.307692307692307,11.538461538461538,57.692307692307686,90.3846153846154,76.92307692307693,50,71.15384615384616,65.38461538461539,84.61538461538461,26.923076923076923,82.6923076923077,76.92307692307693,61.53846153846154,36.53846153846153,42.30769230769231,65.38461538461539,67.3076923076923,71.15384615384616,69.23076923076923,26.923076923076923,86.53846153846155,71.15384615384616,50,67.3076923076923,57.692307692307686,23.076923076923077,100,NA,88.46153846153845,NA
Owen Damm,7.11,68.75,71.09375,43.75,62.5,5.46875,7.8125,10.9375,3.90625,42.1875,71.875,51.5625,65.625,53.125,21.875,75,34.375,57.03125,69.53125,56.25,77.34375,67.96875,85.15625,80.46875,64.0625,91.40625,39.0625,56.25,40.625,46.09375,67.1875,6.25,NA,94.53125,NA
Chris Hegardt,7.1,72.65625,86.71875,92.96875,69.53125,54.6875,68.75,50,63.28125,98.4375,96.875,82.03125,80.46875,79.6875,53.90625,75.78125,35.9375,94.53125,9.375,57.03125,64.0625,96.09375,40.625,89.84375,17.1875,52.34375,20.3125,21.09375,56.25,92.96875,19.53125,100,NA,NA,NA
Robbie Mertz,7.1,72.54901960784314,19.607843137254903,56.86274509803921,47.05882352941176,80.3921568627451,84.31372549019608,72.54901960784314,63.725490196078425,91.17647058823528,97.05882352941175,77.45098039215686,36.27450980392157,50,77.45098039215686,34.31372549019608,26.47058823529412,46.07843137254902,43.13725490196079,9.803921568627452,45.09803921568628,53.92156862745098,50.98039215686274,59.80392156862745,24.509803921568626,21.568627450980394,35.294117647058826,76.47058823529412,63.725490196078425,50.98039215686274,55.88235294117647,100,NA,NA,NA
Sofiane Djeffal,7.09,60.9375,40.625,48.4375,0,80.46875,89.0625,57.8125,86.71875,65.625,84.375,71.875,34.375,87.5,69.53125,47.65625,82.8125,24.21875,82.03125,73.4375,30.46875,50.78125,49.21875,57.8125,66.40625,47.65625,75.78125,39.0625,39.0625,31.25,24.21875,100,NA,NA,NA
Marcus Epps,7.09,67.64705882352942,48.03921568627451,57.84313725490197,76.47058823529412,44.11764705882353,59.80392156862745,57.84313725490197,89.2156862745098,68.62745098039215,82.35294117647058,81.37254901960785,68.62745098039215,60.78431372549019,41.17647058823529,72.54901960784314,51.9607843137255,9.803921568627452,47.05882352941176,28.431372549019606,39.21568627450981,70.58823529411765,58.82352941176471,90.19607843137256,28.431372549019606,57.84313725490197,14.705882352941178,48.03921568627451,25.49019607843137,31.37254901960784,65.68627450980392,100,NA,NA,NA
Michael Bryant,7.08,89.39393939393939,53.03030303030303,57.57575757575758,0,92.42424242424242,86.36363636363636,96.96969696969695,86.36363636363636,19.696969696969695,NA,NA,45.45454545454545,50,83.33333333333334,53.03030303030303,63.63636363636363,90.9090909090909,53.03030303030303,75.75757575757575,89.39393939393939,86.36363636363636,92.42424242424242,78.78787878787878,92.42424242424242,NA,57.57575757575758,57.57575757575758,34.84848484848485,66.66666666666666,48.48484848484848,100,NA,NA,NA
Alexander Dalou,7.08,73.52941176470588,34.31372549019608,60.78431372549019,57.84313725490197,33.33333333333333,13.725490196078432,22.54901960784314,22.54901960784314,80.3921568627451,24.509803921568626,33.33333333333333,81.37254901960785,50.98039215686274,40.19607843137255,51.9607843137255,75.49019607843137,29.411764705882355,89.2156862745098,66.66666666666666,63.725490196078425,50.98039215686274,48.03921568627451,30.392156862745097,85.29411764705883,18.62745098039216,50.98039215686274,61.76470588235294,74.50980392156863,80.3921568627451,37.25490196078432,100,NA,NA,NA
Mukwelle Akale,7.08,52.94117647058824,40.19607843137255,52.94117647058824,93.1372549019608,68.62745098039215,63.725490196078425,56.86274509803921,86.27450980392157,88.23529411764706,86.27450980392157,89.2156862745098,57.84313725490197,45.09803921568628,57.84313725490197,87.25490196078431,56.86274509803921,56.86274509803921,60.78431372549019,83.33333333333334,27.450980392156865,36.27450980392157,NA,NA,14.705882352941178,48.03921568627451,41.17647058823529,18.62745098039216,31.37254901960784,7.84313725490196,57.84313725490197,100,NA,NA,4.901960784313726
