name,rating,Goals_percentile,xG_percentile,xGOT_percentile,xG excl. penalty_percentile,Shots_percentile,Shots on target_percentile,Assists_percentile,xA_percentile,Accurate passes_percentile,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile,Yellow cards_percentile,Red cards_percentile,Penalty goals_percentile,Penalties awarded_percentile,Penalties conceded_percentile
Lionel Messi,8.39,95.34883720930232,80.23255813953489,86.04651162790698,86.04651162790698,96.51162790697676,97.67441860465117,91.86046511627907,100,100,86.04651162790698,97.67441860465117,67.44186046511628,96.51162790697676,82.55813953488372,62.7906976744186,100,82.55813953488372,97.67441860465117,91.86046511627907,44.18604651162791,68.6046511627907,41.86046511627907,81.3953488372093,70.93023255813954,88.37209302325581,0,20.930232558139537,24.418604651162788,97.67441860465117,8.13953488372093,65.11627906976744,93.02325581395348,39.53488372093023,31.3953488372093,100,NA,NA,NA
Carles Gil,7.95,80.95238095238095,63.8095238095238,73.33333333333333,25.71428571428571,56.19047619047619,68.57142857142857,66.66666666666666,92.38095238095238,98.09523809523807,68.57142857142857,100,80,96.1904761904762,92.38095238095238,78.0952380952381,87.61904761904762,80.95238095238095,98.09523809523807,7.6190476190476195,41.904761904761905,92.38095238095238,39.04761904761905,85.71428571428571,91.42857142857144,98.09523809523807,31.428571428571427,100,28.57142857142857,55.23809523809524,6.666666666666667,80.95238095238095,93.33333333333331,31.428571428571427,71.42857142857143,100,98.09523809523807,90.47619047619048,NA
Evander Ferreira,7.89,100,94.82758620689656,95.40229885057472,94.82758620689656,100,100,97.1264367816092,97.1264367816092,37.35632183908046,44.827586206896555,76.4367816091954,89.08045977011494,96.55172413793105,84.48275862068965,58.04597701149425,88.50574712643679,42.5287356321839,50,90.22988505747126,16.091954022988507,40.804597701149426,14.942528735632186,15.517241379310343,28.160919540229884,9.770114942528735,21.839080459770116,12.643678160919542,8.045977011494253,97.1264367816092,48.85057471264368,28.735632183908045,98.85057471264368,60.3448275862069,62.06896551724138,100,NA,NA,NA
Kai Wagner,7.87,61.46788990825688,16.51376146788991,35.77981651376147,16.51376146788991,27.52293577981651,51.37614678899083,94.4954128440367,94.4954128440367,37.61467889908257,5.5045871559633035,98.1651376146789,57.798165137614674,98.1651376146789,100,75.22935779816514,68.80733944954129,75.22935779816514,90.82568807339447,10.091743119266056,81.65137614678899,67.88990825688074,97.24770642201835,88.07339449541286,85.3211009174312,86.23853211009175,66.05504587155964,71.55963302752293,78.89908256880734,NA,61.46788990825688,90.82568807339447,90.82568807339447,14.678899082568808,43.11926605504588,100,NA,NA,NA
Anders Dreyer,7.87,85.71428571428571,93.33333333333331,74.28571428571429,85.71428571428571,85.71428571428571,78.0952380952381,100,95.23809523809524,81.9047619047619,59.04761904761905,78.0952380952381,53.333333333333336,94.28571428571428,90.47619047619048,72.38095238095238,30.47619047619048,61.904761904761905,60.95238095238096,87.61904761904762,87.61904761904762,7.6190476190476195,15.23809523809524,50.476190476190474,1.9047619047619049,87.61904761904762,9.523809523809524,58.0952380952381,14.285714285714285,77.14285714285715,3.8095238095238098,7.6190476190476195,38.095238095238095,95.23809523809524,72.38095238095238,100,91.42857142857144,NA,NA
Cristian Espinoza,7.85,54.285714285714285,35.23809523809524,44.761904761904766,22.857142857142858,20.952380952380953,31.428571428571427,92.38095238095238,96.1904761904762,80.95238095238095,17.142857142857142,88.57142857142857,57.14285714285714,100,98.09523809523807,67.61904761904762,70.47619047619048,75.23809523809524,95.23809523809524,21.904761904761905,70.47619047619048,25.71428571428571,56.19047619047619,58.0952380952381,49.523809523809526,60.95238095238096,57.14285714285714,74.28571428571429,77.14285714285715,40.95238095238095,62.857142857142854,98.09523809523807,89.52380952380953,36.19047619047619,43.80952380952381,100,86.66666666666667,NA,NA
Jeppe Tverskov,7.75,59.195402298850574,35.05747126436782,54.02298850574713,35.05747126436782,28.160919540229884,39.6551724137931,85.63218390804597,79.88505747126436,98.85057471264368,81.60919540229885,82.18390804597702,67.81609195402298,81.60919540229885,44.252873563218394,68.96551724137932,27.58620689655172,59.77011494252874,98.85057471264368,60.3448275862069,60.91954022988506,48.27586206896552,70.11494252873564,77.01149425287356,55.74712643678161,90.80459770114942,87.93103448275862,94.2528735632184,92.52873563218392,35.63218390804598,20.689655172413794,98.27586206896552,90.22988505747126,53.44827586206896,48.85057471264368,100,NA,NA,8.045977011494253
Martin Ojeda,7.7,66.27906976744185,41.86046511627907,39.53488372093023,27.906976744186046,70.93023255813954,60.46511627906976,87.20930232558139,95.34883720930232,95.34883720930232,100,96.51162790697676,69.76744186046511,100,100,90.69767441860463,65.11627906976744,80.23255813953489,89.53488372093024,40.69767441860465,76.74418604651163,16.27906976744186,59.30232558139535,79.06976744186046,8.13953488372093,56.97674418604651,3.488372093023256,11.627906976744184,70.93023255813954,60.46511627906976,6.976744186046512,94.18604651162792,82.55813953488372,19.767441860465116,100,100,89.53488372093024,NA,NA
Denis Bouanga,7.63,94.28571428571428,98.09523809523807,98.09523809523807,87.61904761904762,100,100,76.19047619047619,78.0952380952381,40,40,68.57142857142857,82.85714285714286,74.28571428571429,82.85714285714286,38.095238095238095,96.1904761904762,56.19047619047619,85.71428571428571,98.09523809523807,22.857142857142858,33.33333333333333,14.285714285714285,8.571428571428571,87.61904761904762,24.761904761904763,74.28571428571429,68.57142857142857,12.38095238095238,92.38095238095238,86.66666666666667,34.285714285714285,87.61904761904762,64.76190476190476,48.57142857142857,100,100,98.09523809523807,5.714285714285714
Sam Surridge,7.61,89.53488372093024,91.86046511627907,87.20930232558139,72.09302325581395,76.74418604651163,83.72093023255815,55.81395348837209,56.97674418604651,31.3953488372093,19.767441860465116,65.11627906976744,65.11627906976744,52.32558139534884,77.90697674418605,87.20930232558139,53.48837209302325,60.46511627906976,39.53488372093023,88.37209302325581,54.65116279069767,51.162790697674424,38.372093023255815,26.744186046511626,72.09302325581395,76.74418604651163,77.90697674418605,79.06976744186046,61.627906976744185,65.11627906976744,51.162790697674424,60.46511627906976,75.5813953488372,67.44186046511628,65.11627906976744,100,97.67441860465117,90.69767441860463,NA
