name,rating,Goals_percentile,Shots_percentile,Assists_percentile,Accurate passes_percentile,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile,Yellow cards_percentile,Red cards_percentile,Shots on target_percentile,Penalties awarded_percentile
Luis Alvarez,7.87,0,75.78125,85.9375,28.90625,42.96875,35.15625,17.1875,90.625,52.34375,37.5,96.875,67.96875,41.40625,78.125,0.78125,5.46875,15.625,6.25,71.875,13.28125,57.03125,17.1875,14.84375,62.5,13.28125,4.6875,50,1.5625,100,100,NA,NA
Pierre Reedy,7.47,53.03030303030303,74.24242424242425,84.84848484848484,30.303030303030305,63.63636363636363,7.575757575757576,18.181818181818183,34.84848484848485,16.666666666666664,15.151515151515152,51.51515151515152,43.93939393939394,46.96969696969697,81.81818181818183,31.818181818181817,89.39393939393939,81.81818181818183,34.84848484848485,92.42424242424242,92.42424242424242,80.3030303030303,89.39393939393939,100,27.27272727272727,77.27272727272727,89.39393939393939,22.727272727272727,46.96969696969697,34.84848484848485,100,75.75757575757575,NA
Sebastian Cruz,7.47,62.5,78.125,87.5,87.5,81.25,71.875,84.375,68.75,40.625,93.75,71.875,71.875,68.75,90.625,31.25,31.25,37.5,25,34.375,9.375,12.5,3.125,71.875,75,56.25,100,56.25,12.5,53.125,100,93.75,NA
Alfredo Midence,7.45,0,18.62745098039216,0,42.15686274509804,9.803921568627452,77.45098039215686,34.31372549019608,90.19607843137256,81.37254901960785,49.01960784313725,63.725490196078425,26.47058823529412,73.52941176470588,30.392156862745097,0,81.37254901960785,94.11764705882352,49.01960784313725,80.3921568627451,22.54901960784314,27.450980392156865,24.509803921568626,56.86274509803921,30.392156862745097,53.92156862745098,98.0392156862745,85.29411764705883,1.96078431372549,45.09803921568628,100,NA,NA
Darwin Espinal,7.43,90.9090909090909,75.75757575757575,57.57575757575758,50,60.60606060606061,68.18181818181817,95.45454545454544,54.54545454545454,37.878787878787875,40.909090909090914,83.33333333333334,59.09090909090909,53.03030303030303,43.93939393939394,51.51515151515152,59.09090909090909,34.84848484848485,57.57575757575758,42.42424242424242,59.09090909090909,9.090909090909092,15.151515151515152,33.33333333333333,80.3030303030303,18.181818181818183,57.57575757575758,74.24242424242425,37.878787878787875,100,100,65.15151515151516,NA
Joshua Ramos,7.38,0,87.5,84.375,3.125,3.125,0,37.5,46.875,59.375,59.375,93.75,81.25,6.25,100,34.375,90.625,87.5,62.5,93.75,100,93.75,93.75,62.5,71.875,53.125,53.125,93.75,6.25,34.375,100,81.25,93.75
Nathan Messer,7.38,78.125,90.625,56.25,65.625,43.75,46.875,31.25,87.5,87.5,37.5,37.5,62.5,87.5,46.875,50,37.5,59.375,90.625,62.5,59.375,81.25,56.25,56.25,65.625,43.75,50,62.5,50,43.75,100,87.5,NA
Derek Waldeck,7.37,68.75,9.375,50,90.625,62.5,53.125,34.375,62.5,81.25,68.75,15.625,9.375,100,50,25,56.25,78.125,65.625,56.25,56.25,59.375,62.5,34.375,34.375,31.25,87.5,71.875,37.5,65.625,100,37.5,NA
Juan Obregon,7.34,72.41379310344827,93.10344827586206,82.75862068965517,82.75862068965517,89.65517241379311,93.10344827586206,75.86206896551724,27.58620689655172,65.51724137931035,68.96551724137932,34.48275862068966,31.03448275862069,79.3103448275862,58.620689655172406,41.37931034482759,100,27.58620689655172,37.93103448275862,79.3103448275862,93.10344827586206,31.03448275862069,65.51724137931035,34.48275862068966,82.75862068965517,55.172413793103445,58.620689655172406,48.27586206896552,79.3103448275862,31.03448275862069,100,100,89.65517241379311
Mark Doyle,7.32,86.36363636363636,56.060606060606055,87.87878787878788,37.878787878787875,68.18181818181817,31.818181818181817,36.36363636363637,46.96969696969697,NA,NA,12.12121212121212,4.545454545454546,36.36363636363637,56.060606060606055,50,75.75757575757575,95.45454545454544,39.39393939393939,90.9090909090909,81.81818181818183,75.75757575757575,92.42424242424242,74.24242424242425,21.21212121212121,84.84848484848484,72.72727272727273,30.303030303030305,28.78787878787879,100,100,81.81818181818183,NA
Luis Gil,7.3,77.27272727272727,72.72727272727273,0,62.121212121212125,74.24242424242425,51.51515151515152,60.60606060606061,90.9090909090909,84.84848484848484,71.21212121212122,7.575757575757576,36.36363636363637,45.45454545454545,75.75757575757575,57.57575757575758,9.090909090909092,36.36363636363637,81.81818181818183,1.5151515151515151,68.18181818181817,57.57575757575758,83.33333333333334,36.36363636363637,63.63636363636363,1.5151515151515151,37.878787878787875,51.51515151515152,89.39393939393939,66.66666666666666,100,60.60606060606061,NA
Jerry Desdunes,7.29,69.6969696969697,37.878787878787875,80.3030303030303,80.3030303030303,84.84848484848484,83.33333333333334,74.24242424242425,86.36363636363636,72.72727272727273,62.121212121212125,81.81818181818183,63.63636363636363,78.78787878787878,92.42424242424242,30.303030303030305,81.81818181818183,12.12121212121212,13.636363636363637,56.060606060606055,60.60606060606061,25.75757575757576,19.696969696969695,NA,54.54545454545454,22.727272727272727,62.121212121212125,18.181818181818183,74.24242424242425,60.60606060606061,100,54.54545454545454,84.84848484848484
Walmer Martinez,7.28,90.625,75,78.125,93.75,93.75,65.625,93.75,50,43.75,21.875,87.5,75,93.75,53.125,15.625,21.875,43.75,53.125,46.875,37.5,25,46.875,18.75,78.125,12.5,81.25,84.375,31.25,100,100,78.125,NA
