name,rating,Goals_percentile,Shots_percentile,Assists_percentile,Accurate passes_percentile,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Chances created_percentile,Successful crosses_percentile,Cross accuracy_percentile,Dribbles_percentile,Dribbles success rate_percentile,Touches_percentile,Touches in opposition box_percentile,Dispossessed_percentile,Fouls won_percentile,Tackles won_percentile,Tackles won %_percentile,Duels won_percentile,Duels won %_percentile,Aerials won_percentile,Aerials won %_percentile,Interceptions_percentile,Blocked scoring attempt_percentile,Fouls committed_percentile,Recoveries_percentile,Possession won final 3rd_percentile,Dribbled past_percentile,Yellow cards_percentile,Red cards_percentile,Shots on target_percentile,Penalties awarded_percentile
Shavon John-Brown,7.28,66.66666666666666,15.151515151515152,77.27272727272727,53.03030303030303,53.03030303030303,48.48484848484848,71.21212121212122,77.27272727272727,19.696969696969695,22.727272727272727,86.36363636363636,93.93939393939394,30.303030303030305,63.63636363636363,16.666666666666664,71.21212121212122,43.93939393939394,50,83.33333333333334,93.93939393939394,65.15151515151516,81.81818181818183,43.93939393939394,30.303030303030305,13.636363636363637,63.63636363636363,16.666666666666664,78.78787878787878,51.51515151515152,100,16.666666666666664,NA
David Garcia,7.27,0,73.46938775510205,0,67.3469387755102,40.81632653061224,85.71428571428571,51.02040816326531,63.26530612244898,NA,NA,63.26530612244898,100,75.51020408163265,65.3061224489796,32.6530612244898,44.89795918367347,46.93877551020408,77.55102040816327,48.97959183673469,69.38775510204081,75.51020408163265,67.3469387755102,32.6530612244898,95.91836734693877,36.734693877551024,22.448979591836736,NA,42.857142857142854,63.26530612244898,100,NA,NA
Jordan Skelton,7.26,87.75510204081633,69.38775510204081,0,40.81632653061224,51.02040816326531,26.53061224489796,24.489795918367346,36.734693877551024,NA,NA,NA,NA,46.93877551020408,77.55102040816327,46.93877551020408,30.612244897959183,55.10204081632652,30.612244897959183,77.55102040816327,79.59183673469387,87.75510204081633,79.59183673469387,59.18367346938776,85.71428571428571,38.775510204081634,20.40816326530612,NA,46.93877551020408,100,100,79.59183673469387,NA
Masashi Wada,7.22,31.818181818181817,16.666666666666664,0,74.24242424242425,45.45454545454545,59.09090909090909,18.181818181818183,69.6969696969697,34.84848484848485,27.27272727272727,72.72727272727273,83.33333333333334,66.66666666666666,36.36363636363637,80.3030303030303,66.66666666666666,57.57575757575758,39.39393939393939,78.78787878787878,90.9090909090909,78.78787878787878,87.87878787878788,19.696969696969695,12.12121212121212,80.3030303030303,53.03030303030303,65.15151515151516,71.21212121212122,42.42424242424242,100,30.303030303030305,NA
Lucky Opara,7.22,0,50,93.75,53.125,59.375,81.25,90.625,93.75,75,56.25,46.875,40.625,37.5,87.5,56.25,6.25,34.375,100,9.375,0,62.5,31.25,53.125,43.75,65.625,31.25,NA,59.375,75,100,43.75,100
Zane Bubb,7.2,0,75.51020408163265,0,91.83673469387756,59.18367346938776,83.6734693877551,71.42857142857143,89.79591836734694,93.87755102040816,81.63265306122449,87.75510204081633,65.3061224489796,93.87755102040816,73.46938775510205,26.53061224489796,20.40816326530612,89.79591836734694,42.857142857142854,69.38775510204081,83.6734693877551,71.42857142857143,85.71428571428571,100,NA,57.14285714285714,59.18367346938776,79.59183673469387,32.6530612244898,30.612244897959183,100,59.18367346938776,NA
Camron Miller,7.19,85.71428571428571,95.91836734693877,0,87.75510204081633,73.46938775510205,42.857142857142854,22.448979591836736,NA,NA,NA,44.89795918367347,100,87.75510204081633,89.79591836734694,53.06122448979592,48.97959183673469,4.081632653061225,8.16326530612245,83.6734693877551,95.91836734693877,95.91836734693877,89.79591836734694,67.3469387755102,77.55102040816327,6.122448979591836,46.93877551020408,NA,83.6734693877551,59.18367346938776,12.244897959183673,73.46938775510205,NA
Max Schneider,7.19,56.41025641025641,87.17948717948718,0,76.92307692307693,38.46153846153847,51.28205128205128,46.15384615384615,76.92307692307693,69.23076923076923,56.41025641025641,25.64102564102564,69.23076923076923,89.74358974358975,69.23076923076923,43.58974358974359,76.92307692307693,76.92307692307693,66.66666666666666,92.3076923076923,51.28205128205128,94.87179487179486,69.23076923076923,89.74358974358975,46.15384615384615,94.87179487179486,79.48717948717949,41.02564102564102,30.76923076923077,35.8974358974359,100,89.74358974358975,NA
Luca Mastrantonio,7.18,91.83673469387756,71.42857142857143,0,89.79591836734694,75.51020408163265,67.3469387755102,77.55102040816327,44.89795918367347,NA,NA,73.46938775510205,61.224489795918366,91.83673469387756,69.38775510204081,40.81632653061224,18.367346938775512,79.59183673469387,32.6530612244898,100,93.87755102040816,100,81.63265306122449,53.06122448979592,NA,20.40816326530612,77.55102040816327,NA,75.51020408163265,73.46938775510205,100,89.79591836734694,NA
Connor Evans,7.17,65.625,100,75,25,28.125,87.5,53.125,100,100,100,31.25,18.75,43.75,81.25,28.125,71.875,31.25,28.125,21.875,15.625,15.625,0,37.5,100,37.5,62.5,59.375,78.125,50,100,65.625,NA
Andre Lewis,7.17,0,56.41025641025641,69.23076923076923,94.87179487179486,89.74358974358975,46.15384615384615,94.87179487179486,48.717948717948715,NA,NA,87.17948717948718,84.61538461538461,79.48717948717949,53.84615384615385,33.33333333333333,43.58974358974359,23.076923076923077,25.64102564102564,35.8974358974359,76.92307692307693,35.8974358974359,66.66666666666666,38.46153846153847,64.1025641025641,2.564102564102564,87.17948717948718,76.92307692307693,15.384615384615383,76.92307692307693,100,61.53846153846154,NA
Harrison Robledo,7.16,55.55555555555556,27.083333333333332,49.30555555555556,59.02777777777778,86.80555555555556,18.055555555555554,54.861111111111114,76.38888888888889,NA,NA,89.58333333333334,33.33333333333333,67.36111111111111,82.63888888888889,0.6944444444444444,85.41666666666666,90.2777777777778,79.86111111111111,84.02777777777779,13.88888888888889,4.861111111111112,100,81.94444444444444,40.97222222222222,75.69444444444444,68.05555555555556,100,2.7777777777777777,13.88888888888889,1.3888888888888888,43.05555555555556,95.83333333333334
Christian Chaney,7.15,75.86206896551724,82.75862068965517,62.06896551724138,62.06896551724138,44.827586206896555,37.93103448275862,72.41379310344827,62.06896551724138,75.86206896551724,100,37.93103448275862,51.72413793103448,72.41379310344827,75.86206896551724,13.79310344827586,65.51724137931035,31.03448275862069,62.06896551724138,65.51724137931035,79.3103448275862,82.75862068965517,93.10344827586206,72.41379310344827,65.51724137931035,58.620689655172406,31.03448275862069,13.79310344827586,72.41379310344827,24.13793103448276,100,62.06896551724138,NA
Jimmie Villalobos,7.14,63.63636363636363,34.84848484848485,63.63636363636363,95.45454545454544,92.42424242424242,78.78787878787878,71.21212121212122,45.45454545454545,NA,NA,43.93939393939394,75.75757575757575,74.24242424242425,12.12121212121212,90.9090909090909,3.0303030303030303,60.60606060606061,72.72727272727273,4.545454545454546,56.060606060606055,33.33333333333333,40.909090909090914,37.878787878787875,65.15151515151516,10.606060606060606,40.909090909090914,24.24242424242424,43.93939393939394,65.15151515151516,100,27.27272727272727,NA
Andres Ferrin,7.12,54.54545454545454,50,51.51515151515152,16.666666666666664,10.606060606060606,24.24242424242424,13.636363636363637,56.060606060606055,60.60606060606061,80.3030303030303,36.36363636363637,16.666666666666664,48.48484848484848,68.18181818181817,72.72727272727273,43.93939393939394,75.75757575757575,66.66666666666666,57.57575757575758,45.45454545454545,71.21212121212122,68.18181818181817,89.39393939393939,13.636363636363637,50,45.45454545454545,39.39393939393939,22.727272727272727,30.303030303030305,100,46.96969696969697,81.81818181818183
Chapa Herrera,7.12,53.84615384615385,48.717948717948715,71.7948717948718,82.05128205128204,79.48717948717949,56.41025641025641,66.66666666666666,69.23076923076923,46.15384615384615,76.92307692307693,92.3076923076923,87.17948717948718,82.05128205128204,43.58974358974359,30.76923076923077,87.17948717948718,71.7948717948718,20.51282051282051,84.61538461538461,87.17948717948718,10.256410256410255,10.256410256410255,71.7948717948718,71.7948717948718,51.28205128205128,100,84.61538461538461,53.84615384615385,74.35897435897436,2.564102564102564,38.46153846153847,NA
Nils Seufert,7.12,28.78787878787879,4.545454545454546,72.72727272727273,90.9090909090909,40.909090909090914,95.45454545454544,54.54545454545454,83.33333333333334,92.42424242424242,100,33.33333333333333,81.81818181818183,84.84848484848484,15.151515151515152,78.78787878787878,24.24242424242424,54.54545454545454,34.84848484848485,37.878787878787875,75.75757575757575,62.121212121212125,51.51515151515152,69.6969696969697,10.606060606060606,40.909090909090914,69.6969696969697,53.03030303030303,50,100,100,6.0606060606060606,NA
Charlie Ostrem,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Conor McGlynn,7.1,94.87179487179486,66.66666666666666,94.87179487179486,100,87.17948717948718,100,82.05128205128204,74.35897435897436,NA,NA,33.33333333333333,69.23076923076923,84.61538461538461,56.41025641025641,94.87179487179486,12.82051282051282,51.28205128205128,69.23076923076923,12.82051282051282,74.35897435897436,30.76923076923077,76.92307692307693,64.1025641025641,30.76923076923077,17.94871794871795,20.51282051282051,48.717948717948715,48.717948717948715,48.717948717948715,100,79.48717948717949,NA
Philip Spengler,7.08,78.78787878787878,80.3030303030303,69.6969696969697,54.54545454545454,48.48484848484848,63.63636363636363,46.96969696969697,66.66666666666666,50,83.33333333333334,50,30.303030303030305,56.060606060606055,48.48484848484848,9.090909090909092,93.93939393939394,53.03030303030303,71.21212121212122,45.45454545454545,13.636363636363637,4.545454545454546,4.545454545454546,39.39393939393939,84.84848484848484,83.33333333333334,59.09090909090909,34.84848484848485,21.21212121212121,31.818181818181817,1.5151515151515151,86.36363636363636,NA
Fabrice Ngah,7.08,100,62.5,0,46.875,50,100,87.5,65.625,65.625,40.625,62.5,40.625,50,56.25,81.25,50,93.75,68.75,71.875,84.375,53.125,90.625,50,59.375,59.375,93.75,81.25,25,100,100,90.625,NA
Jack Denton,7.08,66.66666666666666,38.46153846153847,0,92.3076923076923,100,71.7948717948718,84.61538461538461,51.28205128205128,NA,NA,74.35897435897436,66.66666666666666,94.87179487179486,61.53846153846154,10.256410256410255,61.53846153846154,100,64.1025641025641,89.74358974358975,92.3076923076923,NA,NA,58.97435897435898,66.66666666666666,53.84615384615385,89.74358974358975,92.3076923076923,69.23076923076923,43.58974358974359,100,41.02564102564102,NA
Kempes Tekiela,7.07,65.51724137931035,27.58620689655172,89.65517241379311,68.96551724137932,55.172413793103445,86.20689655172413,51.72413793103448,93.10344827586206,NA,NA,100,75.86206896551724,48.27586206896552,17.24137931034483,10.344827586206897,44.827586206896555,10.344827586206897,10.344827586206897,75.86206896551724,86.20689655172413,55.172413793103445,75.86206896551724,NA,37.93103448275862,17.24137931034483,82.75862068965517,10.344827586206897,NA,100,100,48.27586206896552,NA
Solomon Asante,7.05,62.06896551724138,3.4482758620689653,65.51724137931035,93.10344827586206,93.10344827586206,62.06896551724138,27.58620689655172,72.41379310344827,NA,NA,82.75862068965517,82.75862068965517,68.96551724137932,3.4482758620689653,48.27586206896552,17.24137931034483,93.10344827586206,44.827586206896555,27.58620689655172,58.620689655172406,3.4482758620689653,3.4482758620689653,58.620689655172406,34.48275862068966,3.4482758620689653,89.65517241379311,31.03448275862069,55.172413793103445,62.06896551724138,100,27.58620689655172,NA
Eduardo Blancas,7.05,92.42424242424242,69.6969696969697,39.39393939393939,72.72727272727273,50,77.27272727272727,46.96969696969697,43.93939393939394,69.6969696969697,60.60606060606061,22.727272727272727,27.27272727272727,60.60606060606061,22.727272727272727,59.09090909090909,10.606060606060606,16.666666666666664,21.21212121212121,0,3.0303030303030303,21.21212121212121,37.878787878787875,24.24242424242424,40.909090909090914,31.818181818181817,7.575757575757576,48.48484848484848,90.9090909090909,22.727272727272727,100,93.93939393939394,NA
Tyler Polak,7.04,0,31.25,0,75,84.375,37.5,40.625,37.5,50,87.5,40.625,78.125,56.25,25,53.125,59.375,71.875,43.75,65.625,78.125,43.75,34.375,81.25,31.25,40.625,78.125,43.75,28.125,31.25,100,34.375,NA
Gabriel Alves,7.03,75,46.875,81.25,81.25,46.875,56.25,25,71.875,90.625,90.625,68.75,93.75,78.125,43.75,43.75,62.5,15.625,0,59.375,87.5,71.875,84.375,59.375,37.5,62.5,40.625,75,81.25,28.125,100,71.875,NA
Dion Acoff,7.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ollie Wright,7,71.21212121212122,71.21212121212122,66.66666666666666,77.27272727272727,28.78787878787879,74.24242424242425,30.303030303030305,37.878787878787875,59.09090909090909,53.03030303030303,75.75757575757575,60.60606060606061,83.33333333333334,34.84848484848485,42.42424242424242,16.666666666666664,28.78787878787879,37.878787878787875,15.151515151515152,19.696969696969695,15.151515151515152,15.151515151515152,86.36363636363636,72.72727272727273,16.666666666666664,66.66666666666666,42.42424242424242,15.151515151515152,18.181818181818183,100,80.3030303030303,NA
Noah Powder,7,69.23076923076923,41.02564102564102,100,35.8974358974359,48.717948717948715,48.717948717948715,100,100,100,74.35897435897436,76.92307692307693,35.8974358974359,41.02564102564102,71.7948717948718,64.1025641025641,30.76923076923077,61.53846153846154,92.3076923076923,23.076923076923077,35.8974358974359,25.64102564102564,43.58974358974359,7.6923076923076925,38.46153846153847,66.66666666666666,10.256410256410255,51.28205128205128,89.74358974358975,41.02564102564102,100,43.58974358974359,NA
Osvaldo Lay,7,64.1025641025641,58.97435897435898,82.05128205128204,71.7948717948718,30.76923076923077,92.3076923076923,35.8974358974359,41.02564102564102,NA,NA,100,79.48717948717949,92.3076923076923,10.256410256410255,48.717948717948715,53.84615384615385,84.61538461538461,48.717948717948715,94.87179487179486,79.48717948717949,76.92307692307693,61.53846153846154,84.61538461538461,NA,43.58974358974359,69.23076923076923,66.66666666666666,12.82051282051282,20.51282051282051,100,33.33333333333333,NA
Jonathan Bolanos,7,82.05128205128204,33.33333333333333,0,23.076923076923077,58.97435897435898,20.51282051282051,92.3076923076923,94.87179487179486,64.1025641025641,48.717948717948715,94.87179487179486,33.33333333333333,23.076923076923077,100,12.82051282051282,46.15384615384615,48.717948717948715,33.33333333333333,46.15384615384615,15.384615384615383,15.384615384615383,17.94871794871795,48.717948717948715,53.84615384615385,25.64102564102564,41.02564102564102,69.23076923076923,5.128205128205128,51.28205128205128,100,71.7948717948718,94.87179487179486
Maximiliano Schenfeld,6.99,0,84.375,100,71.875,65.625,28.125,28.125,81.25,84.375,53.125,84.375,68.75,84.375,6.25,78.125,75,68.75,78.125,78.125,34.375,31.25,78.125,68.75,87.5,81.25,71.875,90.625,9.375,3.125,100,50,NA
Javier Mariona,6.97,39.39393939393939,95.45454545454544,54.54545454545454,71.21212121212122,86.36363636363636,53.03030303030303,75.75757575757575,72.72727272727273,22.727272727272727,27.27272727272727,53.03030303030303,40.909090909090914,62.121212121212125,100,87.87878787878788,78.78787878787878,9.090909090909092,7.575757575757576,40.909090909090914,86.36363636363636,39.39393939393939,56.060606060606055,56.060606060606055,100,33.33333333333333,56.060606060606055,19.696969696969695,69.6969696969697,100,100,62.121212121212125,NA
Declan Watters,6.96,83.6734693877551,42.857142857142854,0,0,2.0408163265306123,14.285714285714285,36.734693877551024,83.6734693877551,79.59183673469387,100,NA,NA,0,100,57.14285714285714,28.57142857142857,61.224489795918366,40.81632653061224,79.59183673469387,38.775510204081634,89.79591836734694,51.02040816326531,22.448979591836736,NA,30.612244897959183,6.122448979591836,NA,18.367346938775512,61.224489795918366,100,69.38775510204081,NA
Mason Tunbridge,6.96,95.45454545454544,78.78787878787878,46.96969696969697,60.60606060606061,30.303030303030305,92.42424242424242,63.63636363636363,57.57575757575758,89.39393939393939,78.78787878787878,60.60606060606061,28.78787878787879,63.63636363636363,50,56.060606060606055,48.48484848484848,15.151515151515152,21.21212121212121,19.696969696969695,31.818181818181817,43.93939393939394,72.72727272727273,NA,56.060606060606055,39.39393939393939,24.24242424242424,69.6969696969697,84.84848484848484,33.33333333333333,100,89.39393939393939,89.39393939393939
Derek Gebhard,6.95,81.81818181818183,22.727272727272727,0,31.818181818181817,89.39393939393939,19.696969696969695,57.57575757575758,40.909090909090914,24.24242424242424,40.909090909090914,45.45454545454545,66.66666666666666,6.0606060606060606,65.15151515151516,40.909090909090914,83.33333333333334,6.0606060606060606,21.21212121212121,27.27272727272727,89.39393939393939,37.878787878787875,36.36363636363637,25.75757575757576,18.181818181818183,3.0303030303030303,10.606060606060606,59.09090909090909,93.93939393939394,62.121212121212125,100,50,95.45454545454544
Karsen Henderlong,6.94,68.96551724137932,17.24137931034483,79.3103448275862,41.37931034482759,34.48275862068966,20.689655172413794,37.93103448275862,51.72413793103448,62.06896551724138,62.06896551724138,86.20689655172413,58.620689655172406,58.620689655172406,37.93103448275862,20.689655172413794,51.72413793103448,44.827586206896555,17.24137931034483,86.20689655172413,62.06896551724138,86.20689655172413,89.65517241379311,51.72413793103448,75.86206896551724,75.86206896551724,48.27586206896552,75.86206896551724,13.79310344827586,75.86206896551724,6.896551724137931,34.48275862068966,NA
Brecc Evans,6.94,77.55102040816327,61.224489795918366,0,26.53061224489796,16.3265306122449,69.38775510204081,32.6530612244898,55.10204081632652,NA,NA,NA,NA,36.734693877551024,63.26530612244898,100,12.244897959183673,26.53061224489796,14.285714285714285,26.53061224489796,65.3061224489796,59.18367346938776,44.89795918367347,40.81632653061224,87.75510204081633,0,44.89795918367347,NA,65.3061224489796,51.02040816326531,100,65.3061224489796,NA
Stuart Ritchie,6.94,81.25,18.75,0,37.5,25,68.75,43.75,90.625,93.75,84.375,53.125,34.375,59.375,40.625,65.625,25,21.875,50,43.75,43.75,78.125,87.5,40.625,46.875,71.875,34.375,87.5,75,71.875,0,53.125,NA
Anthony Sorenson,6.93,84.375,56.25,65.625,28.125,56.25,75,75,75,18.75,12.5,56.25,40.625,15.625,84.375,62.5,53.125,12.5,0,40.625,46.875,50,59.375,28.125,50,15.625,68.75,NA,53.125,46.875,100,68.75,NA
Brandon Fricke,6.92,0,61.224489795918366,0,81.63265306122449,57.14285714285714,63.26530612244898,42.857142857142854,69.38775510204081,NA,NA,NA,NA,79.59183673469387,51.02040816326531,12.244897959183673,26.53061224489796,53.06122448979592,59.18367346938776,61.224489795918366,73.46938775510205,85.71428571428571,61.224489795918366,73.46938775510205,73.46938775510205,2.0408163265306123,79.59183673469387,NA,53.06122448979592,51.02040816326531,100,NA,NA
Niall Reid-Stephen,6.91,51.51515151515152,54.54545454545454,74.24242424242425,34.84848484848485,43.93939393939394,39.39393939393939,36.36363636363637,50,42.42424242424242,21.21212121212121,30.303030303030305,10.606060606060606,39.39393939393939,87.87878787878788,18.181818181818183,63.63636363636363,45.45454545454545,78.78787878787878,63.63636363636363,54.54545454545454,92.42424242424242,96.96969696969695,75.75757575757575,24.24242424242424,72.72727272727273,68.18181818181817,89.39393939393939,75.75757575757575,100,100,37.878787878787875,87.87878787878788
Eric Kinzner,6.91,0,51.02040816326531,0,2.0408163265306123,0,38.775510204081634,14.285714285714285,34.69387755102041,NA,NA,NA,NA,6.122448979591836,57.14285714285714,28.57142857142857,34.69387755102041,36.734693877551024,44.89795918367347,34.69387755102041,55.10204081632652,63.26530612244898,53.06122448979592,6.122448979591836,63.26530612244898,42.857142857142854,34.69387755102041,NA,85.71428571428571,18.367346938775512,100,71.42857142857143,NA
Bachir Ndiaye,6.9,58.97435897435898,30.76923076923077,0,56.41025641025641,53.84615384615385,25.64102564102564,28.205128205128204,43.58974358974359,NA,NA,56.41025641025641,35.8974358974359,48.717948717948715,76.92307692307693,15.384615384615383,100,58.97435897435898,17.94871794871795,100,71.7948717948718,92.3076923076923,82.05128205128204,33.33333333333333,58.97435897435898,100,58.97435897435898,82.05128205128204,33.33333333333333,30.76923076923077,100,51.28205128205128,89.74358974358975
Sivert Haugli,6.9,61.53846153846154,71.7948717948718,0,74.35897435897436,51.28205128205128,64.1025641025641,56.41025641025641,12.82051282051282,NA,NA,12.82051282051282,10.256410256410255,69.23076923076923,64.1025641025641,53.84615384615385,58.97435897435898,10.256410256410255,33.33333333333333,71.7948717948718,53.84615384615385,100,74.35897435897436,25.64102564102564,33.33333333333333,28.205128205128204,66.66666666666666,17.94871794871795,79.48717948717949,7.6923076923076925,100,66.66666666666666,NA
Azaad Liadi,6.89,55.172413793103445,55.172413793103445,75.86206896551724,17.24137931034483,17.24137931034483,75.86206896551724,62.06896551724138,75.86206896551724,NA,NA,62.06896551724138,27.58620689655172,62.06896551724138,44.827586206896555,34.48275862068966,93.10344827586206,48.27586206896552,34.48275862068966,93.10344827586206,75.86206896551724,93.10344827586206,72.41379310344827,100,24.13793103448276,100,51.72413793103448,65.51724137931035,75.86206896551724,44.827586206896555,100,55.172413793103445,NA
Max Glasser,6.89,0,0,62.5,6.25,12.5,18.75,6.25,12.5,56.25,71.875,28.125,18.75,12.5,0,68.75,46.875,46.875,37.5,12.5,50,9.375,21.875,84.375,NA,34.375,18.75,NA,71.875,25,100,NA,NA
Anuar Pelaez,6.89,89.65517241379311,62.06896551724138,86.20689655172413,0,62.06896551724138,10.344827586206897,100,17.24137931034483,NA,NA,51.72413793103448,89.65517241379311,6.896551724137931,72.41379310344827,27.58620689655172,68.96551724137932,17.24137931034483,44.827586206896555,48.27586206896552,51.72413793103448,48.27586206896552,58.620689655172406,62.06896551724138,51.72413793103448,82.75862068965517,6.896551724137931,34.48275862068966,68.96551724137932,34.48275862068966,100,51.72413793103448,82.75862068965517
Jordan Ayimbila,6.88,0,21.875,0,0,0,6.25,0,18.75,37.5,46.875,90.625,100,0,21.875,0,15.625,90.625,59.375,87.5,40.625,75,71.875,93.75,53.125,84.375,90.625,53.125,15.625,18.75,100,NA,NA
