name,rating,Pass accuracy_percentile,Accurate long balls_percentile,Long ball accuracy_percentile,Saves_percentile,Save percentage_percentile,Goals conceded_percentile,Clean sheets_percentile,Penalty goals faced_percentile,Penalty goals conceded_percentile,Penalty goals saves_percentile,Error led to goal_percentile,Acted as sweeper_percentile,High claims_percentile
Javier Garcia,7.34,10.526315789473683,63.1578947368421,15.789473684210526,68.42105263157895,84.21052631578947,84.21052631578947,89.47368421052632,73.68421052631578,26.31578947368421,84.21052631578947,100,73.68421052631578,63.1578947368421
Carlos Merancio,7.01,42.10526315789473,36.84210526315789,31.57894736842105,47.368421052631575,89.47368421052632,89.47368421052632,100,36.84210526315789,100,68.42105263157895,100,31.57894736842105,21.052631578947366
Carlos Avilez,6.92,52.63157894736842,68.42105263157895,36.84210526315789,84.21052631578947,78.94736842105263,68.42105263157895,57.89473684210527,63.1578947368421,36.84210526315789,78.94736842105263,10.526315789473683,47.368421052631575,57.89473684210527
Matt Levy,6.91,47.368421052631575,42.10526315789473,47.368421052631575,63.1578947368421,73.68421052631578,57.89473684210527,68.42105263157895,68.42105263157895,21.052631578947366,0,100,52.63157894736842,84.21052631578947
Dane Jacomen,6.82,31.57894736842105,73.68421052631578,26.31578947368421,89.47368421052632,52.63157894736842,10.526315789473683,0,100,0,0,0,100,89.47368421052632
Edward Delgado,6.45,81.25,68.75,81.25,6.25,62.5,81.25,87.5,56.25,31.25,0,31.25,75,18.75
Bernd Schipmann,6.4,43.75,12.5,31.25,12.5,81.25,93.75,100,37.5,68.75,75,37.5,56.25,31.25
Rashid Nuhu,6.29,84.21052631578947,31.57894736842105,84.21052631578947,42.10526315789473,47.368421052631575,36.84210526315789,84.21052631578947,42.10526315789473,31.57894736842105,0,5.263157894736842,68.42105263157895,26.31578947368421
Austin Pack,6.26,50,75,56.25,81.25,75,50,50,100,18.75,100,100,68.75,75
