Date,home_team,Score,away_team,Next_Date,Next_Team_Distances,home_talent,away_talent,avg_talent,scaled_avg_talent
2025-05-28,San Antonio FC,,FC Tulsa,2025-05-31,"[('Houston Dynamo FC', 'Sporting Kansas City', np.float64(0.9327738825451599), np.float64(0.45701357703617507))]",0.4077174664194917,0.4535796232407494,0.43064854483012055,0.3397701894582805
2025-05-28,Las Vegas Lights FC,,Phoenix Rising FC,2025-05-31,"[('Houston Dynamo FC', 'Sporting Kansas City', np.float64(0.5494562219728776), np.float64(0.45701357703617507))]",0.3121706549611259,0.4312387259857376,0.37170469047343174,0.23910327726153469
2025-05-28,Indy Eleven,,Hartford Athletic,2025-05-31,"[('Houston Dynamo FC', 'Sporting Kansas City', np.float64(0.6826570006080274), np.float64(0.45701357703617507))]",0.3979853400785226,0.2755637893749745,0.33677456472674855,0.17944806909879218
2025-05-31,Houston Dynamo FC,,Sporting Kansas City,2025-06-04,"[('Birmingham Legion FC', 'Indy Eleven', np.float64(0.7921135525321197), np.float64(0.21677512784849062))]",0.4512396694214876,0.5473572938689218,0.49929848164520474,0.45701357703617507
2025-06-04,Birmingham Legion FC,,Indy Eleven,2025-06-06,"[('Hartford Athletic', 'North Carolina FC', np.float64(0.6481461496359369), np.float64(0.1803959307480154))]",0.3192762797353756,0.3979853400785226,0.35863080990694907,0.21677512784849062
2025-06-06,Hartford Athletic,,North Carolina FC,2025-06-07,"[('Forward Madison FC', 'Union Omaha', np.float64(0.6853127294147212), np.float64(0.11271387321312776)), ('Pittsburgh Riverhounds FC', 'Detroit City FC', np.float64(0.8543996107770235), np.float64(0.22423786956561576)), ('Louisville City FC', 'Tampa Bay Rowdies', np.float64(0.7316086671290427), np.float64(0.36198486247669903)), ('South Georgia Tormenta FC', 'Charlotte Independence', np.float64(0.7000576770998095), np.float64(0.1949086730068491)), ('Loudoun United FC', 'Charleston Battery', np.float64(0.8836579080700979), np.float64(0.44243962626606204)), ('Rhode Island FC', 'Miami FC', np.float64(0.9756286038996174), np.float64(0.2827983642743255)), ('Greenville Triumph SC', 'FC Naples', np.float64(0.7392253505681674), np.float64(0.15522337368605998)), ('Monterey Bay FC', 'Lexington SC', np.float64(0.037163349080874264), np.float64(0.25733292630399285)), ('Oakland Roots SC', 'El Paso Locomotive FC', np.float64(0.03972033631094496), np.float64(0.22740853353308832)), ('New Mexico United', 'Colorado Springs Switchbacks FC', np.float64(0.3084898114189307), np.float64(0.22129415838739364)), ('Phoenix Rising FC', 'Orange County SC', np.float64(0.1873745744563019), np.float64(0.3683462156577548)), ('Chattanooga Red Wolves SC', 'Portland Hearts of Pine', np.float64(0.6969247721253272), np.float64(0.08227862101864508)), ('San Antonio FC', 'Las Vegas Lights FC', np.float64(0.3891877983401505), np.float64(0.2190179554128503)), ('AV Alta FC', 'Spokane Velocity FC', np.float64(0.085393396172039), np.float64(0.24609463652641916)), ('Westchester SC', 'One Knoxville SC', np.float64(0.963190821716345), np.float64(0.12221477281281612)), ('Richmond Kickers', 'Texoma FC', np.float64(0.8584353654751794), np.float64(0.048283842992607295)), ('Sacramento Republic FC', 'FC Tulsa', np.float64(0.061256692113139666), np.float64(0.3908212168756078))]",0.2755637893749745,0.3990953496692194,0.3373295695220969,0.1803959307480154
2025-06-07,Forward Madison FC,,Union Omaha,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.8592807052044329), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.489041106738194), np.float64(0.3597817521744052))]",0.2845691249491887,0.310829783402712,0.29769945417595034,0.11271387321312776
2025-06-07,Pittsburgh Riverhounds FC,,Detroit City FC,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.8764779732324698), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.3008131448260619), np.float64(0.3597817521744052))]",0.2717491085280726,0.4542518825703264,0.3630004955491995,0.22423786956561576
2025-06-07,Louisville City FC,,Tampa Bay Rowdies,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(1.0), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.3697636606079231), np.float64(0.3597817521744052))]",0.482752551356811,0.4045594109642696,0.4436559811605403,0.36198486247669903
2025-06-07,South Georgia Tormenta FC,,Charlotte Independence,2025-06-11,"[('Louisville City FC', 'Rhode Island FC', np.float64(0.831032870685893), np.float64(0.3704622166634154)), ('Spokane Velocity FC', 'Charlotte Independence', np.float64(0.2165596499561565), np.float64(0.3597817521744052))]",0.2601970335130516,0.4314575004896956,0.3458272670013736,0.1949086730068491
