Date,home_team,Score,away_team,Venue
2025-05-17,Westchester SC,1–1,Fwd Madison,The Stadium at Memorial Field
2025-05-17,Hearts of Pine,2–1,FC Naples,James J. Fitzpatrick Stadium
2025-05-17,G'ville Triumph,2–2,AV Alta FC,Paladin Stadium
2025-05-18,Spokane Velocity FC,1–0,Richmond,One Spokane Stadium
2025-05-17,Texoma FC,2–1,Union Omaha,Sherman Bearcat Stadium
2025-05-24,Fwd Madison,NA,Hearts of Pine,Breese Stevens Field
2025-05-24,Tormenta FC,NA,Chat'ga Red Wolves,Optim Sports Medicine Field at Tormenta ...
2025-05-25,Westchester SC,NA,Richmond,The Stadium at Memorial Field
2025-05-25,Texoma FC,NA,G'ville Triumph,Sherman Bearcat Stadium
2025-05-24,AV Alta FC,NA,Charlotte Ind'ence,Lancaster Municipal Stadium
2025-05-25,FC Naples,NA,Union Omaha,Paradise Coast Sports Complex
2025-06-07,Richmond,NA,Texoma FC,City Stadium
2025-06-07,Westchester SC,NA,One Knoxville SC,The Stadium at Memorial Field
2025-06-07,Chat'ga Red Wolves,NA,Hearts of Pine,CHI Memorial Stadium
2025-06-07,G'ville Triumph,NA,FC Naples,Historic Riggs Field
2025-06-07,Tormenta FC,NA,Charlotte Ind'ence,Optim Sports Medicine Field at Tormenta ...
2025-06-07,Fwd Madison,NA,Union Omaha,Breese Stevens Field
2025-06-07,AV Alta FC,NA,Spokane Velocity FC,Lancaster Municipal Stadium
2025-06-11,Spokane Velocity FC,NA,Charlotte Ind'ence,One Spokane Stadium
2025-06-13,One Knoxville SC,NA,Richmond,Covenant Health Park
2025-06-12,Union Omaha,NA,G'ville Triumph,Werner Park
2025-06-14,FC Naples,NA,Chat'ga Red Wolves,Paradise Coast Sports Complex
2025-06-15,Hearts of Pine,NA,Union Omaha,James J. Fitzpatrick Stadium
2025-06-15,Charlotte Ind'ence,NA,G'ville Triumph,American Legion Memorial Stadium
2025-06-15,Westchester SC,NA,AV Alta FC,The Stadium at Memorial Field
2025-06-14,Spokane Velocity FC,NA,Fwd Madison,One Spokane Stadium
2025-06-14,Texoma FC,NA,Tormenta FC,Sherman Bearcat Stadium
2025-06-18,Fwd Madison,NA,Westchester SC,Breese Stevens Field
2025-06-21,G'ville Triumph,NA,Chat'ga Red Wolves,NA
2025-06-21,Richmond,NA,Spokane Velocity FC,NA
2025-06-21,One Knoxville SC,NA,Tormenta FC,NA
2025-06-25,Tormenta FC,NA,FC Naples,NA
2025-06-25,Union Omaha,NA,Richmond,NA
2025-06-28,AV Alta FC,NA,FC Naples,Lancaster Municipal Stadium
2025-07-02,Westchester SC,NA,G'ville Triumph,NA
2025-07-02,Spokane Velocity FC,NA,Texoma FC,NA
2025-07-02,Hearts of Pine,NA,AV Alta FC,NA
2025-07-05,AV Alta FC,NA,Union Omaha,NA
2025-07-05,Chat'ga Red Wolves,NA,One Knoxville SC,NA
2025-07-05,Texoma FC,NA,Fwd Madison,NA
2025-07-06,Hearts of Pine,NA,Tormenta FC,NA
2025-07-12,Fwd Madison,NA,G'ville Triumph,NA
2025-07-12,FC Naples,NA,Westchester SC,NA
2025-07-12,Texoma FC,NA,Hearts of Pine,NA
2025-07-12,Richmond,NA,Chat'ga Red Wolves,NA
2025-07-12,Charlotte Ind'ence,NA,Union Omaha,NA
2025-07-12,Tormenta FC,NA,One Knoxville SC,NA
2025-07-16,Fwd Madison,NA,Charlotte Ind'ence,NA
2025-07-16,Westchester SC,NA,Spokane Velocity FC,NA
2025-07-16,Chat'ga Red Wolves,NA,Texoma FC,NA
2025-07-16,One Knoxville SC,NA,AV Alta FC,NA
2025-07-16,Hearts of Pine,NA,G'ville Triumph,NA
2025-07-18,Union Omaha,NA,Tormenta FC,NA
2025-07-19,One Knoxville SC,NA,Westchester SC,NA
2025-07-19,Charlotte Ind'ence,NA,Hearts of Pine,NA
2025-07-19,AV Alta FC,NA,FC Naples,NA
2025-07-19,Chat'ga Red Wolves,NA,Spokane Velocity FC,NA
2025-07-20,G'ville Triumph,NA,Richmond,NA
2025-07-23,Fwd Madison,NA,Tormenta FC,NA
2025-07-30,One Knoxville SC,NA,Charlotte Ind'ence,NA
2025-08-01,Westchester SC,NA,Chat'ga Red Wolves,NA
2025-08-02,Fwd Madison,NA,AV Alta FC,NA
2025-08-02,One Knoxville SC,NA,Hearts of Pine,NA
2025-08-02,Spokane Velocity FC,NA,Union Omaha,NA
2025-08-02,Tormenta FC,NA,G'ville Triumph,NA
2025-08-02,Richmond,NA,FC Naples,NA
2025-08-02,Charlotte Ind'ence,NA,Texoma FC,NA
2025-08-06,Chat'ga Red Wolves,NA,Fwd Madison,NA
2025-08-06,FC Naples,NA,Tormenta FC,NA
2025-08-06,Union Omaha,NA,Westchester SC,NA
2025-08-09,Fwd Madison,NA,One Knoxville SC,NA
2025-08-09,FC Naples,NA,Texoma FC,NA
2025-08-09,Union Omaha,NA,Chat'ga Red Wolves,NA
2025-08-09,Hearts of Pine,NA,Richmond,NA
2025-08-09,Spokane Velocity FC,NA,AV Alta FC,NA
2025-08-09,Charlotte Ind'ence,NA,G'ville Triumph,NA
2025-08-10,Westchester SC,NA,Tormenta FC,NA
2025-08-15,Charlotte Ind'ence,NA,Westchester SC,NA
2025-08-16,Fwd Madison,NA,FC Naples,NA
2025-08-16,Richmond,NA,Tormenta FC,NA
2025-08-16,AV Alta FC,NA,G'ville Triumph,NA
2025-08-16,Texoma FC,NA,Chat'ga Red Wolves,NA
2025-08-17,One Knoxville SC,NA,Union Omaha,NA
2025-08-17,Hearts of Pine,NA,Spokane Velocity FC,NA
2025-08-20,Union Omaha,NA,Charlotte Ind'ence,NA
2025-08-20,Texoma FC,NA,AV Alta FC,NA
2025-08-21,Fwd Madison,NA,Spokane Velocity FC,NA
2025-08-23,Union Omaha,NA,AV Alta FC,NA
2025-08-23,Richmond,NA,One Knoxville SC,NA
2025-08-23,G'ville Triumph,NA,Texoma FC,NA
2025-08-23,Chat'ga Red Wolves,NA,Tormenta FC,NA
2025-08-24,Westchester SC,NA,Hearts of Pine,NA
2025-08-27,One Knoxville SC,NA,FC Naples,NA
2025-08-27,Fwd Madison,NA,Texoma FC,NA
2025-08-30,Tormenta FC,NA,Fwd Madison,NA
2025-08-30,FC Naples,NA,Westchester SC,NA
2025-08-30,Hearts of Pine,NA,Charlotte Ind'ence,NA
2025-08-30,Chat'ga Red Wolves,NA,AV Alta FC,NA
2025-08-31,One Knoxville SC,NA,Spokane Velocity FC,NA
2025-09-03,Westchester SC,NA,Richmond,NA
2025-09-03,G'ville Triumph,NA,Hearts of Pine,NA
2025-09-06,Chat'ga Red Wolves,NA,Charlotte Ind'ence,NA
2025-09-06,AV Alta FC,NA,Fwd Madison,NA
2025-09-06,FC Naples,NA,G'ville Triumph,NA
2025-09-06,Tormenta FC,NA,One Knoxville SC,NA
2025-09-06,Union Omaha,NA,Texoma FC,NA
2025-09-07,Spokane Velocity FC,NA,Westchester SC,NA
2025-09-12,Charlotte Ind'ence,NA,FC Naples,NA
2025-09-13,Texoma FC,NA,Spokane Velocity FC,NA
2025-09-13,Hearts of Pine,NA,Chat'ga Red Wolves,NA
2025-09-13,Fwd Madison,NA,Richmond,NA
2025-09-13,Westchester SC,NA,Union Omaha,NA
2025-09-13,AV Alta FC,NA,One Knoxville SC,NA
2025-09-13,G'ville Triumph,NA,Tormenta FC,NA
2025-09-17,Union Omaha,NA,Spokane Velocity FC,NA
2025-09-17,Richmond,NA,Hearts of Pine,NA
2025-09-20,G'ville Triumph,NA,Fwd Madison,NA
2025-09-20,AV Alta FC,NA,Tormenta FC,NA
2025-09-20,Richmond,NA,Charlotte Ind'ence,NA
2025-09-21,Hearts of Pine,NA,FC Naples,NA
2025-09-21,Westchester SC,NA,Texoma FC,NA
2025-09-21,Spokane Velocity FC,NA,Chat'ga Red Wolves,NA
2025-09-21,Union Omaha,NA,One Knoxville SC,NA
2025-09-26,One Knoxville SC,NA,Charlotte Ind'ence,NA
2025-09-27,Spokane Velocity FC,NA,G'ville Triumph,NA
2025-09-27,Tormenta FC,NA,Richmond,NA
2025-09-27,Hearts of Pine,NA,Texoma FC,NA
2025-09-27,FC Naples,NA,AV Alta FC,NA
2025-09-27,Chat'ga Red Wolves,NA,Union Omaha,NA
2025-09-28,Westchester SC,NA,Fwd Madison,NA
2025-10-01,One Knoxville SC,NA,Chat'ga Red Wolves,NA
2025-10-01,Union Omaha,NA,Hearts of Pine,NA
2025-10-03,Charlotte Ind'ence,NA,Spokane Velocity FC,NA
2025-10-03,Tormenta FC,NA,Westchester SC,NA
2025-10-04,Chat'ga Red Wolves,NA,G'ville Triumph,NA
2025-10-04,Richmond,NA,One Knoxville SC,NA
2025-10-04,Hearts of Pine,NA,Fwd Madison,NA
2025-10-04,Texoma FC,NA,AV Alta FC,NA
2025-10-05,Union Omaha,NA,FC Naples,NA
2025-10-10,Charlotte Ind'ence,NA,AV Alta FC,NA
2025-10-10,One Knoxville SC,NA,Hearts of Pine,NA
2025-10-11,Fwd Madison,NA,Chat'ga Red Wolves,NA
2025-10-11,Spokane Velocity FC,NA,Tormenta FC,NA
2025-10-11,Texoma FC,NA,Richmond,NA
2025-10-11,G'ville Triumph,NA,Union Omaha,NA
2025-10-12,Westchester SC,NA,FC Naples,NA
2025-10-17,Charlotte Ind'ence,NA,Chat'ga Red Wolves,NA
2025-10-18,Union Omaha,NA,Fwd Madison,NA
2025-10-18,AV Alta FC,NA,Richmond,NA
2025-10-18,Hearts of Pine,NA,Westchester SC,NA
2025-10-18,G'ville Triumph,NA,Tormenta FC,NA
2025-10-18,FC Naples,NA,Spokane Velocity FC,NA
2025-10-19,One Knoxville SC,NA,Texoma FC,NA
2025-10-25,Richmond,NA,Fwd Madison,NA
2025-10-25,One Knoxville SC,NA,G'ville Triumph,NA
2025-10-25,Union Omaha,NA,Spokane Velocity FC,NA
2025-10-25,FC Naples,NA,Charlotte Ind'ence,NA
2025-10-25,Chat'ga Red Wolves,NA,Westchester SC,NA
2025-10-25,Hearts of Pine,NA,AV Alta FC,NA
2025-10-25,Tormenta FC,NA,Texoma FC,NA
