Date,home_team,Score,away_team,Venue
2025-03-08,G'ville Triumph,1–1,Westchester SC,Paladin Stadium
2025-03-07,Tormenta FC,2–4,Richmond,Optim Sports Medicine Field at Tormenta ...
2025-03-08,FC Naples,1–1,Chat'ga Red Wolves,Paradise Coast Sports Complex
2025-03-12,G'ville Triumph,3–0,Union Omaha,Paladin Stadium
2025-03-15,Charlotte Ind'ence,1–0,Richmond,American Legion Memorial Stadium
2025-03-15,Tormenta FC,2–0,AV Alta FC,Optim Sports Medicine Field at Tormenta ...
2025-03-15,FC Naples,2–0,Fwd Madison,Paradise Coast Sports Complex
2025-03-16,Spokane Velocity FC,2–2,One Knoxville SC,One Spokane Stadium
2025-03-22,Spokane Velocity FC,0–1,FC Naples,One Spokane Stadium
2025-03-22,Richmond,3–1,AV Alta FC,City Stadium
2025-03-22,Texoma FC,0–2,One Knoxville SC,Sherman Bearcat Stadium
2025-03-28,Charlotte Ind'ence,0–0,Chat'ga Red Wolves,American Legion Memorial Stadium
2025-03-29,Richmond,1–2,Fwd Madison,City Stadium
2025-03-29,Tormenta FC,1–3,Union Omaha,Optim Sports Medicine Field at Tormenta ...
2025-03-29,FC Naples,0–0,Hearts of Pine,Paradise Coast Sports Complex
2025-03-29,G'ville Triumph,0–4,Spokane Velocity FC,Paladin Stadium
2025-03-29,Texoma FC,1–3,Westchester SC,Sherman Bearcat Stadium
2025-04-05,Chat'ga Red Wolves,2–2,Tormenta FC,CHI Memorial Stadium
2025-04-05,G'ville Triumph,1–0,Charlotte Ind'ence,Paladin Stadium
2025-04-05,Spokane Velocity FC,0–0,Hearts of Pine,One Spokane Stadium
2025-04-05,Texoma FC,0–3,FC Naples,Sherman Bearcat Stadium
2025-04-05,AV Alta FC,2–0,Westchester SC,Lancaster Municipal Stadium
2025-04-09,G'ville Triumph,0–1,One Knoxville SC,Paladin Stadium
2025-04-09,Richmond,1–0,Union Omaha,City Stadium
2025-04-11,Charlotte Ind'ence,1–1,Fwd Madison,American Legion Memorial Stadium
2025-04-12,FC Naples,2–1,Richmond,Paradise Coast Sports Complex
2025-04-12,Tormenta FC,2–1,Hearts of Pine,Optim Sports Medicine Field at Tormenta ...
2025-04-13,Spokane Velocity FC,4–1,Texoma FC,One Spokane Stadium
2025-04-12,AV Alta FC,3–2,Chat'ga Red Wolves,Lancaster Municipal Stadium
2025-04-19,Richmond,4–4,Westchester SC,City Stadium
2025-04-19,Fwd Madison,1–1,Texoma FC,Breese Stevens Field
2025-04-19,Chat'ga Red Wolves,1–0,G'ville Triumph,CHI Memorial Stadium
2025-04-19,FC Naples,0–1,One Knoxville SC,Paradise Coast Sports Complex
2025-04-20,Charlotte Ind'ence,3–2,Tormenta FC,American Legion Memorial Stadium
2025-04-19,AV Alta FC,1–2,Spokane Velocity FC,Lancaster Municipal Stadium
2025-05-02,Richmond,3–3,G'ville Triumph,City Stadium
2025-05-03,Fwd Madison,0–0,Union Omaha,Breese Stevens Field
2025-05-04,Spokane Velocity FC,3–1,Westchester SC,One Spokane Stadium
2025-05-04,Hearts of Pine,1–1,One Knoxville SC,James J. Fitzpatrick Stadium
2025-05-03,Texoma FC,3–4,Charlotte Ind'ence,Sherman Bearcat Stadium
2025-05-09,One Knoxville SC,1–1,Fwd Madison,Covenant Health Park
2025-05-10,Westchester SC,2–3,Charlotte Ind'ence,The Stadium at Memorial Field
2025-05-10,Chat'ga Red Wolves,0–0,Richmond,CHI Memorial Stadium
2025-05-10,Tormenta FC,0–1,Spokane Velocity FC,Optim Sports Medicine Field at Tormenta ...
2025-05-10,Union Omaha,2–2,Hearts of Pine,Werner Park
2025-05-10,AV Alta FC,0–0,Texoma FC,Lancaster Municipal Stadium
2025-05-14,Chat'ga Red Wolves,3–1,FC Naples,CHI Memorial Stadium
2025-05-16,Charlotte Ind'ence,3–1,One Knoxville SC,American Legion Memorial Stadium
