Date,home_team,Score,away_team,Venue
2025-10-18,Phoenix Rising FC,NA,San Antonio FC,Phoenix Rising Soccer Stadium
2025-10-18,El Paso Locomotive FC,NA,FC Tulsa,Southwest University Park
2025-10-18,Tampa Bay Rowdies,NA,Hartford Athletic,NA
2025-10-18,New Mexico United,NA,Oakland Roots SC,Isotopes Park
2025-10-18,Indy Eleven,NA,Loudoun United FC,Michael A. Carroll Stadium
2025-10-19,North Carolina FC,NA,Rhode Island FC,First Horizon Stadium at WakeMed Soccer ...
2025-10-19,Birmingham Legion FC,NA,Miami FC,Protective Stadium
2025-10-25,San Antonio FC,NA,El Paso Locomotive FC,Toyota Field
2025-10-25,Louisville City FC,NA,Hartford Athletic,Lynn Family Stadium
2025-10-25,FC Tulsa,NA,Colorado Springs Switchbacks FC,ONEOK Field
2025-10-25,Tampa Bay Rowdies,NA,Detroit City FC,NA
2025-10-25,Sacramento Republic FC,NA,Miami FC,Heart Health Park
2025-10-25,Charleston Battery,NA,Birmingham Legion FC,Patriots Point Soccer Complex
2025-10-25,Oakland Roots SC,NA,Lexington SC,Oakland-Alameda County Coliseum
2025-10-25,Monterey Bay FC,NA,Las Vegas Lights FC,Cardinale Stadium
2025-10-25,Pittsburgh Riverhounds FC,NA,Phoenix Rising FC,Highmark Stadium
2025-10-25,Loudoun United FC,NA,North Carolina FC,Segra Field
2025-10-25,Orange County SC,NA,Indy Eleven,Orange Country Great Park Championship S...
2025-10-25,New Mexico United,NA,Rhode Island FC,Isotopes Park
