Date,home_team,Score,away_team,Venue
2025-05-03,Indy Eleven,2–2,Detroit City FC,Michael A. Carroll Stadium
2025-05-03,Tampa Bay Rowdies,2–2,Birmingham Legion FC,Al Lang Stadium
2025-05-04,Oakland Roots SC,0–1,Sacramento Republic FC,Oakland-Alameda County Coliseum
2025-05-04,Monterey Bay FC,1–1,Miami FC,Cardinale Stadium
2025-05-03,Colorado Springs Switchbacks FC,1–1,Phoenix Rising FC,Weidner Field
2025-05-03,Orange County SC,2–1,FC Tulsa,Orange Country Great Park Championship S...
2025-05-03,Las Vegas Lights FC,1–0,Loudoun United FC,Cashman Field
2025-05-03,El Paso Locomotive FC,3–0,New Mexico United,Southwest University Park
2025-05-09,North Carolina FC,1–0,Orange County SC,First Horizon Stadium at WakeMed Soccer ...
2025-05-10,Rhode Island FC,1–1,Monterey Bay FC,Centreville Bank Stadium
2025-05-10,Loudoun United FC,5–1,Lexington SC,Segra Field
2025-05-10,Hartford Athletic,0–0,Detroit City FC,Trinity Health Stadium
2025-05-10,Tampa Bay Rowdies,1–3,Charleston Battery,Al Lang Stadium
2025-05-10,Louisville City FC,0–0,Pittsburgh Riverhounds FC,Lynn Family Stadium
2025-05-10,New Mexico United,1–2,Phoenix Rising FC,Isotopes Park
2025-05-10,Sacramento Republic FC,1–1,Indy Eleven,Heart Health Park
2025-05-10,FC Tulsa,1–1,El Paso Locomotive FC,ONEOK Field
2025-05-10,San Antonio FC,1–2,Oakland Roots SC,Toyota Field
2025-05-10,Las Vegas Lights FC,0–0,Colorado Springs Switchbacks FC,Cashman Field
2025-05-14,Birmingham Legion FC,0–1,Rhode Island FC,Protective Stadium
2025-05-16,North Carolina FC,4–2,Oakland Roots SC,First Horizon Stadium at WakeMed Soccer ...
2025-05-17,Hartford Athletic,1–1,Louisville City FC,Trinity Health Stadium
2025-05-17,Charleston Battery,4–0,San Antonio FC,Patriots Point Soccer Complex
2025-05-17,Miami FC,2–1,Loudoun United FC,South Dade Kia Field at Pitbull Stadium
2025-05-17,Tampa Bay Rowdies,0–3,Rhode Island FC,Al Lang Stadium
2025-05-16,El Paso Locomotive FC,3–1,Indy Eleven,Southwest University Park
2025-05-18,Birmingham Legion FC,1–1,Detroit City FC,Protective Stadium
2025-05-18,Lexington SC,0–2,FC Tulsa,Lexington SC Stadium
2025-05-17,Colorado Springs Switchbacks FC,1–0,Pittsburgh Riverhounds FC,Weidner Field
2025-05-17,Sacramento Republic FC,5–0,Las Vegas Lights FC,Heart Health Park
2025-05-17,Phoenix Rising FC,2–0,Monterey Bay FC,Phoenix Rising Soccer Stadium
2025-05-17,Orange County SC,0–3,New Mexico United,Orange Country Great Park Championship S...
2025-05-24,Rhode Island FC,NA,Pittsburgh Riverhounds FC,Centreville Bank Stadium
2025-05-24,Detroit City FC,NA,Charleston Battery,Keyworth Stadium
2025-05-24,Lexington SC,NA,Tampa Bay Rowdies,Lexington SC Stadium
2025-05-24,Miami FC,NA,Birmingham Legion FC,South Dade Kia Field at Pitbull Stadium
2025-05-24,Orange County SC,NA,Colorado Springs Switchbacks FC,Orange Country Great Park Championship S...
2025-05-24,Oakland Roots SC,NA,New Mexico United,Oakland-Alameda County Coliseum
2025-05-24,Monterey Bay FC,NA,Louisville City FC,Cardinale Stadium
2025-05-24,Las Vegas Lights FC,NA,El Paso Locomotive FC,Cashman Field
2025-05-28,Indy Eleven,NA,Hartford Athletic,Michael A. Carroll Stadium
2025-05-28,San Antonio FC,NA,FC Tulsa,Toyota Field
2025-05-28,Las Vegas Lights FC,NA,Phoenix Rising FC,Cashman Field
2025-06-04,Birmingham Legion FC,NA,Indy Eleven,Protective Stadium
2025-06-06,Hartford Athletic,NA,North Carolina FC,Trinity Health Stadium
2025-06-07,Loudoun United FC,NA,Charleston Battery,Segra Field
