Player,Team,Minutes,Fielding,Goals Added,League,Goals Added p90
Zack Steffen,COL,1124,0.11,6.18,MLS,0.49483985765124555
Matt Freese,NYC,1403,0.09,4.64,MLS,0.29764789736279396
Rafael Cabral,RSL,1430,-0.1,4.61,MLS,0.29013986013986015
Roman Celentano,CIN,1387,-0.04,4.4,MLS,0.2855082912761356
Carlos Coronel,NYRB,1303,0.04,3.83,MLS,0.26454336147352264
CJ dos Santos,SD,1417,-0.25,3.73,MLS,0.236908962597036
Daniel,SJE,1178,-0.4,2.96,MLS,0.2261460101867572
Dayne St. Clair,MIN,1296,0.03,2.89,MLS,0.20069444444444445
Aljaž Ivačič,NER,1222,0.1,2.87,MLS,0.2113747954173486
Yohei Takaoka,VAN,1313,0.07,2.7,MLS,0.18507235338918507
Brad Guzan,ATL,1412,-0.01,2.69,MLS,0.17145892351274786
James Pantemis,POR,907,0.09,2.68,MLS,0.2659316427783903
Jonathan Sirois,MTL,1200,0.15,2.29,MLS,0.17174999999999999
Sean Johnson,TOR,1411,-0.03,2.25,MLS,0.1435152374202693
Pedro Gallese,ORL,1316,0.11,2.09,MLS,0.14293313069908814
Blake Gillingham,HOU,330,0.03,1.98,MLS,0.54
Patrick Schulte,CLB,1308,0.07,1.86,MLS,0.12798165137614678
Chris Brady,CHI,1151,0.06,1.27,MLS,0.09930495221546481
Brad Stuver,ATX,1406,0.15,1.16,MLS,0.07425320056899004
Adam Beaudry,COL,96,0.01,0.83,MLS,0.7781250000000001
Luis Barraza,DCU,698,0.06,0.71,MLS,0.09154727793696275
Roman Bürki,STL,486,0.04,0.43,MLS,0.07962962962962963
Michael Collodi,FCD,203,0.02,0.41,MLS,0.1817733990147783
Andre Blake,PHI,918,0.04,0.41,MLS,0.040196078431372545
Stefan Frei,SEA,1216,0.02,0.33,MLS,0.024424342105263157
Rocco Rios Novo,MIA,160,0.0,0.14,MLS,0.07875000000000001
Javier Otero,ORL,99,0.01,0.11,MLS,0.1
Joe Willis,NSH,1413,0.13,0.11,MLS,0.0070063694267515925
Evan Bush,CLB,97,0.02,0.04,MLS,0.03711340206185567
Nicolas Defreitas-Hansen,COL,197,0.01,0.0,MLS,0.0
Novak Micovic,LAG,300,0.04,-0.02,MLS,-0.006
Andrew Rick,PHI,504,0.04,-0.02,MLS,-0.0035714285714285713
Ben Lundt,STL,916,0.03,-0.03,MLS,-0.0029475982532751093
Drake Callender,MIA,216,0.0,-0.13,MLS,-0.05416666666666667
AJ Marcucci,NYRB,103,0.01,-0.18,MLS,-0.15728155339805824
Jeffrey Gal,CHI,162,0.01,-0.19,MLS,-0.10555555555555556
Jimmy Maurer,HOU,136,0.01,-0.28,MLS,-0.18529411764705883
Alec Smir,MIN,102,0.01,-0.48,MLS,-0.4235294117647058
Andrew Tarbell,HOU,330,0.03,-0.55,MLS,-0.15000000000000002
Kristijan Kahlina,CLT,1412,0.07,-0.55,MLS,-0.035056657223796035
Kim Joon-Hong,DCU,707,0.05,-0.82,MLS,-0.10438472418670437
Maxime Crépeau,POR,494,0.05,-0.88,MLS,-0.16032388663967612
Maarten Paes,FCD,1104,0.1,-1.12,MLS,-0.09130434782608696
Jonathan Bond,HOU,608,-0.61,-1.33,MLS,-0.19687500000000002
Hugo Lloris,LAFC,1321,-0.2,-1.73,MLS,-0.11786525359576079
John Pulskamp,SKC,1408,-0.14,-1.74,MLS,-0.11122159090909091
Sebastian Breza,MTL,197,0.01,-2.22,MLS,-1.0142131979695432
Andrew Thomas,SEA,200,-0.0,-2.39,MLS,-1.0755000000000001
Thomas Hasal,LAFC,100,0.0,-2.44,MLS,-2.1959999999999997
Óscar Ustari,MIA,934,-0.01,-2.65,MLS,-0.25535331905781583
Earl Edwards Jr.,SJE,241,0.01,-3.92,MLS,-1.4639004149377592
John McCarthy,LAG,1113,0.13,-4.41,MLS,-0.3566037735849057
Carlos Merancio Valdez,SPK,905,0.05,4.79,USL1,0.476353591160221
Matt Levy,CLT,806,0.03,2.96,USL1,0.33052109181141437
Hunter Morse,POR,502,0.02,1.9,USL1,0.34063745019920316
Javier Garcia,TXO,203,0.0,1.39,USL1,0.6162561576354679
Denzil Smith,AVA,255,0.01,1.01,USL1,0.3564705882352941
