Player,Team,Position,Minutes,Goals Added,League,Goals Added p90
Tate Johnson,VAN,FB,804,0.46,MLS,0.05149253731343284
Ignatius Ganago,NER,ST,1104,0.45,MLS,0.036684782608695655
Stian Gregersen,ATL,CB,663,0.44,MLS,0.05972850678733032
Milan Iloski,SD,ST,160,0.44,MLS,0.2475
Luca Petrasso,MTL,FB,1262,0.41,MLS,0.02923930269413629
Nico Cavallo,NYC,FB,277,0.41,MLS,0.1332129963898917
Henry Kessler,STL,CB,819,0.4,MLS,0.04395604395604395
Julio Cascante,ATX,CB,451,0.4,MLS,0.07982261640798226
Žan Kolmanič,ATX,FB,342,0.4,MLS,0.10526315789473685
Rominigue Kouame,CHI,CM,171,0.4,MLS,0.2105263157894737
Cengiz Ünder,LAFC,W,504,0.39,MLS,0.06964285714285715
Conrad Wallem,STL,FB,1211,0.39,MLS,0.02898431048720066
Owen Wolff,ATX,CM,1245,0.39,MLS,0.02819277108433735
Justin Haak,NYC,CB,1375,0.39,MLS,0.025527272727272725
Shaq Moore,FCD,FB,1177,0.39,MLS,0.02982158028887001
Cameron Harper,NYRB,FB,517,0.38,MLS,0.06615087040618955
Nathan Harriel,PHI,CB,967,0.38,MLS,0.03536711478800413
Aaron Herrera,DCU,FB,1208,0.38,MLS,0.028311258278145696
Lucas Bartlett,DCU,CB,1300,0.37,MLS,0.025615384615384616
Maximiliano Falcón,MIA,CB,584,0.37,MLS,0.05702054794520548
Tim Leibold,SKC,FB,385,0.37,MLS,0.0864935064935065
Fafa Picault,MIA,W,400,0.37,MLS,0.08325
Timo Baumgartl,STL,CB,698,0.36,MLS,0.046418338108882524
Jacob Shaffelburg,NSH,W,504,0.36,MLS,0.06428571428571428
Ivan Glavinovich,PHI,CB,292,0.36,MLS,0.11095890410958904
Andrés Herrera,CLB,FB,346,0.35,MLS,0.09104046242774566
Onni Valakari,SD,ST,876,0.35,MLS,0.03595890410958904
Claudio Bravo,POR,FB,338,0.34,MLS,0.09053254437869823
Joseph Rosales,MIN,FB,635,0.34,MLS,0.04818897637795276
Andreas Maxsø,COL,CB,1216,0.33,MLS,0.024424342105263157
Patrick Agyemang,CLT,ST,1054,0.32,MLS,0.02732447817836812
Joel Waterman,MTL,CB,1060,0.32,MLS,0.02716981132075472
Francis Westfield,PHI,FB,1159,0.31,MLS,0.024072476272648836
David Martínez,MIA,FB,138,0.31,MLS,0.20217391304347826
Sebastian Berhalter,VAN,CM,1038,0.31,MLS,0.026878612716763006
Marco Reus,LAG,AM,644,0.3,MLS,0.04192546583850931
Eduard Atuesta,ORL,DM,690,0.3,MLS,0.03913043478260869
Stephen Afrifa,SKC,DM,16,0.3,MLS,1.6875
Walker Zimmerman,NSH,CB,685,0.29,MLS,0.038102189781021895
Brandon Vázquez,ATX,ST,1198,0.29,MLS,0.021786310517529214
Kalani Kossa-Rienzi,SEA,FB,554,0.29,MLS,0.04711191335740072
Petar Musa,FCD,ST,815,0.29,MLS,0.03202453987730061
Mathías Laborda,VAN,FB,635,0.28,MLS,0.039685039370078744
Joakim Nilsson,STL,CB,167,0.27,MLS,0.14550898203592816
Ola Brynhildsen,TOR,ST,498,0.26,MLS,0.04698795180722892
Cole Bassett,COL,W,1126,0.26,MLS,0.02078152753108348
Mikael Uhre,PHI,ST,831,0.26,MLS,0.02815884476534296
Olivier Giroud,LAFC,ST,471,0.26,MLS,0.049681528662420385
Jonathan Pérez,NSH,W,199,0.26,MLS,0.11758793969849246
Felipe,HOU,FB,183,0.25,MLS,0.12295081967213115
Nkosi Tafari,LAFC,CB,500,0.24,MLS,0.043199999999999995
Sergi Palencia,LAFC,FB,1246,0.24,MLS,0.017335473515248796
Yeimar Gómez Andrade,SEA,CB,1206,0.24,MLS,0.01791044776119403
Gustavo Caraballo,ORL,AM,30,0.24,MLS,0.72
Tim Parker,NYRB,CB,271,0.23,MLS,0.07638376383763838
Pedro de la Vega,SEA,W,536,0.23,MLS,0.03861940298507463
Ryan Gauld,VAN,W,217,0.23,MLS,0.09539170506912442
Kye Rowles,DCU,CB,1152,0.23,MLS,0.017968750000000002
Tomás Avilés,MIA,CB,488,0.23,MLS,0.042418032786885246
Dani Pereira,ATX,CM,837,0.23,MLS,0.024731182795698928
Hamady Diop,SD,FB,239,0.23,MLS,0.08661087866108787
Dany Rosero,SKC,CB,184,0.23,MLS,0.1125
Sam Vines,COL,FB,358,0.23,MLS,0.05782122905027933
Chris Donovan,PHI,ST,254,0.22,MLS,0.07795275590551182
Ian Murphy,COL,FB,616,0.22,MLS,0.03214285714285714
Lukas MacNaughton,DCU,CB,454,0.22,MLS,0.04361233480176211
Fabian Herbers,MTL,W,414,0.21,MLS,0.04565217391304348
Maxime Chanot,LAFC,CB,74,0.21,MLS,0.2554054054054054
Malte Amundsen,CLB,CB,962,0.21,MLS,0.019646569646569648
Corey Baird,CIN,W,336,0.21,MLS,0.05625
Jansen Miller,SKC,CB,1054,0.21,MLS,0.017931688804554077
Allen Obando,MIA,ST,176,0.21,MLS,0.10738636363636363
Timothy Tillman,LAFC,CM,1100,0.2,MLS,0.016363636363636365
Noel Caliskan,RSL,FB,335,0.2,MLS,0.05373134328358209
Jamal Thiaré,ATL,ST,300,0.2,MLS,0.060000000000000005
Brayan Vera,RSL,CB,689,0.2,MLS,0.02612481857764877
Alex Roldan,SEA,FB,835,0.19,MLS,0.020479041916167662
Daniel Lovitz,NSH,FB,1402,0.19,MLS,0.012196861626248216
Édier Ocampo,VAN,FB,812,0.19,MLS,0.02105911330049261
Kyle Duncan,NYRB,FB,393,0.19,MLS,0.04351145038167939
Robert Voloder,SKC,CB,956,0.18,MLS,0.016945606694560668
Rodrigo Schlegel,ORL,CB,1236,0.17,MLS,0.012378640776699031
Richie Laryea,TOR,FB,125,0.17,MLS,0.12240000000000001
Peglow,DCU,W,645,0.16,MLS,0.022325581395348838
Maren Haile-Selassie,CHI,W,235,0.16,MLS,0.061276595744680855
Calvin Harris,COL,W,235,0.16,MLS,0.061276595744680855
César Araújo,ORL,DM,907,0.15,MLS,0.01488423373759647
Diego Rubio,ATX,ST,210,0.15,MLS,0.06428571428571428
Luis Díaz,NER,W,235,0.14,MLS,0.05361702127659575
Peyton Miller,NER,FB,654,0.14,MLS,0.01926605504587156
Philip Zinckernagel,CHI,W,1001,0.14,MLS,0.012587412587412587
Vitor Costa,SJE,FB,686,0.14,MLS,0.018367346938775512
Patrickson Delgado,FCD,W,347,0.14,MLS,0.03631123919308358
Birk Risa,NYC,CB,696,0.13,MLS,0.01681034482758621
Jon Bell,SEA,CB,569,0.13,MLS,0.020562390158172232
Darren Yapi,COL,ST,591,0.13,MLS,0.019796954314720814
Érik Dueñas,HOU,AM,91,0.13,MLS,0.12857142857142856
Jack Skahan,SJE,DM,12,0.12,MLS,0.9
Alejandro Bedoya,PHI,CM,218,0.12,MLS,0.04954128440366972
Duncan McGuire,ORL,ST,355,0.11,MLS,0.027887323943661974
Jannes Horn,STL,FB,779,0.11,MLS,0.012708600770218228
Charles Sharp,TOR,ST,103,0.11,MLS,0.09611650485436893
Omar Valencia,NYRB,FB,849,0.11,MLS,0.011660777385159011
Ian Smith,POR,CB,336,0.1,MLS,0.026785714285714288
Jon Gallagher,ATX,FB,1159,0.1,MLS,0.007765314926660914
Jordi Alba,MIA,FB,1152,0.1,MLS,0.0078125
Theo Corbeanu,TOR,W,889,0.09,MLS,0.009111361079865016
Jordan Morris,SEA,ST,321,0.09,MLS,0.025233644859813085
Henry Wingo,TOR,FB,259,0.09,MLS,0.03127413127413127
Josh Atencio,COL,DM,1026,0.09,MLS,0.007894736842105263
Nicksoen Gomis,TOR,CB,528,0.09,MLS,0.015340909090909089
Nick Hagglund,CIN,CB,743,0.09,MLS,0.010901749663526245
Connor Ronan,COL,CM,293,0.09,MLS,0.02764505119453925
Dylan Nealis,NYRB,FB,678,0.08,MLS,0.010619469026548672
Reed Baker-Whiting,SEA,W,38,0.08,MLS,0.18947368421052632
Dániel Gazdag,"CLB, PHI",W,1044,0.08,MLS,0.006896551724137931
Cole Mrowka,CLB,CM,29,0.08,MLS,0.24827586206896554
Sergio Busquets,MIA,DM,1199,0.08,MLS,0.006005004170141786
Ronald Donkor,NYRB,DM,117,0.08,MLS,0.06153846153846154
Joaquín Fernández,SKC,CB,622,0.07,MLS,0.010128617363344052
Aiden O'Neill,NYC,DM,210,0.07,MLS,0.030000000000000002
Mason Toye,SKC,W,41,0.06,MLS,0.13170731707317074
Kobe Franklin,TOR,FB,89,0.06,MLS,0.060674157303370786
Kei Kamara,CIN,ST,26,0.06,MLS,0.20769230769230768
Jalen Neal,MTL,CB,251,0.06,MLS,0.021513944223107567
Nathan Saliba,MTL,CM,1149,0.06,MLS,0.004699738903394256
Nicolas Fleuriau Chateau,VAN,FB,18,0.06,MLS,0.3
Baltasar Gallego,MIA,W,18,0.06,MLS,0.3
Sunusi Ibrahim,MTL,ST,99,0.06,MLS,0.05454545454545454
Sebastian Lletget,FCD,DM,603,0.06,MLS,0.008955223880597015
William Reilly,ATL,DM,109,0.05,MLS,0.04128440366972477
Franco Escobar,HOU,FB,989,0.05,MLS,0.00455005055611729
Leonardo Campana,NER,ST,619,0.05,MLS,0.007269789983844911
Luca Bombino,SD,FB,654,0.04,MLS,0.005504587155963303
Jake Davis,SKC,FB,896,0.04,MLS,0.0040178571428571425
Andrés Perea,NYC,DM,387,0.04,MLS,0.009302325581395349
Belal Halbouni,VAN,CB,10,0.04,MLS,0.36
Teal Bunbury,NSH,ST,153,0.04,MLS,0.023529411764705885
Markus Cimermancic,TOR,FB,251,0.03,MLS,0.010756972111553784
Theodore Ku-Dipietro,COL,W,159,0.03,MLS,0.016981132075471698
Randall Leal,DCU,W,192,0.03,MLS,0.0140625
Thomas Williams,ORL,CB,17,0.03,MLS,0.1588235294117647
Danley Jean Jacques,PHI,CM,1157,0.03,MLS,0.0023336214347450305
Ilay Faingold,NER,FB,1073,0.03,MLS,0.0025163094128611368
Eriq Zavaleta,LAG,CB,144,0.03,MLS,0.01875
Philip Quinton,RSL,CB,604,0.03,MLS,0.004470198675496689
Osaze De Rosario,SEA,ST,92,0.03,MLS,0.02934782608695652
Dante Sealy,MTL,W,1061,0.02,MLS,0.001696512723845429
Dario Zuparic,POR,CB,145,0.02,MLS,0.012413793103448277
Conner Antley,DCU,CB,228,0.02,MLS,0.007894736842105263
Bret Halsey,CIN,FB,37,0.02,MLS,0.04864864864864865
Alonso Coello,TOR,DM,792,0.02,MLS,0.0022727272727272726
Omar González,CHI,CB,91,0.01,MLS,0.00989010989010989
Paul Marie,SJE,W,89,0.01,MLS,0.010112359550561799
Daniel Ríos,VAN,ST,491,0.01,MLS,0.0018329938900203664
Stefan Chirila,CIN,AM,11,0.01,MLS,0.08181818181818182
Emeka Eneli,RSL,DM,1215,0.01,MLS,0.0007407407407407408
Kyle Smith,ORL,FB,523,0.01,MLS,0.0017208413001912047
Iuri Tavares,CLT,DM,46,0.01,MLS,0.01956521739130435
Ranko Veselinović,VAN,CB,1211,0.01,MLS,0.0007431874483897606
Bryan Acosta,NSH,DM,74,0.01,MLS,0.012162162162162163
Erik Sviatchenko,HOU,CB,548,0.01,MLS,0.001642335766423358
Memo Rodríguez,SKC,DM,324,0.01,MLS,0.002777777777777778
Lewis Morgan,NYRB,AM,98,0.01,MLS,0.009183673469387756
David Ruiz,MIA,CM,86,0.01,MLS,0.010465116279069767
Nemanja Radoja,SKC,DM,837,0.0,MLS,0.0
Adam Saldana,LAFC,DM,201,0.0,MLS,0.0
Derrick Jones,CLB,W,6,0.0,MLS,0.0
Juan Mosquera,POR,FB,844,0.0,MLS,0.0
Franco Negri,SD,FB,448,0.0,MLS,0.0
Lassi Lappalainen,CLB,FB,12,0.0,MLS,0.0
Obed Vargas,SEA,CM,1098,0.0,MLS,0.0
Cody Baker,SEA,FB,23,0.0,MLS,0.0
Rasmus Alm,STL,FB,11,-0.0,MLS,-0.0
Damir Kreilach,VAN,W,8,-0.0,MLS,-0.0
Kenji Mboma Dem,CIN,FB,10,-0.0,MLS,-0.0
Derrick Williams,ATL,CB,878,-0.0,MLS,-0.0
Zakaria Taifi,ORL,FB,12,-0.01,MLS,-0.07500000000000001
Amar Sejdić,CLB,CM,42,-0.01,MLS,-0.02142857142857143
Stuart Hawkins,SEA,CB,13,-0.01,MLS,-0.06923076923076923
Derek Dodson,DCU,FB,218,-0.01,MLS,-0.004128440366972477
Hennadiy Synchuk,MTL,W,124,-0.01,MLS,-0.007258064516129033
Bjørn Inge Utvik,VAN,CB,289,-0.01,MLS,-0.003114186851211073
Paxton Pomykal,FCD,CM,41,-0.01,MLS,-0.02195121951219512
Harold Osorio,CHI,DM,6,-0.01,MLS,-0.15000000000000002
Alex Harris,COL,AM,5,-0.01,MLS,-0.18
Gerardo Valenzuela,CIN,AM,278,-0.02,MLS,-0.006474820143884892
Mikkel Desler,ATX,FB,254,-0.02,MLS,-0.007086614173228346
Johnny Russell,RSL,DM,23,-0.02,MLS,-0.0782608695652174
Justin Ellis,ORL,ST,8,-0.02,MLS,-0.225
Teenage Hadebe,CIN,CB,478,-0.02,MLS,-0.003765690376569038
Zane Monlouis,TOR,CB,373,-0.02,MLS,-0.00482573726541555
Christopher Cupps,CHI,CB,118,-0.02,MLS,-0.015254237288135594
Jung Ho-Yeon,MIN,CM,104,-0.03,MLS,-0.02596153846153846
Reid Roberts,SJE,FB,222,-0.03,MLS,-0.012162162162162163
Luke Brennan,ATL,ST,9,-0.03,MLS,-0.3
Anisse Saidi,SD,CM,16,-0.03,MLS,-0.16874999999999998
Dominic Iankov,MTL,CM,45,-0.03,MLS,-0.06
Alfredo Morales,STL,CM,588,-0.03,MLS,-0.004591836734693877
Mykhi Joyner,STL,DM,99,-0.03,MLS,-0.02727272727272727
CJ Fodrey,ATX,ST,145,-0.03,MLS,-0.018620689655172412
Tristan Brown,CLB,FB,37,-0.03,MLS,-0.07297297297297296
Anderson Rosa,COL,FB,43,-0.03,MLS,-0.06279069767441861
Harbor Miller,LAG,FB,271,-0.03,MLS,-0.00996309963099631
Oscar Verhoeven,"SD, SJE",FB,131,-0.03,MLS,-0.020610687022900764
Justin Reynolds,CHI,FB,118,-0.03,MLS,-0.02288135593220339
Besard Šabović,ATX,CM,992,-0.04,MLS,-0.0036290322580645163
Tarik Scott,FCD,FB,23,-0.04,MLS,-0.1565217391304348
Alex Muyl,NSH,W,1076,-0.04,MLS,-0.003345724907063197
Ryan Kent,SEA,W,255,-0.04,MLS,-0.01411764705882353
Colin Guske,ORL,ST,16,-0.04,MLS,-0.225
Jayden Reid,STL,FB,24,-0.04,MLS,-0.15000000000000002
Olivier Mbaizo,PHI,FB,112,-0.04,MLS,-0.03214285714285714
Andy Batioja,HOU,ST,14,-0.04,MLS,-0.2571428571428571
Keegan Hughes,NER,ST,14,-0.04,MLS,-0.2571428571428571
Nicholas Scardina,CLT,FB,422,-0.04,MLS,-0.008530805687203791
Hassani Dotson,MIN,CM,401,-0.04,MLS,-0.008977556109725686
Matty Longstaff,TOR,CM,453,-0.05,MLS,-0.009933774834437087
Sam Junqua,RSL,CB,915,-0.05,MLS,-0.0049180327868852455
DeAndre Yedlin,CIN,FB,1091,-0.05,MLS,-0.004124656278643447
Robin Lod,MIN,CM,1033,-0.05,MLS,-0.004356243949661181
Bibi Karamoko,DCU,ST,25,-0.05,MLS,-0.18
Joseph Zalinsky,STL,FB,17,-0.05,MLS,-0.2647058823529412
Julian Gaines,NSH,W,16,-0.05,MLS,-0.28125
Gabe Segal,HOU,ST,43,-0.05,MLS,-0.10465116279069767
Kieran Chandler,MIN,FB,68,-0.06,MLS,-0.07941176470588235
Seymour Reid,NYC,ST,22,-0.06,MLS,-0.24545454545454543
Frankie Amaya,LAFC,CM,159,-0.06,MLS,-0.033962264150943396
Jesús Bueno,PHI,CM,192,-0.06,MLS,-0.028125
Sam Adekugbe,VAN,FB,241,-0.06,MLS,-0.022406639004149378
Jamar Ricketts,SJE,FB,495,-0.06,MLS,-0.010909090909090908
Loïc Mesanvi,MIN,ST,26,-0.06,MLS,-0.20769230769230768
Kimani Stewart-Baynes,COL,CM,26,-0.06,MLS,-0.20769230769230768
Nick Lima,SJE,FB,313,-0.07,MLS,-0.02012779552715655
Toyosi Olusanya,HOU,ST,48,-0.07,MLS,-0.13125
Pablo Ortíz,HOU,CB,171,-0.07,MLS,-0.0368421052631579
Peter Stroud,NYRB,CM,900,-0.07,MLS,-0.007
DeJuan Jones,"CLB, SJE",FB,635,-0.07,MLS,-0.009921259842519686
Julian Hall,NYRB,AM,254,-0.07,MLS,-0.024803149606299212
Robin Jansson,ORL,CB,1208,-0.07,MLS,-0.0052152317880794705
Wyatt Omsberg,NER,CB,68,-0.07,MLS,-0.09264705882352942
Taha Habroune,CLB,AM,72,-0.07,MLS,-0.08750000000000001
Carlos Terán,CHI,CB,323,-0.07,MLS,-0.0195046439628483
Finn Surman,POR,CB,1276,-0.07,MLS,-0.004937304075235111
Nick Fernandez,SJE,CM,62,-0.07,MLS,-0.10161290322580646
Dominik Chong Qui,ATL,FB,70,-0.07,MLS,-0.09
Ousman Jabang,MTL,CB,91,-0.08,MLS,-0.07912087912087912
Odin Thiago Holm,LAFC,CM,115,-0.08,MLS,-0.06260869565217392
Samuel Bassett,COL,ST,54,-0.08,MLS,-0.13333333333333333
Paul Arriola,SEA,W,84,-0.08,MLS,-0.08571428571428572
Aziel Jackson,CLB,AM,620,-0.09,MLS,-0.013064516129032257
Andrew Brody,SKC,FB,280,-0.09,MLS,-0.02892857142857143
Santiago Morales,MIA,W,31,-0.09,MLS,-0.26129032258064516
Djibril Diani,CLT,CM,359,-0.09,MLS,-0.02256267409470752
Hernán López,SJE,DM,149,-0.09,MLS,-0.054362416107382544
Danny Leyva,SEA,CM,389,-0.09,MLS,-0.02082262210796915
Nicolás Rodríguez,ORL,FB,38,-0.09,MLS,-0.21315789473684207
Jackson Hopkins,DCU,AM,62,-0.09,MLS,-0.13064516129032258
Kevin O'Toole,NYC,FB,807,-0.1,MLS,-0.011152416356877325
Marlon,LAFC,CB,616,-0.1,MLS,-0.01461038961038961
Marcelo Weigandt,MIA,FB,406,-0.1,MLS,-0.022167487684729068
Jeremy Rafanello,PHI,W,58,-0.1,MLS,-0.15517241379310345
Kwadwo Opoku,MTL,W,168,-0.1,MLS,-0.053571428571428575
Leonardo Barroso,CHI,FB,309,-0.1,MLS,-0.02912621359223301
Fidel Barajas,DCU,W,38,-0.1,MLS,-0.23684210526315788
Ian Fray,MIA,FB,571,-0.1,MLS,-0.01576182136602452
Célio Pompeu,STL,AM,556,-0.1,MLS,-0.01618705035971223
Ralph Priso,VAN,DM,421,-0.1,MLS,-0.021377672209026127
David Pereira Da Costa,POR,AM,1274,-0.11,MLS,-0.007770800627943485
Gastón Brugman,NSH,DM,512,-0.11,MLS,-0.0193359375
Maximo Carrizo,NYC,W,51,-0.11,MLS,-0.1941176470588235
Alvas Powell,CIN,CB,306,-0.11,MLS,-0.032352941176470584
Alejandro Alvarado Jr.,SD,CM,243,-0.11,MLS,-0.040740740740740744
Ian Pilcher,SD,CB,144,-0.11,MLS,-0.06875
Kobi Henry,RSL,FB,58,-0.11,MLS,-0.1706896551724138
Matheus Nascimento,LAG,ST,188,-0.11,MLS,-0.05265957446808511
Tani Oluwaseyi,MIN,ST,1097,-0.12,MLS,-0.009845031905195988
Tadeo Allende,MIA,W,668,-0.12,MLS,-0.016167664670658683
Will Sands,NER,FB,365,-0.13,MLS,-0.03205479452054794
Serge Ngoma,NYRB,W,305,-0.13,MLS,-0.03836065573770492
Rubén Ramos Jr.,LAG,CM,73,-0.13,MLS,-0.16027397260273973
Chris Applewhite,NSH,CB,144,-0.13,MLS,-0.08125
Mohamed Farsi,CLB,FB,1174,-0.13,MLS,-0.009965928449744465
Jahkeele Marshall-Rutty,"MTL, CLT",FB,497,-0.13,MLS,-0.023541247484909454
Tyger Smalls,CLT,W,78,-0.13,MLS,-0.15000000000000002
Artem Smoliakov,LAFC,FB,395,-0.14,MLS,-0.03189873417721519
Leo Afonso,MIA,W,98,-0.14,MLS,-0.1285714285714286
Noel Buck,"NER, SJE",CM,72,-0.14,MLS,-0.17500000000000002
Wayne Frederick,COL,CM,260,-0.14,MLS,-0.04846153846153847
Lalas Abubakar,FCD,CB,342,-0.14,MLS,-0.0368421052631579
Adrian Wibowo,LAFC,W,36,-0.15,MLS,-0.375
Alexandros Katranis,RSL,FB,918,-0.15,MLS,-0.014705882352941176
Mauricio Cuevas,LAG,W,191,-0.15,MLS,-0.0706806282722513
Morris Duggan,MIN,CB,748,-0.15,MLS,-0.01804812834224599
João Paulo,SEA,CM,347,-0.15,MLS,-0.03890489913544669
Carlos Harvey,MIN,CB,733,-0.15,MLS,-0.018417462482946793
Garrison Tubbs,DCU,CB,259,-0.16,MLS,-0.0555984555984556
DJ Taylor,MIN,FB,177,-0.16,MLS,-0.08135593220338982
Owen Graham-Roache,MTL,ST,65,-0.16,MLS,-0.22153846153846155
Léo Chú,FCD,W,233,-0.16,MLS,-0.06180257510729614
Deybi Flores,TOR,DM,1067,-0.16,MLS,-0.013495782567947515
Dominique Badji,DCU,ST,381,-0.16,MLS,-0.03779527559055118
Jackson Travis,COL,FB,341,-0.16,MLS,-0.04222873900293255
Prince Owusu,MTL,ST,1218,-0.16,MLS,-0.011822660098522167
Wil Trapp,MIN,DM,1225,-0.16,MLS,-0.011755102040816326
Brandan Craig,MTL,CB,197,-0.16,MLS,-0.0730964467005076
Max Floriani,SJE,CB,308,-0.17,MLS,-0.04967532467532468
Julian Gressel,MIN,W,172,-0.17,MLS,-0.08895348837209303
Rafael Santos,ORL,FB,567,-0.17,MLS,-0.02698412698412699
Cayman Togashi,ATL,AM,78,-0.17,MLS,-0.19615384615384618
Jeevan Badwal,VAN,CM,162,-0.17,MLS,-0.09444444444444444
Akil Watts,STL,FB,1153,-0.17,MLS,-0.013269731136166524
Mateusz Klich,ATL,DM,562,-0.18,MLS,-0.02882562277580071
Júnior Urso,HOU,DM,370,-0.19,MLS,-0.04621621621621622
Tomas Ostrak,STL,CM,467,-0.19,MLS,-0.036616702355460384
Lazar Stefanovic,TOR,CB,289,-0.19,MLS,-0.05916955017301038
Brooklyn Raines,HOU,DM,599,-0.19,MLS,-0.028547579298831387
Liam Mackenzie,VAN,W,69,-0.19,MLS,-0.24782608695652175
Erik Thommy,SKC,W,693,-0.19,MLS,-0.024675324675324677
Georgi Minoungou,SEA,W,448,-0.19,MLS,-0.03816964285714285
Kamal Miller,POR,CB,1057,-0.2,MLS,-0.017029328287606435
Matt Miazga,CIN,CB,332,-0.2,MLS,-0.054216867469879526
Xande Silva,"STL, ATL",W,374,-0.2,MLS,-0.0481283422459893
Lachlan Brook,RSL,W,124,-0.2,MLS,-0.14516129032258066
Tom Pearce,MTL,FB,450,-0.2,MLS,-0.04
Raheem Edwards,NYRB,FB,559,-0.2,MLS,-0.03220035778175313
Nicolás Dubersarsky,ATX,CM,156,-0.2,MLS,-0.11538461538461539
Daniel Munie,SJE,CB,658,-0.2,MLS,-0.02735562310030395
Ahmed Qasem,NSH,W,679,-0.21,MLS,-0.02783505154639175
Matthew Corcoran,NSH,CM,158,-0.21,MLS,-0.11962025316455696
Eduard Löwen,STL,CM,400,-0.21,MLS,-0.04725
Wiktor Bogacz,NYRB,ST,137,-0.22,MLS,-0.14452554744525548
Rida Zouhir,DCU,W,253,-0.22,MLS,-0.0782608695652174
Strahinja Tanasijević,NYC,CB,259,-0.22,MLS,-0.07644787644787646
Edwin Mosquera,ATL,W,180,-0.22,MLS,-0.11
Isaiah Parente,LAG,DM,730,-0.22,MLS,-0.027123287671232878
Elijah Wynder,LAG,CM,348,-0.22,MLS,-0.05689655172413793
Brandt Bronico,CLT,DM,1072,-0.22,MLS,-0.018470149253731343
Ethan Bartlow,HOU,CB,622,-0.22,MLS,-0.031832797427652736
Griffin Dorsey,HOU,FB,1390,-0.23,MLS,-0.014892086330935252
Owen Gene,MIN,CM,142,-0.23,MLS,-0.14577464788732394
Jake Girdwood-Reich,STL,CM,109,-0.23,MLS,-0.18990825688073398
Diego Rossi,CLB,ST,1280,-0.23,MLS,-0.016171875
Chidozie Awaziem,COL,CB,1277,-0.23,MLS,-0.01620986687548943
Jeison Palacios,NSH,CB,605,-0.24,MLS,-0.03570247933884298
Patrick McNair,SD,CB,1272,-0.24,MLS,-0.016981132075471698
Pablo Ruiz,RSL,DM,314,-0.24,MLS,-0.06878980891719745
Dawid Bugaj,MTL,FB,532,-0.25,MLS,-0.042293233082706765
Tyrese Spicer,TOR,W,469,-0.25,MLS,-0.04797441364605544
Brendan Hines-Ike,ATX,CB,1194,-0.25,MLS,-0.01884422110552764
Luis Abram,ATL,CB,1001,-0.26,MLS,-0.023376623376623377
Tucker Lepley,LAG,CM,417,-0.26,MLS,-0.05611510791366907
Cavan Sullivan,PHI,W,78,-0.26,MLS,-0.30000000000000004
Jeppe Tverskov,SD,DM,1388,-0.26,MLS,-0.01685878962536023
Cedric Teuchert,STL,ST,831,-0.26,MLS,-0.02815884476534296
Emmanuel Boateng,SD,W,111,-0.26,MLS,-0.2108108108108108
Marco Farfan,FCD,FB,524,-0.26,MLS,-0.044656488549618324
Santiago Muñoz,SKC,ST,103,-0.27,MLS,-0.2359223300970874
Cesar Ruvalcaba,CLB,CB,176,-0.27,MLS,-0.13806818181818184
Michael Edwards,COL,CB,35,-0.27,MLS,-0.6942857142857144
Ariel Lassiter,POR,W,240,-0.27,MLS,-0.10125
Ondrej Lingr,HOU,W,457,-0.27,MLS,-0.053172866520787745
Robert Taylor,"ATX, MIA",W,273,-0.28,MLS,-0.09230769230769231
Fernando Álvarez,MTL,CB,533,-0.29,MLS,-0.04896810506566604
Brad Smith,CIN,FB,207,-0.29,MLS,-0.12608695652173912
Tomás Chancalay,NER,ST,110,-0.29,MLS,-0.23727272727272727
Osman Bukari,ATX,W,1013,-0.29,MLS,-0.02576505429417571
Zanka,LAG,CB,627,-0.29,MLS,-0.0416267942583732
Gabriel Pirani,DCU,AM,689,-0.29,MLS,-0.03788098693759071
Pavel Bucha,CIN,CM,1225,-0.29,MLS,-0.02130612244897959
Samuel Shashoua,MIN,DM,133,-0.3,MLS,-0.20300751879699244
Devin Padelford,MIN,CB,102,-0.3,MLS,-0.2647058823529412
Andrés Reyes,SD,CB,43,-0.3,MLS,-0.627906976744186
Jacob Bartlett,SKC,DM,889,-0.31,MLS,-0.03138357705286839
Giuseppe Bovalina,VAN,FB,141,-0.31,MLS,-0.1978723404255319
D'Avilla Dje tah,CHI,DM,149,-0.32,MLS,-0.19328859060402687
Kosi Thompson,TOR,FB,1066,-0.32,MLS,-0.02701688555347092
Julián Aude,LAG,FB,746,-0.32,MLS,-0.0386058981233244
Yannick Bright,MIA,DM,816,-0.32,MLS,-0.03529411764705882
Anderson Julio,FCD,W,880,-0.32,MLS,-0.03272727272727273
Sam Williams,CHI,CM,263,-0.33,MLS,-0.11292775665399239
Jovan Lukić,PHI,CM,1209,-0.33,MLS,-0.02456575682382134
Luis Suárez,MIA,ST,822,-0.33,MLS,-0.03613138686131387
Show,FCD,CM,269,-0.33,MLS,-0.11040892193308552
Marcus Ingvartsen,SD,ST,347,-0.33,MLS,-0.08559077809798271
Bernard Kamungo,FCD,W,324,-0.34,MLS,-0.09444444444444444
Keegan Rosenberry,COL,FB,857,-0.34,MLS,-0.03570595099183198
Bode Hidalgo,RSL,FB,776,-0.34,MLS,-0.03943298969072165
Wyatt Meyer,NSH,CM,161,-0.34,MLS,-0.19006211180124225
Emiro Garcés,LAG,CB,1067,-0.35,MLS,-0.02952202436738519
Ajani Fortune,ATL,CM,649,-0.35,MLS,-0.0485362095531587
