player_name,rating,team_name,competition,Age,Cluster,adjustment,cluster_rating_zscore,cluster_rating_percentile,Cluster Name,Age Group
patrick yazbek,6.66,Nashville SC,mls,23.0,7,1.0,0.7871380830779037,69.0,Progressive Dribblers in Def 3rd,promising
samuel piette,6.64,CF Montréal,mls,30.0,1,1.0,0.747819200939921,69.7,Progressive Passers in Def 3rd,prime
jared stroud,6.39,D.C. United,mls,29.0,2,1.0,0.7637185876887098,66.4,Creative 9s,prime
nico benalcazar,5.897394968714085,Orange County SC,uslc,24.0,1,0.8134337887881496,-0.19759801678744665,47.1,Progressive Passers in Def 3rd,promising
alex crognale,5.661499169965522,San Antonio FC,uslc,30.0,4,0.8134337887881496,-0.6725309952069817,32.3,No-Nonsense Defender,prime
amadou dia,5.6859021836291666,Louisville City FC,uslc,32.0,3,0.8134337887881496,-0.48825661336372805,41.1,Attacking FBs,Veteran
brent kallman,4.498931170987102,Union Omaha,usl1,34.0,4,0.717532882135104,-2.0552602774116657,1.0,No-Nonsense Defender,Veteran
tim leibold,6.66,Sporting Kansas City,mls,31.0,3,1.0,0.7043458611219393,64.5,Attacking FBs,prime
luis muriel,7.26,Orlando City SC,mls,34.0,6,1.0,1.2701760082585312,91.2,Difference Makers,Veteran
cal jennings,5.881126292938323,Charleston Battery,uslc,28.0,0,0.8134337887881496,-0.006900750786472499,57.3,High Volume Goalscorers,prime
erik thommy,6.86,Sporting Kansas City,mls,30.0,2,1.0,1.3198440391096098,90.7,Creative 9s,prime
jesus ferreira,6.83,Seattle Sounders FC,mls,24.0,2,1.0,1.2843466698699777,89.7,Creative 9s,promising
jonas fjeldberg,5.189707572468395,Colorado Springs Switchbacks FC,uslc,26.0,0,0.8134337887881496,-0.8394689195260431,21.0,High Volume Goalscorers,prime
daniel lovitz,7.23,Nashville SC,mls,33.0,3,1.0,1.402205356372097,96.1,Attacking FBs,Veteran
daniel rios,6.55,Vancouver Whitecaps FC,mls,30.0,2,1.0,0.9530378903000799,76.6,Creative 9s,prime
matt polster,7.08,New England Revolution,mls,32.0,1,1.0,1.30798720179458,94.1,Progressive Passers in Def 3rd,Veteran
idan toklomati,6.63,Charlotte FC,mls,20.0,0,1.0,0.8948515339676861,73.4,High Volume Goalscorers,young
agustin ojeda,6.59,New York City FC,mls,21.0,0,1.0,0.8466857470665904,68.5,High Volume Goalscorers,promising
kellyn acosta,6.08,Chicago Fire FC,mls,29.0,1,1.0,0.03487810894308356,48.7,Progressive Passers in Def 3rd,prime
jonathan jimenez,5.010752138935002,Hartford Athletic,uslc,24.0,2,0.8134337887881496,-0.8682704322178465,22.4,Creative 9s,promising
j.c. ngando,7.0,Vancouver Whitecaps FC,mls,25.0,5,1.0,0.47017131694894504,56.1,10s,promising
