Team_1,Team_1_ID,Team_2,Team_2_ID,Distance_miles
Austin FC,1218886,Colorado Springs Switchbacks FC,614321,708.8640708177269
Austin FC,1218886,Columbus Crew,6001,1062.1935399836884
Austin FC,1218886,D.C. United,6602,1314.5479920563373
Austin FC,1218886,FC Cincinnati,722265,973.1207112196628
Austin FC,1218886,FC Dallas,6399,197.51666094698732
Austin FC,1218886,FC Tulsa,614325,403.09362997783137
Austin FC,1218886,Hartford Athletic,1003206,1597.5511205230814
Austin FC,1218886,Inter Miami CF,960720,1106.5172322266108
Austin FC,1218886,Lexington SC,1430405,922.7074886810489
Austin FC,1218886,Los Angeles Galaxy,6637,1226.7863069144098
Austin FC,1218886,Loudoun United FC,1003205,1290.071515393575
Austin FC,1218886,New England Revolution,6580,1673.1194017175317
Austin FC,1218886,New York City FC,546238,1508.760340755907
Austin FC,1218886,New York Red Bulls,6514,1505.2046475426223
Austin FC,1218886,North Carolina FC,162185,1158.5354870293156
Austin FC,1218886,Oakland Roots SC,1130413,1489.6898294835737
Austin FC,1218886,One Knoxville SC,1358088,885.987654962694
Austin FC,1218886,Orlando City FC,267810,989.5424195794103
Austin FC,1218886,Philadelphia Union,191716,1416.801838989425
Austin FC,1218886,Phoenix Rising FC,424268,869.2529021705672
Austin FC,1218886,Portland Hearts of Pine,1701883,1759.6161537771954
Austin FC,1218886,Portland Timbers,307690,1705.6529187423919
Austin FC,1218886,Rhode Island FC,1597140,1662.0936753436126
Austin FC,1218886,Richmond Kickers,267811,1259.0057152989739
Austin FC,1218886,Sacramento Republic FC,521004,1464.3993277124762
Austin FC,1218886,San Antonio FC,722269,71.37913587871743
Austin FC,1218886,San Jose Earthquakes,6603,1468.1256323022
Austin FC,1218886,Seattle Sounders FC,130394,1765.235849549405
Austin FC,1218886,South Georgia Tormenta FC,727430,949.4976109314352
Austin FC,1218886,Spokane Velocity FC,1584038,1586.2020219232293
Austin FC,1218886,Sporting Kansas City,6604,617.0951425024463
