"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Collin Smith","PHX","2025","FB","964","-0.11","0.11","-0.01","0.13","0.16","0.08","0.35"
"","Nick Moon","TBR","2025","FB","144","0.13","0.01","0.02","0.05","0.04","0.10","0.34"
"","Jack Blake","IND","2025","AM","728","-0.08","0.19","0.11","-0.11","0.12","0.12","0.34"
"","Cal Jennings","CHS","2025","ST","764","-1.06","0.18","0.20","-0.36","1.06","0.33","0.33"
"","Bryce Jamison","OC","2025","W","365","0.13","-0.04","-0.05","-0.06","0.20","0.16","0.33"
"","Luiz Fernando","NM","2025","W","690","0.35","-0.08","-0.00","-0.15","0.29","-0.09","0.32"
"","Bruno Manuel Rendón","IND","2025","W","330","0.02","-0.03","0.20","-0.04","0.16","0.00","0.32"
"","Anthony Herbert","NM","2025","CB","128","0.02","-0.06","0.24","0.11","-0.01","0.00","0.32"
"","Jimmy Medranda","SA","2025","FB","872","-0.16","-0.23","0.19","0.66","-0.27","0.12","0.31"
"","Tyler Pasher","BHM","2025","W","400","0.21","0.04","-0.06","0.24","-0.08","-0.06","0.30"
"","Emil Cuello","PHX","2025","FB","297","0.02","0.02","0.30","0.08","-0.08","-0.04","0.30"
"","Nico Benalcazar","OC","2025","CM","908","-0.03","0.05","0.14","-0.03","0.06","0.10","0.29"
"","Quenzi Huerman","COS","2025","W","421","0.32","0.24","-0.06","-0.10","-0.10","-0.01","0.29"
"","Leo Fernandes","TBR","2025","W","301","0.13","0.15","0.01","0.09","-0.10","0.01","0.29"
"","Lamar Batista","TUL","2025","CB","916","0.06","0.33","0.12","-0.33","0.04","0.06","0.28"
"","Aimé Mabika","RI","2025","CB","187","0.14","0.02","0.13","-0.01","0.01","-0.02","0.28"
"","Kyle Edwards","HFD","2025","ST","209","0.13","-0.01","-0.01","-0.10","0.17","0.09","0.28"
"","Anton Sojberg Horup","MB","2025","ST","564","0.10","-0.08","0.13","0.41","-0.32","0.04","0.28"
"","Alejandro Mitrano","MIA","2025","FB","403","0.05","-0.04","0.23","0.13","-0.04","-0.06","0.27"
"","Preston Tabort Etaka","BHM","2025","W","499","0.33","-0.02","0.01","0.15","-0.22","0.03","0.27"
"","Shaft Brewer","LV","2025","FB","122","0.02","-0.01","0.27","-0.03","-0.01","0.02","0.27"
"","Elliot Collier","IND","2025","CB","116","0.09","0.03","0.05","0.03","0.05","0.01","0.26"
"","Ezra Armstrong","NC","2025","FB","165","0.02","0.00","0.15","0.06","0.03","-0.00","0.26"
"","Nick Ross","SAC","2025","CM","353","0.11","0.01","0.17","0.13","-0.12","-0.05","0.25"
"","Ousmane Sylla","OC","2025","AM","371","0.22","-0.01","0.04","-0.02","-0.02","0.04","0.24"
"","James Murphy","IND","2025","DM","807","-0.02","0.08","0.09","0.36","-0.21","-0.06","0.23"
"","Allen Gavilanes","MIA","2025","W","464","0.03","0.30","0.02","-0.10","0.00","-0.02","0.23"
"","Kevin Hoyos","MIA","2025","ST","54","0.09","-0.01","-0.01","0.02","-0.04","0.17","0.22"
"","Francisco Bonfiglio","MIA","2025","ST","643","-0.06","-0.07","0.06","-0.42","0.63","0.05","0.20"
"","Rodrigo López","SAC","2025","CM","282","0.11","0.07","-0.08","0.10","-0.09","0.08","0.19"
"","Owen Damm","TUL","2025","FB","795","0.26","-0.03","0.05","-0.22","-0.02","0.14","0.19"
"","Alex Nagy","LDN","2025","W","62","-0.07","-0.01","0.09","0.07","0.07","0.03","0.19"
"","Aodhan Quinn","IND","2025","DM","772","-0.17","0.04","0.14","0.17","0.02","-0.01","0.19"
"","Albert Dikwa","RI","2025","ST","629","0.12","-0.10","-0.12","-0.26","0.55","-0.01","0.18"
"","Christopher Gloster","NM","2025","FB","378","-0.06","0.24","0.26","-0.10","-0.08","-0.08","0.18"
"","Gabriel Torres","ELP","2025","FB","708","-0.13","-0.03","0.24","0.04","0.01","0.05","0.18"
"","Jack Gurr","SAC","2025","FB","732","-0.13","0.29","-0.23","-0.10","0.27","0.08","0.17"
"","Zachary Zandi","COS","2025","DM","787","-0.05","0.05","0.26","-0.39","0.29","0.02","0.17"
"","Aaron Molloy","CHS","2025","DM","908","-0.15","0.03","0.21","0.17","-0.09","-0.01","0.17"
"","Álvaro Quezada","ELP","2025","FB","298","-0.01","-0.00","0.13","-0.00","0.03","0.02","0.17"
"","Lewis Jamieson","SAC","2025","ST","444","0.20","0.19","-0.06","0.03","-0.35","0.15","0.16"
"","Michael Adedokun","LEX","2025","W","128","0.23","0.01","-0.04","0.02","-0.04","-0.01","0.16"
"","Sofiane Djeffal","LEX","2025","DM","958","-0.14","-0.04","0.15","0.26","-0.00","-0.07","0.16"
"","Louis Pérez","NC","2025","W","503","0.15","-0.06","-0.03","0.39","-0.29","-0.01","0.16"
"","Ryan Doghman","OC","2025","FB","779","0.09","-0.10","0.16","0.10","-0.09","0.00","0.15"
"","James Musa","IND","2025","CB","807","-0.06","0.26","0.19","-0.14","-0.02","-0.08","0.15"
"","Tommy McCabe","LDN","2025","DM","990","0.13","0.01","-0.18","0.50","-0.20","-0.11","0.15"
"","Thomas Amang","NM","2025","ST","158","-0.07","0.01","0.05","0.07","-0.02","0.11","0.15"
"","Evan Davila","LOU","2025","CM","288","0.03","0.06","-0.01","0.17","-0.07","-0.03","0.15"
"","Chris Allan","CHS","2025","DM","584","0.05","-0.00","0.27","-0.04","-0.11","-0.02","0.15"
"","Zach Duncan","LOU","2025","CM","297","-0.09","-0.08","0.30","0.05","-0.07","0.04","0.15"
"","Emmanuel Samadia","HFD","2025","FB","706","-0.45","0.05","0.56","-0.17","0.21","-0.05","0.14"
"","Joseph Brito","RI","2025","W","277","-0.20","-0.01","0.11","0.01","0.07","0.15","0.13"
"","Devon Amoo-Mensah","DET","2025","CB","702","0.12","0.05","-0.26","0.09","0.13","0.01","0.13"
"","John Klein","CHS","2025","W","329","0.10","-0.04","0.08","0.02","-0.17","0.14","0.13"
"","Kalil ElMedkhar","TUL","2025","W","376","-0.06","-0.02","-0.04","0.08","0.21","-0.05","0.13"
"","Guillaume Vacter","PIT","2025","CB","197","0.00","0.03","0.14","0.02","-0.04","-0.02","0.13"
"","Maalique Foster","IND","2025","W","689","0.28","-0.07","-0.09","0.20","-0.13","-0.06","0.13"
"","Rio Hope-Gund","RI","2025","FB","379","0.23","0.01","-0.06","0.09","-0.10","-0.05","0.12"
"","Stephen Turnbull","BHM","2025","FB","200","-0.01","0.01","0.10","0.09","-0.06","-0.01","0.12"
"","Frederik Kleemann","SAC","2025","CB","898","0.16","0.17","-0.17","0.04","-0.04","-0.06","0.10"
"","Lewis Hilton","TBR","2025","CM","229","0.03","0.01","-0.03","0.34","-0.19","-0.05","0.10"
"","Tristan Hodge","NC","2025","CB","400","0.01","0.02","-0.10","0.11","-0.01","0.07","0.10"
"","Ben Mines","LDN","2025","W","546","-0.40","0.08","0.06","0.24","0.11","0.00","0.10"
"","Sami Guediri","MB","2025","FB","344","-0.06","0.03","0.16","0.09","-0.07","-0.05","0.09"
"","Dmitri Erofeev","SA","2025","W","89","-0.04","-0.01","-0.00","0.06","0.01","0.06","0.09"
"","Boluwatife Akinyode","MIA","2025","CB","814","-0.04","-0.24","0.71","-0.18","-0.11","-0.06","0.08"
"","Juan Agudelo","SA","2025","ST","383","-0.15","0.01","-0.04","-0.17","0.45","-0.03","0.08"
"","Francesco Celeste","MIA","2025","ST","86","-0.04","0.21","-0.02","0.01","-0.05","-0.04","0.08"
"","Pedro Dolabella","NC","2025","W","631","-0.01","-0.04","-0.01","0.07","0.14","-0.08","0.08"
"","Roberto Molina","OC","2025","AM","150","0.13","-0.01","0.04","0.07","-0.12","-0.04","0.07"
"","Trevor Amann","SAC","2025","ST","35","0.02","-0.01","0.00","-0.04","0.08","0.02","0.07"
"","Frank Nodarse","RI","2025","CB","655","-0.02","0.08","-0.07","-0.09","0.10","0.07","0.07"
"","Cristian Parano","SAC","2025","W","646","0.22","-0.22","-0.02","-0.09","0.08","0.10","0.07"
"","Alexis Souahy","SA","2025","CB","331","-0.01","0.01","0.32","-0.06","-0.12","-0.06","0.07"
"","Luis Saldana","OAK","2025","FB","20","-0.00","-0.00","-0.01","0.07","0.02","-0.01","0.07"
"","Rayan Djedje","SAC","2025","FB","69","-0.01","0.07","0.03","-0.01","-0.02","-0.01","0.07"
"","Moses Mensah","BHM","2025","FB","613","-0.03","0.26","0.21","-0.15","-0.14","-0.09","0.06"
"","Justin Malou","NC","2025","CB","9","-0.00","0.00","-0.01","-0.01","0.03","0.04","0.06"
"","Marcus Epps","LEX","2025","W","997","0.02","-0.08","-0.02","0.10","-0.01","0.06","0.06"
"","Frank López","ELP","2025","W","79","0.13","-0.00","-0.03","-0.11","0.06","0.00","0.05"
"","Noah Dollenmayer","ELP","2025","FB","104","0.01","0.01","0.06","-0.01","-0.01","-0.00","0.05"
"","Herbert Endeley","COS","2025","W","525","0.25","-0.04","0.03","0.12","-0.27","-0.04","0.05"
"","Jake Morris","LOU","2025","FB","36","0.00","0.00","-0.02","0.05","0.02","-0.01","0.04"
"","Max Broughton","PIT","2025","FB","127","-0.00","0.00","0.02","0.02","-0.02","0.02","0.04"
"","Ricky Ruiz","ELP","2025","FB","615","0.02","-0.06","0.06","0.39","-0.31","-0.06","0.04"
"","Ihsan Sacko","PHX","2025","W","730","0.39","-0.03","0.06","0.26","-0.34","-0.30","0.03"
"","Edwin Laszo","BHM, TUL","2025","DM","191","0.00","0.01","0.16","-0.05","-0.07","-0.04","0.03"
"","Daniel Griffin","PIT","2025","AM","899","-0.09","-0.03","-0.11","-0.19","0.40","0.04","0.02"
"","Aaron Acloque","MIA","2025","FB","59","0.00","0.00","-0.00","0.04","-0.02","-0.01","0.02"
"","Langston Blackstock","CHS","2025","FB","421","0.00","-0.04","0.07","0.02","-0.02","-0.02","0.02"
"","Alexander Rodriguez","TBR","2025","FB","20","0.03","0.00","-0.01","-0.01","0.01","-0.00","0.02"
"","Manny Perez","LOU","2025","FB","700","0.14","-0.02","-0.00","-0.48","0.34","0.04","0.01"
"","Lyam MacKinnon","OC","2025","W","435","-0.30","0.07","0.03","-0.25","0.37","0.10","0.01"
"","John Scearce","PHX","2025","DM","554","-0.32","0.02","0.03","0.14","0.11","0.03","0.00"
"","Marcello Polisi","DET","2025","CM","359","0.06","0.02","0.29","-0.18","-0.10","-0.09","0.00"
"","Adrien Pérez","LOU","2025","W","383","-0.02","-0.05","-0.00","-0.02","-0.04","0.13","0.00"
"","Kalen Ryden","NM","2025","CB","746","0.17","-0.18","-0.18","0.13","0.08","-0.01","0.00"
"","Chibuike Ukaegbu","SAC","2025","CB","363","0.16","0.04","-0.21","-0.06","-0.03","0.10","0.00"
"","Michael Lawrence","MIA","2025","ST","68","0.00","-0.00","0.01","0.08","-0.05","-0.04","0.00"
"","Gagi Margvelashvili","OAK","2025","CB","80","-0.01","0.01","-0.01","0.01","0.01","-0.01","0.00"
"","Joe Hafferty","LEX","2025","FB","823","-0.09","0.04","0.01","0.28","-0.16","-0.08","0.00"
"","Camden Riley","OAK","2025","FB","265","-0.05","-0.01","-0.12","-0.02","0.06","0.14","0.00"
