"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Dariusz Formella","PHX","2025","W","466","0.42","-0.10","0.11","-0.29","-0.09","-0.16","-0.11"
"","Isaiah Foster","COS","2025","W","51","0.00","-0.01","-0.02","-0.02","-0.04","-0.03","-0.11"
"","Manuel Arteaga","TBR","2025","ST","742","-0.04","0.02","0.42","-0.23","-0.23","-0.04","-0.11"
"","Mohamed Traore","PHX","2025","CB","330","-0.05","0.03","-0.07","0.05","-0.05","-0.03","-0.11"
"","Hugo Mbongue","LEX","2025","ST","47","0.02","-0.00","-0.03","-0.06","-0.02","-0.02","-0.11"
"","Vuk Latinovich","OC","2025","CB","306","-0.01","0.02","0.01","-0.07","-0.09","0.02","-0.12"
"","Jackson Conway","CHS","2025","FB","46","-0.03","-0.00","-0.01","-0.09","0.04","-0.02","-0.12"
"","Luis Felipe Fernandes","SAC","2025","CM","716","-0.19","0.04","-0.16","-0.41","0.43","0.17","-0.12"
"","Ethan Zubak","OC","2025","ST","548","0.29","-0.12","-0.09","-0.51","0.21","0.11","-0.12"
"","Forster Ajago","LEX","2025","W","52","-0.06","-0.01","0.01","-0.01","-0.02","-0.03","-0.12"
"","Aaron Edwards","SAC","2025","FB","103","-0.01","0.01","-0.05","-0.03","-0.03","-0.02","-0.12"
"","Marcos Serrato","TUL","2025","CM","142","0.00","-0.00","-0.05","0.01","-0.07","-0.02","-0.12"
"","Jacob Erlandson","LDN","2025","CB","666","-0.09","0.04","-0.22","0.04","0.08","0.02","-0.12"
"","Lucas Stauffer","TUL","2025","FB","208","-0.05","-0.00","-0.03","0.03","-0.04","-0.03","-0.13"
"","Phanuel Kavita","BHM","2025","CB","366","0.01","0.06","-0.10","-0.04","-0.08","0.01","-0.13"
"","Mohamed Omar","SA","2025","CB","381","0.19","-0.24","0.02","-0.03","-0.07","0.00","-0.13"
"","Grayson Doody","OC","2025","FB","486","-0.10","0.01","0.06","-0.00","-0.10","0.00","-0.13"
"","Vaughn Covil","LV","2025","W","47","-0.02","-0.01","-0.02","-0.00","-0.06","-0.03","-0.13"
"","Mark Segbers","CHS","2025","DM","115","0.00","-0.00","-0.08","0.02","-0.05","-0.03","-0.14"
"","Kai Greene","OAK","2025","CB","1032","-0.08","0.01","0.12","0.01","-0.14","-0.06","-0.14"
"","Nico Gordon","MB","2025","CB","984","-0.20","0.04","0.29","-0.20","0.02","-0.07","-0.14"
"","Daniel Barbir","LEX","2025","CB","503","0.05","0.05","-0.10","0.03","-0.12","-0.06","-0.14"
"","Nathan Worth","TBR","2025","CM","188","0.05","-0.02","-0.06","0.01","-0.09","-0.04","-0.15"
"","Oliver Brynéus","IND","2025","W","219","-0.28","-0.00","-0.02","-0.05","0.22","-0.01","-0.15"
"","Benjamin Ofeimu","IND","2025","CB","524","-0.05","-0.01","-0.02","-0.04","-0.04","0.02","-0.15"
"","Mouhamadou War","OC","2025","ST","222","-0.19","-0.00","0.05","-0.22","0.15","0.06","-0.15"
"","Braxton Montgomery","PHX","2025","FB","667","-0.07","-0.00","0.31","-0.14","-0.17","-0.09","-0.16"
"","Santiago Suárez","BHM","2025","FB","341","-0.03","0.03","-0.18","0.02","0.02","-0.02","-0.16"
"","Pedro Guimaraes","OC","2025","FB","361","-0.02","0.06","-0.07","-0.07","-0.04","-0.02","-0.16"
"","Jack Beer","LEX","2025","AM","209","-0.07","-0.07","-0.03","0.13","-0.08","-0.05","-0.16"
"","Steven Echeverria","COS","2025","CM","159","-0.01","-0.05","-0.12","0.01","0.02","-0.01","-0.16"
"","Jaylin Lindsey","NM","2025","FB","750","-0.00","0.05","-0.36","0.17","0.00","-0.03","-0.16"
"","Adam Luckhurst","NC","2025","ST","184","0.07","-0.04","-0.01","0.02","-0.14","-0.07","-0.16"
"","Dieng Mamadou","HFD","2025","ST","729","0.15","-0.07","0.09","0.06","-0.17","-0.22","-0.16"
"","Kyle Adams","LOU","2025","CB","893","0.13","0.05","-0.23","0.09","-0.13","-0.07","-0.16"
"","Ryan Spaulding","SAC","2025","FB","211","0.00","0.05","-0.05","-0.07","-0.07","-0.02","-0.17"
"","Ashish Chattha","LV","2025","CM","75","-0.02","-0.00","-0.03","-0.06","-0.03","-0.01","-0.17"
"","Ali Elmasnaouy","OAK","2025","ST","107","-0.00","-0.00","-0.01","-0.04","-0.08","-0.03","-0.17"
"","Ethan Bryant","MB","2025","CM","386","0.01","-0.01","-0.08","-0.04","-0.11","0.05","-0.17"
"","Bertin Jacquesson","PIT","2025","W","148","0.11","-0.02","-0.00","-0.13","-0.09","-0.05","-0.18"
"","Julian Bravo","OAK","2025","CB","533","0.04","0.04","-0.09","0.10","-0.19","-0.07","-0.18"
"","Rhys Williams","DET","2025","FB","715","0.07","0.01","0.02","-0.37","0.10","0.00","-0.18"
"","Hayden White","IND","2025","FB","283","-0.03","0.01","-0.18","0.12","-0.07","-0.04","-0.18"
"","Akeem Ward","COS","2025","FB","594","-0.14","-0.02","0.06","0.14","-0.13","-0.09","-0.19"
"","Jordan Scarlett","HFD","2025","CB","808","-0.10","-0.15","-0.00","0.17","-0.11","0.00","-0.19"
"","Emmanuel Johnson","OAK","2025","ST","320","-0.30","0.28","-0.04","-0.38","0.30","-0.05","-0.19"
"","Jared Trimmer","SAC","2025","CB","516","-0.04","0.03","-0.50","0.36","-0.06","0.01","-0.19"
"","Ollie Bassett","TBR","2025","W","873","-0.37","-0.12","0.18","0.09","-0.04","0.07","-0.20"
"","Sebastián Blanco","MIA","2025","W","358","0.03","0.02","-0.06","0.19","-0.27","-0.12","-0.21"
"","Grant Robinson","MB","2025","FB","434","-0.04","-0.01","-0.04","-0.00","-0.10","-0.03","-0.21"
"","Abdi Mohamed","OAK","2025","FB","464","-0.25","0.03","0.17","-0.03","-0.07","-0.06","-0.21"
"","Nicolás Cardona","MIA","2025","FB","321","-0.05","0.02","-0.11","0.07","-0.10","-0.05","-0.22"
"","Ezekiel Soto","CHS","2025","W","26","-0.15","-0.06","-0.03","-0.02","0.05","-0.01","-0.22"
"","Roman Torres","BHM","2025","CM","467","-0.09","-0.01","0.03","0.03","-0.11","-0.08","-0.23"
"","Jorge Garcia","PIT","2025","CM","207","-0.03","0.05","-0.10","-0.18","-0.02","0.06","-0.23"
"","Tristan Trager","OC","2025","ST","141","-0.00","-0.02","0.07","0.00","-0.20","-0.08","-0.23"
"","McKinze Gaines","NM","2025","W","386","0.17","-0.02","-0.07","-0.06","-0.30","0.05","-0.23"
"","Daniel Trejo","BHM","2025","W","472","0.07","-0.04","-0.07","-0.26","0.06","0.02","-0.23"
"","Faysal Bettache","TUL","2025","W","111","-0.01","-0.01","-0.07","0.02","-0.11","-0.05","-0.23"
"","Ricardo Rivera","MIA","2025","ST","160","-0.11","0.00","0.05","-0.05","-0.05","-0.08","-0.24"
"","Cameron MacPherson","TBR","2025","CM","584","-0.02","0.00","-0.26","0.36","-0.25","-0.08","-0.24"
"","Frank Daroma","ELP","2025","CM","899","0.52","-0.01","-0.11","-0.33","-0.23","-0.08","-0.24"
"","Daniel Bruce","NM","2025","CM","166","0.06","0.00","-0.06","-0.19","-0.03","-0.03","-0.24"
"","Logan Neidlinger","IND","2025","FB","74","-0.06","-0.00","-0.15","0.05","-0.05","-0.03","-0.24"
"","Luke Ivanovic","MB","2025","W","401","-0.05","0.02","-0.06","-0.07","-0.08","0.00","-0.24"
"","Sebastian Tregarthen","BHM","2025","W","266","-0.10","0.07","0.09","-0.11","-0.11","-0.09","-0.25"
"","Marc Ybarra","RI","2025","CM","299","0.00","-0.01","0.08","-0.18","-0.11","-0.04","-0.25"
"","Arturo Ordoñez","LOU","2025","CB","806","-0.05","0.08","-0.17","0.11","-0.13","-0.09","-0.25"
"","Joey Akpunonu","CHS","2025","CB","514","0.01","0.04","-0.06","0.10","-0.24","-0.11","-0.26"
"","Luke Haakenson","SA","2025","W","520","0.16","0.02","-0.12","-0.06","-0.16","-0.10","-0.26"
"","Keegan Tingey","LDN","2025","FB","966","0.13","0.27","-0.52","-0.08","-0.10","0.04","-0.26"
"","Kendall Burks","LEX","2025","CB","1002","-0.21","-0.13","-0.28","0.52","-0.05","-0.11","-0.27"
"","Benjamin Barjolo","OC","2025","W","150","-0.03","-0.03","-0.08","-0.09","0.02","-0.06","-0.27"
"","Jack Singer","LV","2025","CB","407","-0.16","0.03","0.19","-0.12","-0.14","-0.07","-0.27"
"","Sam Gleadle","LOU","2025","ST","151","0.03","-0.03","-0.05","-0.30","0.08","-0.01","-0.28"
"","Shawn Smart","LV","2025","FB","404","-0.13","0.03","-0.02","-0.12","0.00","-0.03","-0.28"
"","Duke Lacroix","COS","2025","FB","830","0.10","0.00","-0.29","0.13","-0.19","-0.04","-0.28"
"","Valentin Noël","LV","2025","CM","867","0.21","-0.14","-0.22","0.37","-0.48","-0.02","-0.28"
"","Rece Buckmaster","SA","2025","FB","453","-0.08","0.01","-0.04","-0.04","-0.08","-0.06","-0.29"
"","Sebastian Anderson","HFD","2025","FB","808","0.22","0.27","-0.36","-0.22","-0.10","-0.08","-0.29"
"","Luther Archimede","MB","2025","ST","90","-0.16","-0.02","-0.03","0.01","-0.04","-0.06","-0.29"
"","Ray Serrano","LOU","2025","W","726","-0.22","-0.03","0.22","-0.33","0.06","-0.01","-0.29"
"","Wesley Fonguck","MB","2025","DM","888","0.01","0.04","0.14","-0.31","-0.12","-0.07","-0.29"
"","Lucio Berrón","SA","2025","DM","286","0.08","0.01","-0.23","-0.14","-0.04","0.02","-0.30"
"","Cameron Lancaster","LEX","2025","ST","235","-0.11","-0.05","-0.05","0.07","-0.13","-0.02","-0.30"
"","Jamison Ping","PHX","2025","CM","225","-0.09","-0.00","-0.09","-0.04","-0.04","-0.03","-0.30"
"","Kofi Twumasi","ELP","2025","CB","329","-0.03","0.02","0.03","-0.08","-0.16","-0.08","-0.30"
"","Robbie Mertz","PIT","2025","W","740","-0.03","-0.05","-0.11","0.41","-0.32","-0.20","-0.30"
"","Leland Archer","CHS","2025","CB","600","-0.01","0.03","-0.28","0.14","-0.13","-0.06","-0.30"
"","Jack Panayotou","HFD","2025","W","98","-0.10","-0.00","-0.06","-0.06","-0.04","-0.04","-0.30"
"","Sergio Rivas","NM","2025","AM","271","-0.06","-0.02","0.11","-0.08","-0.16","-0.11","-0.31"
"","Evan Conway","NC","2025","ST","671","-0.29","-0.07","-0.16","-0.09","0.25","0.06","-0.31"
"","Romario Williams","IND","2025","ST","107","-0.13","-0.01","0.02","-0.19","0.03","-0.02","-0.31"
"","Noble Okello","PHX","2025","CM","888","-0.53","-0.04","0.16","-0.05","0.19","-0.03","-0.31"
"","Miles Lyons","MB","2025","FB","536","-0.12","0.07","-0.12","-0.03","-0.03","-0.08","-0.31"
"","Speedy Williams","LEX","2025","DM","872","-0.13","0.03","-0.14","0.17","-0.18","-0.07","-0.31"
"","Levonte Johnson","COS","2025","W","217","-0.05","-0.05","-0.13","0.02","-0.05","-0.05","-0.31"
"","Johnny Rodriguez","LV","2025","ST","810","0.04","-0.02","-0.08","-0.36","0.25","-0.15","-0.32"
"","Cole Turner","LDN","2025","CB","125","-0.05","0.01","-0.21","0.07","-0.11","-0.04","-0.32"
"","Harvey St. Clair","TUL","2025","FB","687","-0.02","-0.01","-0.14","-0.04","-0.08","-0.04","-0.32"
"","Marlon Vargas","NM","2025","ST","670","0.40","-0.11","-0.18","0.07","-0.49","-0.03","-0.34"
"","Brandon Brant","MIA","2025","FB","249","-0.03","0.03","-0.24","-0.03","-0.03","-0.04","-0.34"
"","Jason Bouregy","PIT","2025","W","312","-0.05","0.01","0.05","-0.23","-0.12","-0.01","-0.34"
"","Rafael Mentzingen","NC","2025","FB","1007","-0.42","0.05","-0.21","0.11","0.14","-0.03","-0.34"
"","Beverly Makangila","HFD","2025","DM","514","-0.07","0.05","0.02","-0.12","-0.18","-0.06","-0.35"
"","Josh O'brien","IND","2025","FB","194","-0.06","0.00","-0.06","-0.05","-0.13","-0.06","-0.35"
"","Al Hassan Toure","TUL","2025","ST","171","-0.09","-0.02","-0.07","-0.01","-0.09","-0.07","-0.35"
"","Jürgen Damm","OAK","2025","FB","349","-0.31","-0.04","0.10","0.07","-0.14","-0.03","-0.35"
"","Taimu Okiyoshi","RI","2025","CM","272","0.01","-0.02","-0.05","-0.06","-0.15","-0.08","-0.35"
"","Blake Willey","SAC","2025","CM","558","0.05","-0.05","-0.01","-0.06","-0.19","-0.11","-0.35"
"","Douglas Martínez","CHS","2025","W","270","-0.23","0.02","-0.06","0.07","-0.04","-0.12","-0.36"
"","Jearl Margaritha","PHX","2025","W","450","0.01","-0.13","-0.07","-0.32","0.10","0.05","-0.36"
"","Pierce Gallaway","MB","2025","DM","352","0.02","-0.03","0.03","-0.15","-0.18","-0.05","-0.37"
"","Brunallergene Etou","PIT","2025","FB","599","-0.14","0.07","0.04","-0.26","0.01","-0.09","-0.37"
"","Eric Calvillo","ELP","2025","CM","708","-0.09","-0.01","0.07","-0.13","-0.14","-0.08","-0.38"
"","Ramiz Hamouda","BHM","2025","CB","722","-0.18","0.06","-0.10","0.04","-0.15","-0.05","-0.38"
"","Sebastián Guenzatti","DET","2025","CM","195","-0.12","-0.02","-0.04","-0.11","-0.01","-0.08","-0.38"
"","Yosuke Hanya","COS","2025","W","694","-0.34","-0.09","-0.09","-0.01","0.17","-0.03","-0.38"
"","Nate Jones","LV","2025","CB","322","-0.04","0.05","-0.33","0.03","-0.06","-0.03","-0.39"
"","Neveal Hackshaw","OAK","2025","CB","920","0.00","-0.13","-0.40","0.16","0.07","-0.10","-0.39"
"","Yanis Leerman","LDN","2025","CB","671","-0.07","-0.24","0.00","0.05","-0.10","-0.03","-0.39"
"","Ben Morris","DET","2025","ST","631","-0.08","-0.07","0.11","0.28","-0.57","-0.06","-0.40"
"","Raheem Sommersall","NC","2025","CM","620","0.05","0.05","-0.00","-0.21","-0.17","-0.12","-0.40"
"","Abdoulaye Cissoko","TUL","2025","CB","685","-0.23","-0.20","-0.18","-0.41","0.44","0.19","-0.40"
"","Roberto Avila","ELP","2025","ST","700","0.34","-0.08","-0.16","0.24","-0.66","-0.08","-0.40"
"","Gennaro Michael Nigro","LV","2025","FB","823","-0.31","0.24","-0.46","0.24","-0.06","-0.06","-0.41"
"","Alex Greive","SA","2025","ST","359","0.12","-0.05","-0.10","-0.17","-0.21","0.00","-0.41"
"","Collin Martin","NC","2025","CM","400","0.05","-0.09","-0.05","-0.13","-0.14","-0.06","-0.41"
"","Conor Donovan","NC","2025","CB","540","-0.15","-0.00","-0.29","-0.14","0.16","-0.00","-0.42"
"","Aldair Sanchez","RI","2025","FB","729","-0.07","-0.01","-0.11","-0.06","-0.10","-0.07","-0.42"
"","Amadou Dia","LOU","2025","FB","478","-0.08","0.03","-0.45","-0.21","0.18","0.10","-0.42"
"","Darren Smith","DET","2025","ST","772","-0.21","-0.18","-0.15","-0.04","0.04","0.12","-0.42"
"","Giordano Colli","TUL","2025","CM","832","-0.00","0.03","-0.06","-0.13","-0.21","-0.06","-0.43"
"","Amos Shapiro-Thompson","RI","2025","W","399","-0.05","0.03","0.06","-0.13","-0.26","-0.07","-0.43"
"","Junior Moreira","HFD","2025","DM","337","-0.11","-0.00","-0.00","-0.08","-0.15","-0.09","-0.43"
"","Grant Stoneman","RI","2025","CB","690","-0.02","0.06","-0.38","-0.07","-0.06","0.03","-0.44"
"","Diogo Pacheco","SA","2025","W","482","-0.57","-0.06","-0.06","-0.08","0.26","0.07","-0.44"
"","Lucas Melano","MIA","2025","W","547","-0.09","-0.09","-0.11","-0.03","-0.03","-0.09","-0.45"
"","Finn Sundstrom","NC","2025","CB","745","-0.16","0.04","-0.09","-0.18","-0.02","-0.04","-0.45"
"","Deian Veron","MIA","2025","CM","336","-0.09","-0.05","-0.04","-0.09","-0.10","-0.08","-0.46"
"","Ronaldo Damus","BHM","2025","ST","853","0.54","-0.04","-0.00","-0.39","-0.42","-0.15","-0.46"
"","Bradley Sample","PIT","2025","DM","370","-0.02","-0.01","-0.09","-0.18","-0.16","-0.00","-0.46"
"","Jonathan Jimenez","HFD","2025","AM","332","-0.04","-0.04","-0.12","-0.08","-0.14","-0.04","-0.46"
"","Patrick Leal","LV","2025","CM","473","-0.18","-0.03","0.03","-0.12","-0.15","-0.04","-0.48"
"","Juan Osorio","SA","2025","FB","252","-0.18","-0.00","-0.13","-0.08","-0.05","-0.05","-0.48"
"","Alex Crognale","SA","2025","CB","1025","-0.26","0.06","-0.82","0.30","0.10","0.13","-0.49"
"","Maximiliano Rodríguez","RI","2025","AM","784","-0.21","-0.02","-0.13","-0.03","-0.25","0.15","-0.49"
"","Karifa Yao","RI","2025","CB","502","-0.02","0.05","-0.31","-0.10","-0.07","-0.04","-0.50"
"","Zico Bailey","NM","2025","DM","592","-0.12","0.21","-0.34","-0.04","-0.22","0.01","-0.50"
"","Daniel Crisostomo","TBR","2025","CM","714","-0.01","-0.03","-0.10","-0.08","-0.18","-0.09","-0.50"
"","Joel Garcia","MB","2025","FB","894","-0.09","0.05","-0.20","-0.07","-0.15","-0.05","-0.51"
"","Cory Burke","LEX","2025","ST","578","-0.18","-0.03","-0.12","-0.09","-0.03","-0.05","-0.51"
"","Carl Sainté","PHX","2025","DM","651","-0.03","0.01","0.10","-0.34","-0.18","-0.08","-0.51"
"","Casey Walls","PHX","2025","CB","117","-0.02","0.02","-0.48","0.01","-0.03","-0.01","-0.51"
"","Younes Boudadi","LV","2025","FB","282","-0.06","0.01","-0.29","-0.08","-0.05","-0.04","-0.51"
"","Greg Hurst","NM","2025","ST","471","0.43","-0.04","-0.15","0.02","-0.72","-0.05","-0.51"
"","Dominick Hernandez","SA","2025","CM","689","-0.10","0.04","-0.14","-0.09","-0.14","-0.08","-0.51"
"","Adewale Obalola","HFD","2025","ST","365","-0.18","-0.01","0.13","-0.04","-0.22","-0.19","-0.51"
"","Nick Firmino","LEX","2025","W","855","-0.46","-0.11","0.09","-0.17","0.17","-0.03","-0.51"
"","Ethan Kos","BHM","2025","CB","223","0.01","0.02","-0.45","-0.10","-0.02","0.02","-0.51"
"","Aedan Stanley","IND","2025","FB","754","-0.20","0.02","-0.31","0.04","-0.02","-0.06","-0.52"
"","Zachary Herivaux","RI","2025","CM","513","-0.03","-0.02","-0.18","-0.11","-0.10","-0.07","-0.52"
"","Stefan Stojanovic","TUL","2025","W","442","-0.13","-0.05","-0.20","-0.19","0.14","-0.09","-0.52"
"","Adam Larsson","MB","2025","ST","324","-0.37","-0.01","-0.13","-0.28","0.32","-0.07","-0.53"
"","Wahab Ackwei","ELP","2025","CB","790","-0.06","-0.00","-0.01","-0.27","-0.17","-0.02","-0.53"
"","Jackson Walti","PIT","2025","DM","899","-0.13","-0.07","0.06","-0.03","-0.24","-0.13","-0.54"
"","Shane Wiedt","DET","2025","CB","618","0.02","-0.01","-0.34","0.06","-0.17","-0.09","-0.54"
"","Dawson McCartney","BHM","2025","FB","650","-0.12","-0.02","-0.09","-0.36","0.06","-0.01","-0.54"
"","Mobi Fehr","MB","2025","AM","302","-0.05","-0.03","-0.53","0.16","0.01","-0.11","-0.55"
"","Connor Rutz","DET","2025","ST","489","-0.20","-0.09","-0.07","0.33","-0.40","-0.13","-0.55"
"","Ahmad Al-Qaq","NC","2025","W","289","-0.10","-0.02","-0.09","-0.06","-0.17","-0.10","-0.55"
"","Matt Real","COS","2025","FB","756","-0.12","-0.01","-0.43","0.10","-0.10","0.01","-0.55"
"","Patrick Hogan","IND","2025","CB","687","-0.03","0.02","-0.33","-0.22","0.00","-0.01","-0.56"
"","Cristian Vázquez","MIA","2025","W","434","-0.02","-0.02","-0.22","0.08","-0.33","-0.06","-0.56"
"","Thomas Vancaeyezeele","TBR","2025","CM","413","0.03","-0.05","-0.23","-0.20","-0.10","-0.00","-0.56"
"","Edward Kizza","IND","2025","ST","530","-0.17","-0.34","0.02","-0.21","0.26","-0.12","-0.57"
"","Daniel Gómez","OAK","2025","CM","663","-0.03","-0.01","-0.06","0.09","-0.37","-0.19","-0.58"
"","Marlon Hairston","HFD","2025","DM","476","-0.04","0.01","-0.02","-0.36","-0.08","-0.08","-0.58"
"","Adrian Diz Pe","HFD","2025","CB","318","0.05","-0.04","-0.51","-0.01","-0.06","-0.01","-0.58"
"","Guillermo Diaz","ELP","2025","FB","715","-0.17","0.01","-0.34","-0.06","0.01","-0.03","-0.59"
"","Nelson Blanco","SA","2025","FB","499","-0.15","-0.01","-0.13","-0.07","-0.15","-0.08","-0.59"
"","Bryan Romero","ELP","2025","CB","457","-0.03","-0.21","-0.09","-0.10","-0.10","-0.05","-0.59"
"","Will Seymore","NM","2025","FB","729","-0.12","0.01","-0.35","-0.17","-0.07","0.10","-0.59"
"","Ilya Alekseev","OAK","2025","FB","266","-0.12","-0.08","0.00","-0.19","-0.12","-0.09","-0.59"
"","Laurence Wyke","TBR","2025","CB","697","-0.29","-0.24","0.22","-0.04","-0.15","-0.09","-0.60"
"","Thomas Presthus","HFD","2025","CB","405","-0.04","0.04","-0.45","-0.05","-0.09","-0.02","-0.60"
"","Michelle Benítez","SAC","2025","FB","918","-0.03","-0.24","0.05","-0.26","-0.10","-0.03","-0.60"
"","Jojea Kwizera","RI","2025","FB","601","-0.03","-0.05","-0.20","-0.12","-0.15","-0.07","-0.61"
"","Jacob Greene","LEX","2025","FB","267","-0.05","-0.25","-0.14","-0.15","-0.13","0.11","-0.61"
"","Harvey Neville","PHX","2025","FB","364","-0.04","-0.02","-0.39","-0.08","-0.09","0.01","-0.61"
"","Justin Dhillon","COS","2025","ST","594","-0.28","-0.06","-0.16","-0.14","0.12","-0.11","-0.62"
"","Emilio Ycaza","CHS","2025","AM","440","-0.11","-0.31","0.01","-0.18","0.01","-0.05","-0.62"
"","Jaden Servania","NC","2025","FB","757","-0.13","0.13","-0.21","-0.31","-0.07","-0.05","-0.64"
"","Samuel McIllhatton","BHM","2025","DM","259","-0.05","0.02","-0.38","-0.06","-0.10","-0.07","-0.64"
"","Kwame Awuah","LDN","2025","FB","920","-0.39","0.00","0.01","-0.41","0.21","-0.07","-0.65"
"","Samuel Careaga","HFD","2025","CM","374","-0.23","0.02","-0.23","-0.07","-0.07","-0.09","-0.67"
"","Almir de Jesús Soto","SA","2025","DM","885","-0.06","-0.19","-0.00","-0.18","-0.23","-0.01","-0.68"
"","Aidan O'Toole","PIT","2025","W","311","-0.01","-0.04","-0.18","-0.11","-0.21","-0.14","-0.68"
"","Joe Gyau","LV","2025","W","616","-0.07","0.03","0.02","-0.31","-0.21","-0.15","-0.69"
"","Abdul Illal Osumanu","PIT","2025","CB","493","0.01","-0.09","-0.22","-0.24","-0.12","-0.06","-0.72"
"","Zach Ryan","LDN","2025","ST","628","-0.32","0.03","-0.07","-0.25","0.03","-0.15","-0.73"
"","Ousman Jabang","NM","2025","CM","519","-0.11","-0.03","-0.14","-0.27","-0.08","-0.11","-0.73"
"","Jordan Adebayo-Smith","DET","2025","ST","231","-0.53","-0.05","-0.01","-0.31","0.22","-0.06","-0.74"
"","Christopher Pearson","LV","2025","CM","422","0.00","-0.07","-0.18","-0.24","-0.16","-0.09","-0.74"
"","Sean Totsch","LOU","2025","CB","893","0.01","0.08","-0.36","-0.23","-0.14","-0.09","-0.74"
"","Matías Romero","MIA","2025","CM","779","-0.07","-0.01","-0.35","-0.05","-0.13","-0.15","-0.76"
"","Enzo Martinez","BHM","2025","CM","799","-0.17","-0.23","0.17","-0.45","-0.13","0.06","-0.76"
"","Kevin Partida","OC","2025","DM","580","-0.02","-0.00","-0.23","-0.33","-0.13","-0.06","-0.77"
"","Kevon Lambert","LOU","2025","CM","266","-0.09","-0.07","-0.24","-0.30","-0.03","-0.04","-0.77"
"","Diego Mercado","MIA","2025","CM","567","-0.21","-0.42","0.15","-0.09","-0.12","-0.08","-0.77"
"","Juan Tejada","COS","2025","ST","448","-0.30","0.02","-0.12","-0.08","-0.14","-0.15","-0.78"
"","Florian Valot","LDN","2025","ST","992","-0.16","-0.03","0.10","0.45","-0.90","-0.24","-0.78"
"","Garven-Michee Metusala","COS","2025","CB","749","0.08","0.10","-0.64","-0.11","-0.16","-0.05","-0.79"
"","Rory O'Driscoll","LV","2025","CM","277","-0.16","-0.25","-0.02","-0.18","-0.12","-0.07","-0.79"
"","Baboucarr Njie","OAK","2025","FB","597","-0.12","-0.32","-0.02","-0.24","-0.10","-0.00","-0.81"
"","Mukwelle Akale","NM","2025","W","777","0.32","-0.03","-0.22","-0.36","-0.31","-0.20","-0.81"
"","Aarón Guillén","TBR","2025","CB","747","-0.23","-0.19","-0.39","0.18","-0.15","-0.04","-0.82"
"","Michee Ngalina","HFD","2025","W","483","-0.01","-0.06","0.02","-0.48","-0.05","-0.23","-0.82"
"","Blake Bodily","TBR","2025","FB","484","-0.21","-0.47","-0.13","-0.24","0.26","-0.03","-0.83"
"","Bryce Washington","NC","2025","CB","715","-0.14","0.08","-0.42","-0.28","-0.04","-0.06","-0.85"
"","Jeciel Cedeno","DET","2025","AM","713","0.03","-0.04","-0.14","-0.54","-0.22","0.02","-0.89"
"","Wolfgang Prentice","OAK","2025","W","815","-0.32","-0.04","0.06","-0.26","-0.27","-0.08","-0.92"
"","Adrian Rebollar","MB","2025","W","985","-0.04","-0.03","0.09","-0.15","-0.62","-0.22","-0.97"
"","Tyler Gibson","OAK","2025","CM","805","-0.02","-0.02","-0.15","-0.18","-0.38","-0.22","-0.97"
"","Christian Pinzon","LV","2025","W","671","-0.47","-0.05","-0.09","0.18","-0.41","-0.13","-0.98"
"","Koa Santos","OC, COS","2025","FB","331","-0.14","-0.55","-0.06","-0.02","-0.13","-0.09","-0.99"
"","Kieran Sargeant","LEX","2025","FB","869","-0.26","-0.25","-0.55","-0.49","0.40","0.12","-1.03"
"","Boubacar Diallo","TUL","2025","CM","852","-0.01","-0.02","-0.76","-0.12","-0.14","-0.00","-1.05"
"","Edison Azcona","LV","2025","W","560","-0.51","-0.05","-0.01","-0.08","-0.24","-0.18","-1.08"
"","Drew Skundrich","LDN","2025","AM","625","-0.49","-0.12","-0.12","0.12","-0.38","-0.09","-1.09"
"","Ryan Williams","DET","2025","CM","549","-0.09","-0.10","-0.09","-0.62","-0.19","-0.11","-1.20"
"","Panos Armenakas","OAK","2025","AM","639","-0.14","-0.07","-0.13","-0.07","-0.52","-0.30","-1.23"
"","José Sinisterra","OAK","2025","W","694","-0.42","-0.08","-0.14","-0.02","-0.39","-0.21","-1.26"
"","Noah Fuson","RI","2025","ST","793","-0.22","-0.02","-0.87","0.04","-0.51","-0.03","-1.62"
"","Augustine Williams","PIT","2025","ST","784","-0.28","-0.12","-0.14","-0.65","-0.44","-0.23","-1.86"
