"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Souleyman Doumbia","CLT","2025","FB","341","0.00","-0.00","0.91","0.04","-0.08","-0.04","0.83"
"","Eddie Segura","LAFC","2025","CB","965","0.07","-0.00","0.32","0.16","0.25","0.02","0.82"
"","Giacomo Vrioni","MTL","2025","ST","248","-0.32","-0.05","-0.02","-0.13","1.06","0.28","0.82"
"","Carles Gil","NER","2025","AM","1205","0.40","0.24","-0.19","1.00","-0.66","0.02","0.82"
"","Maya Yoshida","LAG","2025","CB","1019","0.11","-0.12","0.04","0.72","0.01","0.05","0.82"
"","Gabriel Pec","LAG","2025","W","1086","0.68","0.08","-0.24","-0.34","0.04","0.59","0.81"
"","Dennis Gjengaar","NYRB","2025","W","415","-0.09","-0.04","0.45","-0.22","0.50","0.19","0.81"
"","Jayden Nelson","VAN","2025","W","525","0.36","0.08","-0.02","0.34","-0.07","0.11","0.81"
"","Osaze Urhoghide","FCD","2025","CB","1307","-0.13","-0.17","0.87","-0.06","0.24","0.06","0.81"
"","Pep Biel","CLT","2025","AM","1081","-0.15","-0.16","-0.17","1.17","0.12","-0.02","0.79"
"","David Schnegg","DCU","2025","FB","1374","-0.16","0.02","0.51","0.03","0.42","-0.08","0.75"
"","Thiago Martins","NYC","2025","CB","1211","-0.18","0.20","0.65","0.32","-0.11","-0.13","0.75"
"","Nicolás Romero","MIN","2025","CB","877","-0.12","0.05","0.30","-0.11","0.46","0.16","0.74"
"","David Ayala","POR","2025","DM","1100","-0.08","0.04","1.00","-0.53","0.15","0.13","0.71"
"","Ali Ahmed","VAN","2025","W","744","0.37","-0.08","0.01","0.40","-0.06","0.05","0.70"
"","Alexander Hack","NYRB","2025","CB","565","-0.04","0.03","0.25","0.41","0.02","0.03","0.69"
"","Ousseni Bouda","SJE","2025","AM","675","0.11","-0.04","-0.18","-0.18","0.75","0.23","0.69"
"","Cristian Arango","SJE","2025","ST","1209","-0.13","-0.00","0.38","0.34","-0.23","0.32","0.69"
