"","Player","Team","Season","Position","Minutes","Dribbling","Fouling","Interrupting","Passing","Receiving","Shooting","Goals Added"
"","Anuar Peláez","SPK","2025","ST","665","0.24","0.15","-0.22","-0.13","1.09","0.22","1.34"
"","Leonardo Castro","GVL","2025","ST","626","0.07","0.16","-0.07","0.03","0.76","0.26","1.20"
"","Luis Gil","SPK","2025","AM","759","-0.13","-0.06","0.28","0.08","0.95","0.02","1.13"
"","Souaibou Marou","CLT","2025","W","230","0.09","0.22","0.01","-0.05","0.62","0.24","1.12"
"","Brecc Evans","FCN","2025","CB","916","0.21","0.11","0.72","-0.09","0.02","0.02","0.98"
"","Aaron Gómez","OMA","2025","ST","571","0.22","0.15","0.13","0.06","0.38","0.04","0.98"
"","Pierre Reedy","SPK","2025","W","602","0.08","-0.03","0.17","-0.04","0.45","0.24","0.87"
"","Christian Chaney","CLT","2025","ST","689","0.44","-0.00","-0.02","-0.16","0.56","0.03","0.86"
"","Sergio Ors","OMA","2025","W","335","0.12","-0.02","0.03","-0.25","0.72","0.22","0.82"
"","Connor Evans","GVL","2025","FB","779","-0.19","0.01","0.32","0.58","-0.11","0.11","0.71"
"","Jordan Skelton","KNX","2025","CB","604","-0.04","0.05","0.47","0.16","-0.04","0.09","0.70"
"","Mark Doyle","KNX","2025","W","342","-0.24","0.02","0.10","0.40","0.24","0.15","0.67"
"","Nick Spielman","CLT","2025","CB","806","-0.03","0.08","0.37","0.23","0.05","-0.07","0.64"
"","Darwin Espinal","RIC","2025","W","897","0.78","0.03","0.00","-0.10","-0.27","0.18","0.63"
"","Adrien Graffin","MAD","2025","AM","23","0.00","-0.00","0.31","0.01","0.24","0.05","0.61"
"","Timmy Mehl","MAD","2025","CB","692","-0.01","0.08","0.47","0.09","0.00","-0.03","0.61"
"","Ben Zakowski","GVL","2025","W","536","0.39","-0.03","0.20","-0.17","-0.01","0.22","0.61"
"","Luis Alvarez","CLT","2025","W","745","-0.04","-0.03","-0.07","0.49","0.13","0.12","0.60"
"","Alfredo Midence Alvarado","CLT","2025","W","523","0.04","-0.01","0.15","0.29","-0.01","0.11","0.56"
"","Conor McGlynn","WES","2025","CM","640","0.10","-0.01","-0.06","0.55","-0.06","0.03","0.55"
"","David Garcia","SPK","2025","CB","724","0.34","0.02","-0.02","0.07","0.03","0.11","0.55"
"","Philip Spengler","TXO","2025","CM","693","0.11","0.17","-0.04","0.11","-0.04","0.20","0.52"
"","Lucky Opara","SPK","2025","FB","526","-0.52","0.22","0.01","0.68","0.15","-0.04","0.51"
"","Nico Brown","MAD","2025","FB","669","0.14","0.27","0.19","-0.50","0.33","0.07","0.50"
"","Jerry Desdunes","AVA","2025","W","494","0.58","0.25","-0.05","-0.20","-0.05","-0.04","0.49"
"","Jon Bakero","CLT","2025","W","352","0.03","-0.05","-0.16","0.16","0.47","0.03","0.48"
"","Marcelo Lage","SPK","2025","CB","316","-0.03","0.02","0.34","0.06","0.12","-0.03","0.48"
"","Karsen Henderlong","FCN","2025","ST","838","-0.52","-0.14","-0.15","-0.05","1.16","0.17","0.47"
"","Dion Acoff","OMA","2025","FB","580","0.06","0.03","-0.10","0.30","0.13","0.05","0.47"
"","Nathaniel James","POR","2025","CM","12","0.00","0.02","-0.01","-0.03","0.39","0.06","0.43"
"","Masashi Wada","POR","2025","CM","377","0.07","0.01","0.01","0.05","0.27","0.02","0.43"
"","Niall Reid-Stephen","TRM","2025","W","463","-0.18","0.28","0.07","-0.12","0.44","-0.06","0.43"
"","Chandler O'Dwyer","RIC","2025","AM","750","0.18","0.28","0.08","-0.09","-0.18","0.14","0.41"
"","Juan Carlos Obregón Jr","WES","2025","ST","706","-0.24","0.42","-0.32","0.10","0.22","0.21","0.40"
"","Luca Mastrantonio","AVA","2025","CB","533","-0.02","0.05","0.44","0.01","-0.08","-0.02","0.39"
"","Derek Waldeck","SPK","2025","FB","799","-0.12","0.05","0.09","0.54","-0.12","-0.05","0.39"
"","Omar Ciss","CLT","2025","DM","565","-0.12","-0.00","0.56","-0.02","-0.02","-0.07","0.34"
"","Joshua Ramos","CHA","2025","FB","587","-0.11","0.30","0.04","0.03","0.06","0.01","0.33"
"","Mason Tunbridge","TRM","2025","ST","478","0.17","0.23","-0.06","0.23","-0.23","-0.01","0.33"
