player_id,team_id,general_position,minutes_played,data
0Oq6LgZgM6,jYQJ8EW5GR,ST,8,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.00030000000000000003, 'goals_added_above_avg': 0.0018000000000000002, 'count_actions': 1}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0011, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': -0.0013000000000000002, 'goals_added_above_avg': -0.004, 'count_actions': 2}, {'action_type': 'Passing', 'goals_added_raw': 0.0004, 'goals_added_above_avg': 0.0034000000000000002, 'count_actions': 2}, {'action_type': 'Receiving', 'goals_added_raw': 0.0025, 'goals_added_above_avg': -0.014400000000000001, 'count_actions': 2}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.006, 'count_actions': 0}]"
0Oq6lLZgM6,19vQ2095K6,ST,638,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0011, 'goals_added_above_avg': 0.0687, 'count_actions': 54}, {'action_type': 'Fouling', 'goals_added_raw': -0.056400000000000006, 'goals_added_above_avg': -0.1253, 'count_actions': 18}, {'action_type': 'Interrupting', 'goals_added_raw': 0.2268, 'goals_added_above_avg': -0.0363, 'count_actions': 41}, {'action_type': 'Passing', 'goals_added_raw': -0.5416000000000001, 'goals_added_above_avg': -0.4213, 'count_actions': 114}, {'action_type': 'Receiving', 'goals_added_raw': 1.358, 'goals_added_above_avg': 0.25980000000000003, 'count_actions': 91}, {'action_type': 'Shooting', 'goals_added_raw': 0.4077, 'goals_added_above_avg': -0.0012000000000000001, 'count_actions': 15}]"
0Oq6LpK2M6,pzeQZ6xQKw,CM,273,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.0049, 'goals_added_above_avg': -0.0195, 'count_actions': 26}, {'action_type': 'Fouling', 'goals_added_raw': 0.0135, 'goals_added_above_avg': 0.0183, 'count_actions': 11}, {'action_type': 'Interrupting', 'goals_added_raw': 0.2272, 'goals_added_above_avg': 0.032600000000000004, 'count_actions': 50}, {'action_type': 'Passing', 'goals_added_raw': -0.027, 'goals_added_above_avg': -0.12810000000000002, 'count_actions': 90}, {'action_type': 'Receiving', 'goals_added_raw': 0.051300000000000005, 'goals_added_above_avg': -0.0539, 'count_actions': 69}, {'action_type': 'Shooting', 'goals_added_raw': 0.009000000000000001, 'goals_added_above_avg': -0.0551, 'count_actions': 2}]"
0Oq6lyNdM6,kRQand1MKZ,DM,1785,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.1569, 'goals_added_above_avg': -0.3267, 'count_actions': 125}, {'action_type': 'Fouling', 'goals_added_raw': -0.0339, 'goals_added_above_avg': 0.0125, 'count_actions': 28}, {'action_type': 'Interrupting', 'goals_added_raw': 2.028, 'goals_added_above_avg': 0.7223, 'count_actions': 208}, {'action_type': 'Passing', 'goals_added_raw': 0.8661000000000001, 'goals_added_above_avg': 0.15380000000000002, 'count_actions': 655}, {'action_type': 'Receiving', 'goals_added_raw': 0.2602, 'goals_added_above_avg': -0.3653, 'count_actions': 457}, {'action_type': 'Shooting', 'goals_added_raw': 0.111, 'goals_added_above_avg': -0.27790000000000004, 'count_actions': 6}]"
0Oq6w6j2Q6,YgOMngl5wN,ST,184,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.11670000000000001, 'goals_added_above_avg': -0.09970000000000001, 'count_actions': 14}, {'action_type': 'Fouling', 'goals_added_raw': 0.0385, 'goals_added_above_avg': 0.0151, 'count_actions': 5}, {'action_type': 'Interrupting', 'goals_added_raw': 0.040100000000000004, 'goals_added_above_avg': -0.028800000000000003, 'count_actions': 10}, {'action_type': 'Passing', 'goals_added_raw': -0.2856, 'goals_added_above_avg': -0.2461, 'count_actions': 49}, {'action_type': 'Receiving', 'goals_added_raw': 0.683, 'goals_added_above_avg': 0.35150000000000003, 'count_actions': 55}, {'action_type': 'Shooting', 'goals_added_raw': 0.3452, 'goals_added_above_avg': 0.21980000000000002, 'count_actions': 10}]"
0Oq6wjlzQ6,0KPqjA456v,DM,12,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0025, 'goals_added_above_avg': -0.0038, 'count_actions': 3}, {'action_type': 'Fouling', 'goals_added_raw': 0.0001, 'goals_added_above_avg': 0.0007, 'count_actions': 1}, {'action_type': 'Interrupting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0092, 'count_actions': 0}, {'action_type': 'Passing', 'goals_added_raw': 0.0151, 'goals_added_above_avg': 0.009600000000000001, 'count_actions': 3}, {'action_type': 'Receiving', 'goals_added_raw': 0.0766, 'goals_added_above_avg': 0.0733, 'count_actions': 5}, {'action_type': 'Shooting', 'goals_added_raw': 0.0526, 'goals_added_above_avg': 0.0504, 'count_actions': 2}]"
0Oq6wmbrQ6,EKXMeX3Q64,CB,1669,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.1004, 'goals_added_above_avg': -0.1303, 'count_actions': 124}, {'action_type': 'Fouling', 'goals_added_raw': -0.0129, 'goals_added_above_avg': 0.1582, 'count_actions': 21}, {'action_type': 'Interrupting', 'goals_added_raw': 1.3195999999999999, 'goals_added_above_avg': 0.0126, 'count_actions': 270}, {'action_type': 'Passing', 'goals_added_raw': 1.0912, 'goals_added_above_avg': 0.16540000000000002, 'count_actions': 865}, {'action_type': 'Receiving', 'goals_added_raw': 0.1855, 'goals_added_above_avg': -0.17930000000000001, 'count_actions': 650}, {'action_type': 'Shooting', 'goals_added_raw': 0.0949, 'goals_added_above_avg': -0.09, 'count_actions': 3}]"
0Oq6wvbgQ6,0KPqjA456v,FB,1205,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.33430000000000004, 'goals_added_above_avg': -0.425, 'count_actions': 163}, {'action_type': 'Fouling', 'goals_added_raw': -0.0297, 'goals_added_above_avg': 0.021500000000000002, 'count_actions': 20}, {'action_type': 'Interrupting', 'goals_added_raw': 1.1562999999999999, 'goals_added_above_avg': 0.388, 'count_actions': 162}, {'action_type': 'Passing', 'goals_added_raw': -0.2743, 'goals_added_above_avg': -0.7439, 'count_actions': 582}, {'action_type': 'Receiving', 'goals_added_raw': 0.9594, 'goals_added_above_avg': 0.6642, 'count_actions': 407}, {'action_type': 'Shooting', 'goals_added_raw': 0.36560000000000004, 'goals_added_above_avg': 0.2124, 'count_actions': 14}]"
0x5g2EKLM7,9z5k7Yg5A3,W,1308,"[{'action_type': 'Dribbling', 'goals_added_raw': 0.6042000000000001, 'goals_added_above_avg': 0.39840000000000003, 'count_actions': 204}, {'action_type': 'Fouling', 'goals_added_raw': 0.028200000000000003, 'goals_added_above_avg': -0.0585, 'count_actions': 35}, {'action_type': 'Interrupting', 'goals_added_raw': 0.5615, 'goals_added_above_avg': -0.14550000000000002, 'count_actions': 98}, {'action_type': 'Passing', 'goals_added_raw': -0.0984, 'goals_added_above_avg': -0.2637, 'count_actions': 416}, {'action_type': 'Receiving', 'goals_added_raw': 0.5799000000000001, 'goals_added_above_avg': -0.5734, 'count_actions': 356}, {'action_type': 'Shooting', 'goals_added_raw': 0.3477, 'goals_added_above_avg': -0.2326, 'count_actions': 17}]"
0x5g2EwmM7,pzeQZ6xQKw,CB,35,"[{'action_type': 'Dribbling', 'goals_added_raw': -0.0031000000000000003, 'goals_added_above_avg': -0.0037, 'count_actions': 3}, {'action_type': 'Fouling', 'goals_added_raw': 0, 'goals_added_above_avg': 0.0036000000000000003, 'count_actions': 0}, {'action_type': 'Interrupting', 'goals_added_raw': -0.2056, 'goals_added_above_avg': -0.233, 'count_actions': 9}, {'action_type': 'Passing', 'goals_added_raw': -0.0046, 'goals_added_above_avg': -0.024, 'count_actions': 11}, {'action_type': 'Receiving', 'goals_added_raw': -5.6147e-06, 'goals_added_above_avg': -0.0077, 'count_actions': 9}, {'action_type': 'Shooting', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0039000000000000003, 'count_actions': 0}]"
