player_id,team_id,minutes_played,data
4wM4an045j,eVq3ya6MWO,101,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0082, 'goals_added_above_avg': 0.0086, 'count_actions': 1}, {'action_type': 'Fielding', 'goals_added_raw': 0.0063, 'goals_added_above_avg': 0.012100000000000001, 'count_actions': 17}, {'action_type': 'Handling', 'goals_added_raw': 0, 'goals_added_above_avg': -0.0006000000000000001, 'count_actions': 0}, {'action_type': 'Passing', 'goals_added_raw': 0.0413, 'goals_added_above_avg': -0.022600000000000002, 'count_actions': 23}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.16, 'goals_added_above_avg': -0.124, 'count_actions': 1}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0082, 'goals_added_above_avg': 0.0098, 'count_actions': 1}]"
4wM4J01Nqj,zeQZkL1MKw,208,"[{'action_type': 'Claiming', 'goals_added_raw': 0, 'goals_added_above_avg': 0.001, 'count_actions': 0}, {'action_type': 'Fielding', 'goals_added_raw': -0.0035, 'goals_added_above_avg': 0.0085, 'count_actions': 51}, {'action_type': 'Handling', 'goals_added_raw': -0.014, 'goals_added_above_avg': -0.015300000000000001, 'count_actions': 3}, {'action_type': 'Passing', 'goals_added_raw': 0.11170000000000001, 'goals_added_above_avg': -0.02, 'count_actions': 70}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.21780000000000002, 'goals_added_above_avg': -0.1436, 'count_actions': 5}, {'action_type': 'Sweeping', 'goals_added_raw': -0.0083, 'goals_added_above_avg': -0.0049, 'count_actions': 3}]"
4wM4JxWpqj,APk5LGOMOW,1804,"[{'action_type': 'Claiming', 'goals_added_raw': -0.5032, 'goals_added_above_avg': -0.4948, 'count_actions': 19}, {'action_type': 'Fielding', 'goals_added_raw': 0.1027, 'goals_added_above_avg': 0.20620000000000002, 'count_actions': 599}, {'action_type': 'Handling', 'goals_added_raw': -0.4863, 'goals_added_above_avg': -0.4973, 'count_actions': 60}, {'action_type': 'Passing', 'goals_added_raw': 1.1325, 'goals_added_above_avg': -0.0099, 'count_actions': 730}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.9152, 'goals_added_above_avg': -0.27190000000000003, 'count_actions': 89}, {'action_type': 'Sweeping', 'goals_added_raw': 0.2122, 'goals_added_above_avg': 0.24150000000000002, 'count_actions': 26}]"
7vQ7rKGYqD,jYQJ19EqGR,200,"[{'action_type': 'Claiming', 'goals_added_raw': -0.19640000000000002, 'goals_added_above_avg': -0.1955, 'count_actions': 4}, {'action_type': 'Fielding', 'goals_added_raw': -0.012, 'goals_added_above_avg': -0.0005, 'count_actions': 28}, {'action_type': 'Handling', 'goals_added_raw': -0.1028, 'goals_added_above_avg': -0.10400000000000001, 'count_actions': 2}, {'action_type': 'Passing', 'goals_added_raw': 0.054400000000000004, 'goals_added_above_avg': -0.0722, 'count_actions': 42}, {'action_type': 'Shotstopping', 'goals_added_raw': -2.1082, 'goals_added_above_avg': -2.0369, 'count_actions': 8}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0212, 'goals_added_above_avg': 0.0244, 'count_actions': 3}]"
7VqG07YAQv,lgpMOvnQzy,1911,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0499, 'goals_added_above_avg': 0.0587, 'count_actions': 22}, {'action_type': 'Fielding', 'goals_added_raw': -0.027600000000000003, 'goals_added_above_avg': 0.0819, 'count_actions': 480}, {'action_type': 'Handling', 'goals_added_raw': 0.0546, 'goals_added_above_avg': 0.0429, 'count_actions': 38}, {'action_type': 'Passing', 'goals_added_raw': 1.2848, 'goals_added_above_avg': 0.0747, 'count_actions': 647}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.0732, 'goals_added_above_avg': 0.6083000000000001, 'count_actions': 57}, {'action_type': 'Sweeping', 'goals_added_raw': -0.3516, 'goals_added_above_avg': -0.3205, 'count_actions': 48}]"
7VqG3Onxqv,a2lqRX2Mr0,103,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0019, 'goals_added_above_avg': 0.0024000000000000002, 'count_actions': 1}, {'action_type': 'Fielding', 'goals_added_raw': 0.0007, 'goals_added_above_avg': 0.0066, 'count_actions': 27}, {'action_type': 'Handling', 'goals_added_raw': 0.041600000000000005, 'goals_added_above_avg': 0.041, 'count_actions': 1}, {'action_type': 'Passing', 'goals_added_raw': 0.0974, 'goals_added_above_avg': 0.0322, 'count_actions': 31}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.28350000000000003, 'goals_added_above_avg': -0.2467, 'count_actions': 2}, {'action_type': 'Sweeping', 'goals_added_raw': -0.015, 'goals_added_above_avg': -0.0134, 'count_actions': 2}]"
7VqGmob3Mv,9z5k7Yg5A3,1120,"[{'action_type': 'Claiming', 'goals_added_raw': -0.0874, 'goals_added_above_avg': -0.08220000000000001, 'count_actions': 8}, {'action_type': 'Fielding', 'goals_added_raw': -0.0178, 'goals_added_above_avg': 0.046400000000000004, 'count_actions': 182}, {'action_type': 'Handling', 'goals_added_raw': 0.1145, 'goals_added_above_avg': 0.1076, 'count_actions': 26}, {'action_type': 'Passing', 'goals_added_raw': 0.46330000000000005, 'goals_added_above_avg': -0.2459, 'count_actions': 312}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.0039000000000000003, 'goals_added_above_avg': 0.39540000000000003, 'count_actions': 37}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0402, 'goals_added_above_avg': 0.0584, 'count_actions': 21}]"
9z5kGga5A3,kRQabn8MKZ,2011,"[{'action_type': 'Claiming', 'goals_added_raw': 0.0906, 'goals_added_above_avg': 0.0999, 'count_actions': 17}, {'action_type': 'Fielding', 'goals_added_raw': -0.11900000000000001, 'goals_added_above_avg': -0.0037, 'count_actions': 290}, {'action_type': 'Handling', 'goals_added_raw': -0.5052, 'goals_added_above_avg': -0.5175000000000001, 'count_actions': 72}, {'action_type': 'Passing', 'goals_added_raw': 0.9425, 'goals_added_above_avg': -0.3309, 'count_actions': 608}, {'action_type': 'Shotstopping', 'goals_added_raw': 3.972, 'goals_added_above_avg': 4.689, 'count_actions': 100}, {'action_type': 'Sweeping', 'goals_added_raw': -0.2252, 'goals_added_above_avg': -0.1925, 'count_actions': 37}]"
a35rymlLML,zeQZkL1MKw,216,"[{'action_type': 'Claiming', 'goals_added_raw': 0, 'goals_added_above_avg': 0.001, 'count_actions': 0}, {'action_type': 'Fielding', 'goals_added_raw': -0.0111, 'goals_added_above_avg': 0.0013000000000000002, 'count_actions': 54}, {'action_type': 'Handling', 'goals_added_raw': -0.101, 'goals_added_above_avg': -0.1023, 'count_actions': 8}, {'action_type': 'Passing', 'goals_added_raw': 0.1358, 'goals_added_above_avg': -0.001, 'count_actions': 66}, {'action_type': 'Shotstopping', 'goals_added_raw': -0.1245, 'goals_added_above_avg': -0.047400000000000005, 'count_actions': 13}, {'action_type': 'Sweeping', 'goals_added_raw': 0.0132, 'goals_added_above_avg': 0.0167, 'count_actions': 6}]"
a35ryXm2ML,kaDQ0wRqEv,895,"[{'action_type': 'Claiming', 'goals_added_raw': -0.2622, 'goals_added_above_avg': -0.258, 'count_actions': 20}, {'action_type': 'Fielding', 'goals_added_raw': 0.0152, 'goals_added_above_avg': 0.0665, 'count_actions': 211}, {'action_type': 'Handling', 'goals_added_raw': -0.3587, 'goals_added_above_avg': -0.36410000000000003, 'count_actions': 23}, {'action_type': 'Passing', 'goals_added_raw': 0.41540000000000005, 'goals_added_above_avg': -0.1514, 'count_actions': 314}, {'action_type': 'Shotstopping', 'goals_added_raw': -1.5156, 'goals_added_above_avg': -1.1965, 'count_actions': 39}, {'action_type': 'Sweeping', 'goals_added_raw': -0.276, 'goals_added_above_avg': -0.2615, 'count_actions': 18}]"
