player_id,team_id,general_position,minutes_played,attempted_passes,pass_completion_percentage,xpass_completion_percentage,passes_completed_over_expected,passes_completed_over_expected_p100,avg_distance_yds,avg_vertical_distance_yds,share_team_touches,count_games
0Oq624oPq6,jYQJ19EqGR,FB,801,403,0.8412000000000001,0.8228000000000001,7.428,1.8432,17.0203,1.3987,0.0641,12
0Oq630dXQ6,pzeQZ6xQKw,W,861,163,0.7055,0.7617,-9.1569,-5.6177,17.453,-1.0188,0.0269,18
0Oq632k7Q6,jYQJ19EqGR,CM,399,329,0.845,0.8148000000000001,9.9174,3.0144,17.9777,2.2418,0.06760000000000001,8
0Oq63DL6Q6,jYQJ19EqGR,FB,33,11,0.8182,0.7414000000000001,0.8451000000000001,7.6829,13.0849,4.2997,0.011300000000000001,2
0Oq63JA7Q6,19vQ2095K6,CB,329,175,0.8857,0.8662000000000001,3.4107,1.949,20.9615,5.9017,0.0553,6
0Oq63P32Q6,eVq3ya6MWO,CB,500,316,0.8766,0.8755000000000001,0.3467,0.1097,23.3543,6.6876,0.0653,8
0Oq63YndQ6,zeQZBOzQKw,ST,1379,587,0.8092,0.8123,-1.8437000000000001,-0.3141,15.7278,2.435,0.0494,20
0Oq6712Q6D,NPqxKXZ59d,DM,2018,1249,0.8407,0.8234,21.6123,1.7304,21.8129,5.5367,0.1105,20
0Oq6ENn256,jYQJ19EqGR,ST,910,137,0.7956000000000001,0.8237,-3.8464,-2.8076,12.8709,-2.4161,0.022600000000000002,16
0Oq6LeJ7M6,a2lqR4JMr0,CB,798,442,0.9027000000000001,0.8759,11.8389,2.6785,20.8638,4.5354,0.08030000000000001,11
0Oq6LgZgM6,jYQJ8EW5GR,ST,8,2,1.0,0.9296000000000001,0.14070000000000002,7.0352,4.0826,-1.2650000000000001,0.0058000000000000005,1
0Oq6lLZgM6,19vQ2095K6,ST,638,114,0.8246,0.8094,1.7339,1.5209000000000001,14.3424,0.22060000000000002,0.019100000000000002,15
0Oq6LpK2M6,pzeQZ6xQKw,CM,273,90,0.8333,0.8185,1.3386,1.4874,14.5618,3.0473,0.0284,9
0Oq6lyNdM6,kRQand1MKZ,DM,1785,655,0.8168000000000001,0.8104,4.1876,0.6393,17.9034,6.3595,0.08460000000000001,20
0Oq6w6j2Q6,YgOMngl5wN,ST,184,49,0.6939000000000001,0.7639,-3.4295,-6.999,12.8111,0.9699000000000001,0.017,7
0Oq6wjlzQ6,0KPqjA456v,DM,12,3,1.0,0.9609000000000001,0.11720000000000001,3.9053,16.4353,0.4217,0.0099,1
0Oq6wmbrQ6,EKXMeX3Q64,CB,1669,865,0.8382000000000001,0.8271000000000001,9.5184,1.1004,22.8967,8.8428,0.10690000000000001,17
0Oq6woOxQ6,mKAqBBmqbg,GK,1735,530,0.7585000000000001,0.7219,19.3711,3.6549,36.3331,27.8675,0.0623,17
0Oq6wvbgQ6,0KPqjA456v,FB,1205,582,0.7715000000000001,0.7693,1.2793,0.21980000000000002,18.0303,1.1429,0.0732,16
0x5g2EKLM7,9z5k7Yg5A3,W,1308,416,0.7572,0.7619,-1.9313,-0.4642,16.543,2.6959,0.051500000000000004,19
0x5g2EwmM7,pzeQZ6xQKw,CB,35,11,0.8182,0.9186000000000001,-1.1046,-10.0421,17.9662,7.0704,0.026500000000000003,1
0x5g2mYrM7,mKAqBBmqbg,GK,203,67,0.806,0.8134,-0.49860000000000004,-0.7441,34.5356,26.1642,0.0659,2
0x5g2pW7M7,mKAqBBmqbg,FB,1744,644,0.7593000000000001,0.7622,-1.837,-0.2852,19.3929,4.4742,0.0872,18
0x5g2xoXM7,a2lqRX2Mr0,FB,828,390,0.7641,0.7846000000000001,-7.9748,-2.0448,18.9073,3.5523,0.0631,13
0x5g2Z8ZM7,NPqxKXZ59d,GK,1818,568,0.8451000000000001,0.8263,10.6669,1.8780000000000001,30.0775,19.9854,0.057300000000000004,18
0x5gJ0wjM7,YgOMngl5wN,ST,14,5,0.8,0.806,-0.03,-0.6000000000000001,15.3677,-3.7591,0.007200000000000001,1
0x5gJEVLM7,EKXMeX3Q64,ST,903,149,0.49660000000000004,0.665,-25.0899,-16.8388,16.2934,1.126,0.020200000000000003,19
0x5gJJWPM7,a2lqR4JMr0,ST,719,102,0.7451,0.7792,-3.4776,-3.4095,13.6494,-1.4173,0.020900000000000002,14
0x5gJWwjM7,APk5LGOMOW,FB,1000,374,0.8048000000000001,0.8042,0.21180000000000002,0.056600000000000004,18.3046,1.0616,0.0779,11
0x5gkPbP57,pzeQZ6xQKw,FB,43,18,0.7778,0.7063,1.2861,7.145,20.219,7.2746,0.0161,2
0x5gLm2bq7,EKXMeX3Q64,CM,110,30,0.8333,0.8491000000000001,-0.4718,-1.5728,18.8595,-3.3144,0.019200000000000002,4
0x5gLpbwq7,APk5LGOMOW,AM,1205,288,0.7292000000000001,0.7605000000000001,-9.0286,-3.1349,16.1587,-0.1432,0.0378,19
0x5gP3gXq7,NWMWlBK5lz,CB,805,449,0.8864000000000001,0.8607,11.5373,2.5696,25.6482,8.6536,0.07970000000000001,11
0x5gP9Jjq7,0KPqjA456v,GK,540,148,0.6824,0.6828000000000001,-0.0563,-0.0381,38.709,31.4186,0.044,6
0x5gPv8mq7,YgOMngl5wN,W,121,45,0.8444,0.801,1.9552,4.3448,16.3073,1.4060000000000001,0.021,5
0x5gPvZRq7,kaDQ0wRqEv,CB,144,78,0.9231,0.894,2.2653,2.9042,18.6566,5.2792,0.0488,3
0x5gZ9mM7O,KAqBN0Vqbg,GK,1923,639,0.77,0.7498,12.853,2.0114,36.0423,27.0875,0.0604,19
0x5gZDPM7O,NWMWlBK5lz,ST,313,62,0.7581,0.7842,-1.6179999999999999,-2.6097,14.2174,-3.6126,0.021500000000000002,8
2lqR7V9AQr,jYQJ19EqGR,W,515,200,0.73,0.7462000000000001,-3.2441,-1.6221,15.9917,-3.1486,0.0341,13
2lqR7wZaQr,mvzqoLZQap,FB,1549,828,0.8454,0.8119000000000001,27.7299,3.349,15.34,0.4541,0.0868,16
2lqR7YEaQr,pzeQZ6xQKw,FB,641,281,0.7438,0.7851,-11.6232,-4.1364,17.852899999999998,3.3159,0.0884,7
2lqR7yoAQr,wvq9B9wQWn,DM,99,9,0.7778,0.7118,0.5939,6.599,17.8714,8.1513,0.015300000000000001,4
