player_id,player_name,birth_date,height_ft,height_in,weight_lb,team_id,general_position,minutes_played,pass_completion_percentage,xpass_completion_percentage,passes_completed_over_expected_p100,share_team_touches,team_name,competition,dribbling_goals_added_above_avg_p90,fouling_goals_added_above_avg_p90,interrupting_goals_added_above_avg_p90,passing_goals_added_above_avg_p90,receiving_goals_added_above_avg_p90,shooting_goals_added_above_avg_p90,shots_p90,shots_on_target_p90,goals_p90,xgoals_p90,goals_minus_xgoals_p90,key_passes_p90,primary_assists_p90,xassists_p90,primary_assists_minus_xassists_p90,points_added_p90,xpoints_added_p90,avg_distance_yds_p90,avg_vertical_distance_yds_p90,attempted_passes_p90
0Oq624oPq6,Kalani Kossa-Rienzi,2002-06-27,5.0,8.0,150.0,jYQJ19EqGR,FB,801,0.8412000000000001,0.8228000000000001,1.8432,0.0641,Seattle Sounders FC,mls,0.005707865168539326,-0.008426966292134831,0.04838202247191012,0.0011123595505617978,-0.0035393258426966293,-0.002595505617977528,0.5617977528089887,0.33707865168539325,0.2247191011235955,0.08048314606741573,0.14423595505617978,0.33707865168539325,0.11235955056179775,0.0867865168539326,0.025573033707865168,0.13508988764044944,0.041191011235955054,1.9123932584269663,0.15715730337078654,45.28089887640449
0Oq630dXQ6,Kévin Cabral,1999-07-10,,,,pzeQZ6xQKw,W,861,0.7055,0.7617,-5.6177,0.0269,Colorado Rapids,mls,-0.034066202090592336,-0.01332752613240418,-0.0005644599303135889,-0.04327526132404182,0.005121951219512195,-0.01791637630662021,1.358885017421603,0.313588850174216,0.0,0.20393728222996518,-0.20393728222996518,0.313588850174216,0.0,0.011717770034843207,-0.011717770034843207,0.0,0.18173519163763066,1.824355400696864,-0.10649477351916375,17.038327526132406
0Oq632k7Q6,Danny Leyva,2003-05-05,5.0,10.0,139.0,jYQJ19EqGR,CM,399,0.845,0.8148000000000001,3.0144,0.0676,Seattle Sounders FC,mls,-0.011345864661654137,0.008706766917293234,0.003924812030075189,-0.016398496240601506,-0.007037593984962406,-0.013421052631578948,1.8045112781954886,0.22556390977443608,0.0,0.04896992481203007,-0.04896992481203007,2.0300751879699246,0.0,0.13757142857142857,-0.13757142857142857,0.0,0.02729323308270677,4.05512030075188,0.5056691729323308,74.21052631578948
0Oq633E7Q6,Abdi Salim,2001-04-01,,,,7vQ7x3YMD1,CB,54,0.7273000000000001,0.8054,-7.8176,0.0362,San Antonio FC,uslc,0.002833333333333333,0.010666666666666666,-0.3366666666666667,-0.04966666666666667,-0.019833333333333335,-0.009666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.463,21.105666666666664,18.333333333333332
0Oq638a6Q6,Dominick Hernandez,1998-09-21,,,,7vQ7x3YMD1,CM,864,0.8385,0.8356,0.2847,0.0499,San Antonio FC,uslc,-0.01660416666666667,0.004604166666666667,-0.026052083333333333,-0.013541666666666667,-0.021729166666666667,-0.0139375,0.7291666666666666,0.3125,0.0,0.019229166666666665,-0.019229166666666665,0.625,0.10416666666666666,0.07909375,0.025072916666666667,0.0,0.011156250000000001,2.1711354166666665,0.04876041666666667,30.312500000000004
0Oq63DL6Q6,Cody Baker,2004-01-07,5.0,10.0,154.0,jYQJ19EqGR,FB,33,0.8182,0.7414000000000001,7.6829,0.0113,Seattle Sounders FC,mls,-0.006818181818181818,0.0038181818181818182,-0.008454545454545456,-0.008727272727272728,-0.021818181818181816,-0.011454545454545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.68609090909091,11.726454545454544,30.0
0Oq63JA7Q6,Wyatt Omsberg,1995-09-21,6.0,4.0,181.0,19vQ2095K6,CB,329,0.8857,0.8662000000000001,1.949,0.0553,New England Revolution,mls,0.005361702127659574,0.011325227963525836,0.0027082066869300917,-0.01537386018237082,0.007905775075987843,0.00705775075987842,0.547112462006079,0.2735562310030395,0.0,0.07295744680851064,-0.07295744680851064,0.0,0.0,0.0,0.0,0.0,0.04962310030395137,5.734148936170213,1.6144468085106383,47.87234042553192
0Oq63oxzQ6,Aiden McFadden,1998-09-28,5.0,9.0,165.0,OlMlejP5Lz,FB,1027,0.6439,0.6646000000000001,-2.0756,0.0638,Louisville City FC,uslc,-0.040329113924050634,0.01272444011684518,-0.03328334956183058,-0.008062317429406038,0.07039629990262902,0.03018987341772152,1.489776046738072,0.3505355404089581,0.08763388510223953,0.1643748782862707,-0.07674099318403116,0.7010710808179162,0.08763388510223953,0.09760662122687438,-0.009972736124634859,0.03430866601752678,0.10267185978578384,1.6376932814021419,0.29410808179162606,30.759493670886076
0Oq63P32Q6,Nkosi Tafari,1997-03-23,6.0,4.0,185.0,eVq3ya6MWO,CB,500,0.8766,0.8755000000000001,0.1097,0.0653,Los Angeles FC,mls,-0.007128,0.003942,0.057707999999999995,-0.000576,-0.000594,-0.010224,0.18,0.0,0.0,0.014328000000000002,-0.014328000000000002,0.18,0.0,0.027288000000000003,-0.027288000000000003,0.0,0.007632,4.203773999999999,1.203768,56.88
0Oq63v4rQ6,Casey Walls,2003-01-10,6.0,2.0,172.0,NWMWllL5lz,CB,117,0.7703,0.7995,-2.9194,0.0783,Phoenix Rising FC,uslc,-0.013692307692307693,0.014538461538461537,-0.3678461538461539,0.004153846153846154,-0.020230769230769233,-0.009692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.99546153846154,11.412076923076922,56.92307692307692
