id,match,date,from_team,away_team,next_home,next_away,distance,talent,next_date
3,Oakland Roots SC vs New Mexico United,2025-05-24,Oakland Roots SC,New Mexico United,FC Naples,Union Omaha,0.0869380173562847,0.13644029013388315,2025-05-25
11,FC Naples vs Union Omaha,2025-05-25,FC Naples,Union Omaha,Las Vegas Lights FC,Phoenix Rising FC,0.23507659677159887,0.23910327726153469,2025-05-28
13,Las Vegas Lights FC vs Phoenix Rising FC,2025-05-28,Las Vegas Lights FC,Phoenix Rising FC,Birmingham Legion FC,Indy Eleven,0.4077242125093101,0.21677512784849062,2025-06-04
15,Birmingham Legion FC vs Indy Eleven,2025-06-04,Birmingham Legion FC,Indy Eleven,Hartford Athletic,North Carolina FC,0.6481461496359369,0.1803959307480154,2025-06-06
16,Hartford Athletic vs North Carolina FC,2025-06-06,Hartford Athletic,North Carolina FC,Monterey Bay FC,Lexington SC,0.037163349080874264,0.25733292630399285,2025-06-07
22,Monterey Bay FC vs Lexington SC,2025-06-07,Monterey Bay FC,Lexington SC,Union Omaha,Greenville Triumph SC,0.4812743635146277,0.15392151168813328,2025-06-12
30,Union Omaha vs Greenville Triumph SC,2025-06-12,Union Omaha,Greenville Triumph SC,One Knoxville SC,Richmond Kickers,0.7251168840409565,0.17049861580542336,2025-06-13
31,One Knoxville SC vs Richmond Kickers,2025-06-13,One Knoxville SC,Richmond Kickers,Spokane Velocity FC,Forward Madison FC,0.3070830966472381,0.23435053152688,2025-06-14
33,Spokane Velocity FC vs Forward Madison FC,2025-06-14,Spokane Velocity FC,Forward Madison FC,Charlotte Independence,Greenville Triumph SC,0.24427707315120895,0.2569281774128298,2025-06-15
44,Charlotte Independence vs Greenville Triumph SC,2025-06-15,Charlotte Independence,Greenville Triumph SC,Birmingham Legion FC,Sacramento Republic FC,0.8676196938539773,0.27613663240161457,2025-06-18
47,Birmingham Legion FC vs Sacramento Republic FC,2025-06-18,Birmingham Legion FC,Sacramento Republic FC,Hartford Athletic,Loudoun United FC,0.6481461496359369,0.235218379516126,2025-06-20
49,Hartford Athletic vs Loudoun United FC,2025-06-20,Hartford Athletic,Loudoun United FC,Monterey Bay FC,El Paso Locomotive FC,0.037163349080874264,0.33418314579349206,2025-06-21
50,Monterey Bay FC vs El Paso Locomotive FC,2025-06-21,Monterey Bay FC,El Paso Locomotive FC,Tampa Bay Rowdies,Indy Eleven,0.13517948053776518,0.28960027286980883,2025-06-25
61,Tampa Bay Rowdies vs Indy Eleven,2025-06-25,Tampa Bay Rowdies,Indy Eleven,AV Alta FC,FC Naples,0.21258059687629727,0.12575984021059372,2025-06-28
62,AV Alta FC vs FC Naples,2025-06-28,AV Alta FC,FC Naples,Portland Hearts of Pine,AV Alta FC,0.043672401695191154,0.08119211678903204,2025-07-02
64,Portland Hearts of Pine vs AV Alta FC,2025-07-02,Portland Hearts of Pine,AV Alta FC,Las Vegas Lights FC,Sacramento Republic FC,0.11670109147867058,0.27006898283017755,2025-07-04
69,Las Vegas Lights FC vs Sacramento Republic FC,2025-07-04,Las Vegas Lights FC,Sacramento Republic FC,Oakland Roots SC,Detroit City FC,0.8507650858326137,0.24406286321486548,2025-07-05
