Date,Match,From_Team,Current_Team,Distance,Talent,Next_Date,Score
2025-08-01,FC Tulsa vs Loudoun United FC,FC Tulsa,"('Indy Eleven', 'Tampa Bay Rowdies')",0.7825082460498456,0.28960027286980883,2025-08-02,0.06252090409660556
2025-08-02,Indy Eleven vs Tampa Bay Rowdies,Indy Eleven,"('Rhode Island FC', 'Detroit City FC')",0.7114105942132307,0.34612486755729943,2025-08-06,0.05613366669686756
2025-08-06,Rhode Island FC vs Detroit City FC,Rhode Island FC,"('Oakland Roots SC', 'Colorado Springs Switchbacks FC')",0.01652811563543688,0.17988194943118319,2025-08-09,1.22350449824548
2025-08-09,Oakland Roots SC vs Colorado Springs Switchbacks FC,Oakland Roots SC,"('Westchester SC', 'South Georgia Tormenta FC')",0.05978710541160559,0.02861524990366865,2025-08-10,0.0022255310605594184
2025-08-10,Westchester SC vs South Georgia Tormenta FC,Westchester SC,"('North Carolina FC', 'Detroit City FC')",0.8435557377094003,0.33298163102687073,2025-08-15,0.019715941141503525
2025-08-15,North Carolina FC vs Detroit City FC,North Carolina FC,"('Sacramento Republic FC', 'Oakland Roots SC')",0.14000985312349135,0.25537712726721506,2025-08-16,0.11090547910483141
2025-08-16,Sacramento Republic FC vs Oakland Roots SC,Sacramento Republic FC,"('Portland Hearts of Pine', 'Spokane Velocity FC')",0.026644432315051203,0.21350922502607383,2025-08-17,0.38493999430191206
2025-08-17,Portland Hearts of Pine vs Spokane Velocity FC,Portland Hearts of Pine,"('Orange County SC', 'San Antonio FC')",0.040291658660478236,0.3482608938090703,2025-08-20,0.48914414699058767
2025-08-20,Orange County SC vs San Antonio FC,Orange County SC,"('Forward Madison FC', 'Spokane Velocity FC')",0.3924936253727863,0.23435053152688,2025-08-21,0.02565308536910775
2025-08-21,Forward Madison FC vs Spokane Velocity FC,Forward Madison FC,"('El Paso Locomotive FC', 'Sacramento Republic FC')",0.5530516474261278,0.3747409442489942,2025-08-23,0.03949856739684473
2025-08-23,El Paso Locomotive FC vs Sacramento Republic FC,El Paso Locomotive FC,"('Westchester SC', 'Portland Hearts of Pine')",0.30189578557981345,0.028585809333837642,2025-08-24,0.000386673541754217
2025-08-24,Westchester SC vs Portland Hearts of Pine,Westchester SC,"('One Knoxville SC', 'FC Naples')",0.7692191000024613,0.1868033921892268,2025-08-27,0.00831687793619786
2025-08-27,One Knoxville SC vs FC Naples,One Knoxville SC,"('Phoenix Rising FC', 'El Paso Locomotive FC')",0.4108962539972143,0.3437752386803513,2025-08-30,0.049305929644063586
2025-08-30,Phoenix Rising FC vs El Paso Locomotive FC,Phoenix Rising FC,"('One Knoxville SC', 'Spokane Velocity FC')",0.4108962539972143,0.30713818850505226,2025-08-31,0.030747345960735434
2025-08-31,One Knoxville SC vs Spokane Velocity FC,One Knoxville SC,"('Hartford Athletic', 'Indy Eleven')",0.7339912693951809,0.17944806909879218,2025-09-03,0.00822597462346728
2025-09-03,Hartford Athletic vs Indy Eleven,Hartford Athletic,"('Phoenix Rising FC', 'Las Vegas Lights FC')",0.1873745744563019,0.23910327726153469,2025-09-05,0.07264551214991942
2025-09-05,Phoenix Rising FC vs Las Vegas Lights FC,Phoenix Rising FC,"('Rhode Island FC', 'Louisville City FC')",0.16310748985756518,0.3704622166634154,2025-09-06,0.16828339725911068
2025-09-06,Rhode Island FC vs Louisville City FC,Rhode Island FC,"('Spokane Velocity FC', 'Westchester SC')",0.16918450259239481,0.1934883290712247,2025-09-07,0.023357561353575168
2025-09-07,Spokane Velocity FC vs Westchester SC,Spokane Velocity FC,"('New Mexico United', 'Detroit City FC')",0.6213355191498446,0.28547507217107604,2025-09-10,0.031229153499233248
2025-09-10,New Mexico United vs Detroit City FC,New Mexico United,"('Charlotte Independence', 'FC Naples')",0.4662284927574346,0.23944695585857967,2025-09-12,0.028181904922298304
2025-09-12,Charlotte Independence vs FC Naples,Charlotte Independence,"('Sacramento Republic FC', 'Phoenix Rising FC')",0.1764131328469566,0.37174383241447795,2025-09-13,0.07912595685615904
2025-09-13,Sacramento Republic FC vs Phoenix Rising FC,Sacramento Republic FC,"('Birmingham Legion FC', 'Tampa Bay Rowdies')",0.28058817431747496,0.22238887184142642,2025-09-17,0.038189792110931126
2025-09-17,Birmingham Legion FC vs Tampa Bay Rowdies,Birmingham Legion FC,"('El Paso Locomotive FC', 'Charleston Battery')",0.5774165163466733,0.4180622266677252,2025-09-20,0.04203968061297649
2025-09-20,El Paso Locomotive FC vs Charleston Battery,El Paso Locomotive FC,"('Spokane Velocity FC', 'Chattanooga Red Wolves SC')",0.545425797341681,0.24718114075603215,2025-09-21,0.060677307841162584
2025-09-21,Spokane Velocity FC vs Chattanooga Red Wolves SC,Spokane Velocity FC,"('Colorado Springs Switchbacks FC', 'New Mexico United')",0.6774044008664868,0.22129415838739364,2025-09-24,0.013253563996074611
2025-09-24,Colorado Springs Switchbacks FC vs New Mexico United,Colorado Springs Switchbacks FC,"('One Knoxville SC', 'Charlotte Independence')",0.5750313633896911,0.2885081959159965,2025-09-26,0.022516949223529054
2025-09-26,One Knoxville SC vs Charlotte Independence,One Knoxville SC,"('Orange County SC', 'Charleston Battery')",0.2773006799142844,0.4426332036451287,2025-09-27,0.07948551633672946
2025-09-27,Orange County SC vs Charleston Battery,Orange County SC,"('Loudoun United FC', 'Tampa Bay Rowdies')",0.16390885534757604,0.34537058328714265,2025-09-28,0.1058505011658333
2025-09-28,Loudoun United FC vs Tampa Bay Rowdies,Loudoun United FC,"('Sacramento Republic FC', 'Orange County SC')",0.13878277481214873,0.3993119212263977,2025-10-01,0.09206006365661176
2025-10-01,Sacramento Republic FC vs Orange County SC,Sacramento Republic FC,"('Charlotte Independence', 'Spokane Velocity FC')",0.1764131328469566,0.3597817521744052,2025-10-03,0.07861548791192931
2025-10-03,Charlotte Independence vs Spokane Velocity FC,Charlotte Independence,"('Orange County SC', 'El Paso Locomotive FC')",0.21098425102901497,0.37134332749227095,2025-10-04,0.05305037334366798
2025-10-04,Orange County SC vs El Paso Locomotive FC,Orange County SC,"('Rhode Island FC', 'Las Vegas Lights FC')",0.055712027057045366,0.22479857645670565,2025-10-05,0.15549397427607556
2025-10-05,Rhode Island FC vs Las Vegas Lights FC,Rhode Island FC,"('Charlotte Independence', 'AV Alta FC')",0.7482815811036871,0.22746464393736343,2025-10-10,0.012484553743573696
2025-10-10,Charlotte Independence vs AV Alta FC,Charlotte Independence,"('FC Tulsa', 'San Antonio FC')",0.6875000022653546,0.3397701894582805,2025-10-11,0.02132291848240374
2025-10-11,FC Tulsa vs San Antonio FC,FC Tulsa,"('Westchester SC', 'FC Naples')",0.5486989209302703,0.07315353275539926,2025-10-12,0.000930962793386977
2025-10-12,Westchester SC vs FC Naples,Westchester SC,"('Birmingham Legion FC', 'North Carolina FC')",0.6838042723672857,0.21772298949771407,2025-10-16,0.005776900489973657
2025-10-16,Birmingham Legion FC vs North Carolina FC,Birmingham Legion FC,"('Lexington SC', 'Sacramento Republic FC')",0.8771359473436069,0.2978907247594951,2025-10-17,0.013489172041147635
2025-10-17,Lexington SC vs Sacramento Republic FC,Lexington SC,"('Orange County SC', 'Louisville City FC')",0.2949282211480001,0.41233500628016406,2025-10-18,0.059191920042231505
2025-10-18,Orange County SC vs Louisville City FC,Orange County SC,"('North Carolina FC', 'Rhode Island FC')",0.17245729786995745,0.2990254887057484,2025-10-19,0.04732162149826504
