Date,Match,From_Team,Current_Team,Distance,Talent,Next_Date,Score
2025-05-24,Detroit City FC vs Charleston Battery,Detroit City FC,"('FC Naples', 'Union Omaha')",0.5901453182105991,0.13644029013388315,2025-05-25,
2025-05-25,FC Naples vs Union Omaha,FC Naples,"('Las Vegas Lights FC', 'Phoenix Rising FC')",0.23507659677159887,0.23910327726153469,2025-05-28,0.2431978971299124
2025-05-28,Las Vegas Lights FC vs Phoenix Rising FC,Las Vegas Lights FC,"('Houston Dynamo FC', 'Sporting Kansas City')",0.5494562219728776,0.45701357703617507,2025-05-31,0.15838464552152595
2025-05-31,Houston Dynamo FC vs Sporting Kansas City,Houston Dynamo FC,"('Birmingham Legion FC', 'Indy Eleven')",0.7921135525321197,0.21677512784849062,2025-06-04,0.02224652477828829
2025-06-04,Birmingham Legion FC vs Indy Eleven,Birmingham Legion FC,"('Hartford Athletic', 'North Carolina FC')",0.6481461496359369,0.1803959307480154,2025-06-06,0.018828300708057927
2025-06-06,Hartford Athletic vs North Carolina FC,Hartford Athletic,"('Sacramento Republic FC', 'FC Tulsa')",0.061256692113139666,0.3908212168756078,2025-06-07,2.493421124616089
2025-06-07,Sacramento Republic FC vs FC Tulsa,Sacramento Republic FC,"('Louisville City FC', 'Rhode Island FC')",0.2923802555092163,0.3704622166634154,2025-06-11,0.4693948445366233
2025-06-11,Louisville City FC vs Rhode Island FC,Louisville City FC,"('Union Omaha', 'Greenville Triumph SC')",0.7843699305533529,0.15392151168813328,2025-06-12,0.010068294152464399
2025-06-12,Union Omaha vs Greenville Triumph SC,Union Omaha,"('One Knoxville SC', 'Richmond Kickers')",0.7251168840409565,0.17049861580542336,2025-06-13,0.01336324232301122
2025-06-13,One Knoxville SC vs Richmond Kickers,One Knoxville SC,"('Sacramento Republic FC', 'San Antonio FC')",0.24292261200745802,0.35165851056579367,2025-06-14,0.33937611644370413
2025-06-14,Sacramento Republic FC vs San Antonio FC,Sacramento Republic FC,"('Charlotte Independence', 'Greenville Triumph SC')",0.1764131328469566,0.2569281774128298,2025-06-15,0.2245129251836493
2025-06-15,Charlotte Independence vs Greenville Triumph SC,Charlotte Independence,"('Miami FC', 'Charleston Battery')",0.760694274621704,0.3713900530665284,2025-06-18,0.09066085732250148
2025-06-18,Miami FC vs Charleston Battery,Miami FC,"('Lexington SC', 'Colorado Springs Switchbacks FC')",0.6788785906848103,0.22239554692346308,2025-06-20,0.05464125741520791
2025-06-20,Lexington SC vs Colorado Springs Switchbacks FC,Lexington SC,"('Monterey Bay FC', 'El Paso Locomotive FC')",0.2484560328035328,0.33418314579349206,2025-06-21,0.44948767870356066
2025-06-21,Monterey Bay FC vs El Paso Locomotive FC,Monterey Bay FC,"('Loudoun United FC', 'Louisville City FC')",0.11901406927162983,0.4121414289010974,2025-06-25,0.47573963660283247
2025-06-25,Loudoun United FC vs Louisville City FC,Loudoun United FC,"('AV Alta FC', 'FC Naples')",0.17414816697598068,0.12575984021059372,2025-06-28,0.034056014344821854
2025-06-28,AV Alta FC vs FC Naples,AV Alta FC,"('Birmingham Legion FC', 'Charleston Battery')",0.3422834988085821,0.3194579148203456,2025-07-02,0.06211533564463475
2025-07-02,Birmingham Legion FC vs Charleston Battery,Birmingham Legion FC,"('Loudoun United FC', 'Orange County SC')",0.764338455113235,0.3957207270906077,2025-07-03,0.0717066383012663
2025-07-03,Loudoun United FC vs Orange County SC,Loudoun United FC,"('El Paso Locomotive FC', 'San Antonio FC')",0.37625075801620345,0.3236899168316669,2025-07-04,0.0928236303009108
2025-07-04,El Paso Locomotive FC vs San Antonio FC,El Paso Locomotive FC,"('Miami FC', 'FC Tulsa')",0.3971552866181046,0.31618044954028435,2025-07-05,0.07341678833155159
2025-07-05,Miami FC vs FC Tulsa,Miami FC,"('Portland Hearts of Pine', 'South Georgia Tormenta FC')",0.5032681314820385,0.04863614585851772,2025-07-06,0.0013708969475765165
2025-07-06,Portland Hearts of Pine vs South Georgia Tormenta FC,Portland Hearts of Pine,"('North Carolina FC', 'Birmingham Legion FC')",0.7410788519396856,0.21772298949771407,2025-07-11,0.009328254242279179
2025-07-11,North Carolina FC vs Birmingham Legion FC,North Carolina FC,"('Monterey Bay FC', 'Orange County SC')",0.1250451457314561,0.35875412277089547,2025-07-12,0.30019972459160743
2025-07-12,Monterey Bay FC vs Orange County SC,Monterey Bay FC,"('Pittsburgh Riverhounds FC', 'Loudoun United FC')",0.17274158715005095,0.23196093948217533,2025-07-13,0.07416192736635559
2025-07-13,Pittsburgh Riverhounds FC vs Loudoun United FC,Pittsburgh Riverhounds FC,"('FC Tulsa', 'Monterey Bay FC')",0.6647979278300913,0.3502634184201058,2025-07-16,0.03690874252272972
2025-07-16,FC Tulsa vs Monterey Bay FC,FC Tulsa,"('North Carolina FC', 'Indy Eleven')",0.6467094394881066,0.2849343905260965,2025-07-18,0.023538627746041804
2025-07-18,North Carolina FC vs Indy Eleven,North Carolina FC,"('Sacramento Republic FC', 'Lexington SC')",0.14000985312349135,0.2978907247594951,2025-07-19,0.16901334321460243
2025-07-19,Sacramento Republic FC vs Lexington SC,Sacramento Republic FC,"('Greenville Triumph SC', 'Richmond Kickers')",0.2044781344612363,0.13891859730225675,2025-07-20,0.016179123377292232
2025-07-20,Greenville Triumph SC vs Richmond Kickers,Greenville Triumph SC,"('Forward Madison FC', 'South Georgia Tormenta FC')",0.7505181980663675,0.0694774523593239,2025-07-23,0.0016079256862378307
2025-07-23,Forward Madison FC vs South Georgia Tormenta FC,Forward Madison FC,"('Houston Dynamo FC', 'Los Angeles Galaxy')",0.6415606823292757,0.4028618231160872,2025-07-25,0.08854047638461036
2025-07-25,Houston Dynamo FC vs Los Angeles Galaxy,Houston Dynamo FC,"('Pittsburgh Riverhounds FC', 'Miami FC')",0.5841906367575266,0.1609113662826418,2025-07-29,0.008125676800431707
2025-07-29,Pittsburgh Riverhounds FC vs Miami FC,Pittsburgh Riverhounds FC,"('Orange County SC', 'Phoenix Rising FC')",0.2167095309028858,0.3683462156577548,2025-07-30,0.15652092912156498
2025-07-30,Orange County SC vs Phoenix Rising FC,Orange County SC,"('FC Tulsa', 'Loudoun United FC')",0.5215620910058083,0.3872300227398179,2025-08-01,0.03650737698029959
